timestamp,accX,accY,accZ
0,1546,6282,5032
2,-6680,1802,7678
3,-9598,-6918,13400
4,-3418,-13956,5560
6,1070,-13514,2534
7,3450,-4510,8946
9,2636,2374,8216
10,1290,6112,5436
11,-6370,3102,7088
13,-9082,-5398,13972
14,-4674,-15534,7020
16,830,-14488,1106
17,3900,-6644,8482
18,4896,372,7546
20,3146,5154,4882
21,-3834,3984,6118
23,-7022,-3474,14038
24,-5454,-14284,8140
25,294,-13872,1998
27,4266,-8064,7610
28,4700,204,8050
30,2920,5918,5754
31,-3644,5680,5732
32,-7278,-1776,8768
34,-10500,-9170,11374
35,-2164,-14568,3548
36,2050,-13756,2904
38,3606,-1768,9232
39,2508,4308,7598
40,686,6342,6130
42,-5694,-448,6886
43,-10160,-7746,13742
45,-2062,-15170,3142
46,2424,-14336,1546
47,4646,-3794,8882
49,4436,3260,6518
50,2524,6376,5148
52,-4014,2318,6042
53,-8576,-5782,11212
54,-8456,-14788,6466
56,1434,-12874,1586
57,4170,-11582,8164
58,3590,2046,8804
60,1940,5876,6278
61,-1242,7070,5948
63,-8556,-3884,11254
64,-10160,-10538,8084
65,-5944,-14560,2768
67,2636,-13292,4346
68,3104,-6374,8706
69,2596,4752,7210
71,-64,5732,5548
72,-3938,-1964,9546
73,-9334,-9924,14112
75,-6092,-14520,1804
76,3172,-12796,2788
78,3804,-10198,8612
79,4068,3954,6444
80,1282,7292,5122
82,-1408,-684,7726
83,-8198,-7690,13040
85,-6620,-13542,3962
86,2182,-13010,2022
87,3086,-9958,6666
89,3386,3318,7736
90,822,6358,6832
91,-2438,5606,7992
93,-9102,-5894,12424
94,-7516,-12052,12160
96,-5096,-13274,2892
97,2640,-11790,5772
98,2168,-5332,7202
100,710,5650,7220
101,-1006,4258,5186
102,-4332,-4366,10638
104,-6982,-11292,11294
105,-5362,-13916,3018
107,3484,-11044,3224
108,3632,-6646,6094
109,3764,3046,7032
111,-498,5662,5758
112,-1798,3824,8906
114,-6878,-9170,12230
115,-5502,-11724,8942
116,-958,-11866,3024
118,2616,-7882,7052
119,2204,-882,8394
120,-742,4382,7046
122,-2342,3888,6178
123,-6202,-7958,12456
125,-6860,-10806,10386
126,-2688,-13076,3816
127,1008,-9236,6910
129,1572,-3984,7792
130,2394,3266,6316
131,-1702,3886,5922
133,-4136,-406,11862
134,-5250,-11246,10098
136,-2076,-12972,3262
137,2364,-9834,5460
138,2870,-4928,6860
140,3068,2732,6558
141,-688,4262,6106
143,-2910,1644,10302
144,-5590,-8628,10404
145,-2688,-11170,6408
147,-1122,-10692,5532
148,1240,-5554,7084
149,1336,-550,7596
151,804,3010,6836
152,-3342,1710,7572
153,-6410,-4186,10940
155,-4386,-10182,6888
156,-2264,-11298,6030
158,-12,-6984,6954
159,1438,-1950,6922
160,1576,-26,6972
162,-2390,878,6808
163,-3592,-2556,8966
164,-4570,-10206,7836
166,-644,-10598,4492
167,414,-8744,5658
169,1814,-3752,7262
170,2068,-502,6416
171,-80,2480,7098
173,-2658,-2634,8952
174,-4776,-5740,7690
175,-2510,-9352,6742
177,-1676,-9032,6146
178,686,-3740,7576
180,186,-1864,7988
181,-856,-32,7932
182,-3586,-1168,8316
184,-4588,-5026,10842
185,-4260,-8828,6406
186,-1786,-9478,5834
188,200,-8096,7492
189,454,-3248,6472
191,506,-346,7204
192,-612,-1876,7966
193,-2422,-4554,9226
195,-2982,-6288,5950
196,-428,-8294,5696
197,458,-7240,5282
199,360,-3120,6760
200,168,-1396,6604
202,-716,-478,8224
203,-2730,-3698,8888
204,-3226,-5458,6958
206,-2024,-7380,7276
207,-1814,-6796,7088
209,-1224,-3548,7270
210,-1254,-2250,7300
211,-2072,-1998,8156
213,-3032,-3600,8324
214,-2712,-5624,8368
215,-2226,-7194,7362
217,-1048,-6474,5860
218,-744,-4608,6458
220,-546,-4280,6860
221,-708,-3098,7320
222,-772,-3776,8406
224,-648,-5660,7070
225,-464,-5732,6918
226,-860,-5282,6734
228,-928,-3632,5998
229,-598,-3582,6928
231,-1686,-3324,8058
232,-1510,-3682,8066
233,-1082,-5164,7450
235,-1350,-4762,7380
236,-2144,-5046,7682
237,-1820,-3790,5706
239,-1982,-3448,8226
240,-3170,-4556,8802
242,-2338,-5146,7436
243,-2000,-5946,7964
244,-684,-5946,7702
246,-1516,-4422,6798
247,-1320,-3784,6440
249,-1248,-3648,6768
250,-1346,-4970,8008
251,-1004,-6220,7262
253,-674,-6208,6304
254,610,-5034,6846
255,6,-4236,8176
257,-200,-2090,5734
258,-1424,-1902,5844
260,-2256,-3140,8662
261,-2358,-5646,7554
262,-1616,-6130,7554
264,-400,-5322,7414
265,-1292,-4048,9054
266,-1404,-2982,6562
268,-2808,-1096,5966
269,-3266,-3250,8026
271,-3380,-7278,8090
272,-1486,-8226,6696
273,-672,-6124,7288
275,60,-4768,8254
