timestamp,accX,accY,accZ
0,4566,-2258,8756
2,3170,4504,7526
3,1374,6898,5390
4,-6794,1924,8336
6,-10212,-7188,13252
7,-9540,-15202,5452
8,948,-14946,3084
10,3256,-11996,8340
11,3460,1852,8254
13,1940,6206,5682
14,-1986,3314,6244
15,-9112,-5108,11732
17,-9284,-11882,6192
18,1270,-15698,1396
20,4422,-13848,4428
21,5044,2058,7058
22,3894,5408,6800
24,286,6738,5544
25,-7336,-2106,8680
26,-9632,-10310,9242
28,-6430,-13364,1728
29,3370,-13434,2932
31,3778,-244,9032
32,3014,5116,6638
33,-230,8032,6684
35,-3442,-1092,9364
36,-10128,-9078,14378
37,-8324,-13718,3112
39,1872,-14656,2802
40,3434,-10122,7426
42,2682,2914,6414
43,1066,7784,5778
44,-2124,5162,7930
46,-8948,-6766,12032
47,-7676,-13374,12110
48,-2750,-13790,1558
50,4722,-11720,4248
51,4258,-3986,7486
53,1752,6770,6920
54,-410,7118,4464
55,-4168,-5442,11786
57,-8180,-10982,13144
58,-4900,-13774,2644
59,3604,-11814,4480
61,2758,-5230,7620
62,3232,4798,7820
63,-1698,5852,5868
65,-3798,5072,11290
66,-9412,-10594,14466
68,-5910,-13258,7792
69,2890,-13610,4442
71,2976,-9082,8172
72,2568,5038,6052
73,730,6186,6276
75,-2620,2252,9048
76,-7994,-7946,12462
77,-6110,-14114,9870
79,-1254,-12504,1876
80,3138,-8138,5430
81,3516,-3340,7770
83,894,5308,6284
84,-1414,6334,4260
86,-5382,-7556,12960
87,-6332,-10734,11062
88,-3306,-13454,2936
90,2510,-9762,6618
91,1684,-3836,8046
93,2514,4632,6748
94,-2272,4774,6118
95,-4820,1324,12588
97,-7928,-10424,12238
98,-3684,-13378,5438
99,-268,-12690,6082
101,2194,-6824,7438
102,3088,-208,6234
103,70,4382,6068
105,-3342,1300,6286
106,-5184,-9478,12082
108,-4318,-12656,7316
109,-298,-11788,4058
110,2094,-7202,6936
112,3356,-754,7110
113,2010,2904,6758
114,-2308,2792,6340
116,-5436,-1506,9994
117,-7132,-10738,8796
119,-1712,-11252,4518
120,434,-9952,6892
121,1210,-2862,8372
123,1224,1326,5968
124,468,2918,7136
125,-4494,-2408,10170
127,-7324,-10356,8624
128,-2232,-11326,5148
130,-160,-10590,5500
131,1962,-4058,6508
133,1886,-800,7378
134,998,1824,5988
135,-2780,-100,6842
137,-5174,-5398,9648
138,-1966,-10470,4686
139,-52,-9684,4312
141,1576,-4844,7378
142,1680,-1120,6724
144,768,938,6832
145,-2444,-16,8302
146,-4986,-3606,10618
148,-5388,-8868,6884
149,-1798,-9348,5886
150,-726,-8274,7350
152,64,-2254,7446
153,680,-188,6836
154,-1244,-610,8320
156,-5064,-4126,10434
157,-3924,-6954,6212
159,-1998,-9596,5910
160,-370,-8684,6300
162,1290,-3406,6854
163,1206,-1394,5898
164,-316,-1406,7824
166,-2668,-3980,9240
167,-3188,-5316,5930
168,-1242,-7704,6944
170,-146,-8250,5474
171,680,-3154,6930
172,608,-2768,6568
174,-584,-512,7484
175,-2334,-2110,9804
177,-3508,-5888,9106
178,-2762,-6164,6920
179,-2068,-6948,7534
181,-1322,-5340,7302
182,-224,-3128,6106
184,-1956,-2010,7822
185,-2220,-4180,8840
186,-2800,-5524,7966
188,-1726,-5878,7156
189,-1172,-7592,6896
190,-300,-5902,6062
192,100,-3946,5878
193,-110,-2802,6622
195,-1332,-3240,7778
196,-1042,-4322,7566
197,-1018,-5234,6308
199,-1130,-5918,7840
200,-1042,-4734,5574
202,-436,-3026,6924
203,-1686,-2816,8416
204,-1708,-3622,7394
206,-1596,-4570,8574
207,-1482,-5008,7574
209,-2258,-5678,7676
210,-2116,-4380,7322
211,-2182,-3804,6516
213,-2080,-4384,8302
214,-2438,-5308,8452
215,-1532,-5482,7320
217,-700,-6554,7384
218,-1192,-5462,7136
220,-1120,-3710,6104
221,-330,-3378,5624
222,-1392,-4488,7028
224,-988,-5236,7328
225,-718,-6258,6578
226,816,-4806,6660
228,-688,-4692,7960
229,-236,-2462,5776
231,-1842,-1210,5820
232,-1964,-2698,8946
233,-3100,-5148,7548
235,-1650,-5608,6904
236,-2052,-7116,7878
237,-750,-4494,7450
239,-1138,-3274,7484
240,-2110,-1564,6826
241,-2836,-2862,6456
243,-3442,-6636,8118
244,-2006,-7676,6654
246,-1118,-7778,6640
247,390,-5352,7374
248,454,-3652,7282
250,-162,-1048,6092
251,-1396,-1550,5776
252,-2484,-3734,8504
254,-1520,-7214,6966
255,-840,-8156,6468
257,1362,-5054,7576
258,72,-3370,8368
259,-122,-762,5706
261,-1104,106,6966
262,-4012,-3302,8756
264,-4556,-7552,7928
265,-1792,-9060,7664
266,326,-8530,7444
268,218,-4212,8918
269,-572,-1688,7396
270,-1994,1060,6276
272,-4390,-2650,8596
273,-5248,-6222,7098
275,-960,-10294,5896
