timestamp,accX,accY,accZ
0,-3846,6070,6056
2,-7582,-7106,13622
3,-8400,-11858,11206
4,-1978,-15610,2700
6,4644,-11740,5648
7,4590,-4868,6072
9,2174,5998,5022
10,-1476,6950,4740
11,-5342,-5346,12276
13,-8516,-10806,13710
14,-2834,-14454,1846
16,4718,-13204,5416
17,4670,-5620,7316
18,3780,5496,5850
20,-1878,7032,5858
21,-5660,-3558,11990
23,-10252,-10010,13848
24,-5990,-12960,2690
26,3232,-13426,5544
27,3816,-7538,7466
28,3944,3480,5984
30,-694,5526,5770
31,-5132,5376,9456
32,-9596,-8762,14822
34,-6344,-14696,9598
35,-148,-13320,3326
36,5062,-9562,7600
38,4504,3888,4700
39,722,7192,5122
41,-2636,4784,8798
42,-6354,-6992,13990
43,-7290,-11786,10284
45,-1194,-14132,2846
46,4488,-9966,6282
48,4114,-3318,7978
49,3100,5604,5458
50,-2946,6848,5226
52,-6914,1748,14690
53,-8936,-10630,12516
54,-3550,-13168,4566
56,926,-12392,6880
57,3402,-4552,7504
58,3800,1260,5706
60,-1440,4494,5642
61,-5502,2406,11218
63,-9122,-10988,13232
64,-3872,-14672,6872
65,962,-12778,4820
67,4342,-6890,6902
68,4352,-140,5518
70,3564,6176,5564
71,-3518,3780,5598
72,-7316,-2586,13830
74,-5194,-12984,8376
75,-838,-12370,3514
76,3612,-7126,7654
78,3682,-900,7734
79,3126,3950,6154
80,-3470,3726,6194
82,-8286,-706,13752
83,-10014,-11834,9232
85,-2216,-13372,4476
86,1704,-8962,7174
87,2904,-2638,8434
89,3634,2148,5278
90,-2728,3864,4846
92,-5846,-644,9062
93,-8700,-12512,10284
94,-2430,-12154,3726
96,2300,-12160,6850
97,4088,-3964,6552
98,4410,1452,6250
100,1764,4876,5250
101,-4578,1198,7372
103,-7892,-5334,11906
104,-3460,-11748,5484
105,706,-11514,3970
107,2412,-5204,8644
108,3444,1064,6056
109,1136,4866,5484
111,-1700,1498,8326
112,-8208,-4718,12270
114,-8382,-9346,6804
115,-688,-13014,4280
116,1556,-11298,6134
118,2402,-1296,6942
119,2350,2348,5942
120,144,3210,6846
122,-6226,-3200,10568
123,-6858,-8898,7154
125,-4506,-12436,3310
126,2104,-10332,5592
127,2908,-7186,6772
129,3332,2202,6060
130,576,3532,5808
131,-1234,-2646,9376
133,-7238,-6956,12474
134,-5400,-10646,4862
136,866,-10952,5686
137,1078,-7350,7454
138,1582,2104,7554
140,500,2600,6072
141,-3164,-796,8874
143,-7810,-7442,13002
144,-6198,-11356,4838
145,-196,-10682,4654
147,952,-8624,8624
148,2442,726,5942
149,1674,1830,5014
151,-986,-1372,8374
152,-5860,-5782,10722
154,-5036,-9300,5258
155,500,-9732,4494
156,2042,-8366,6352
158,1946,-100,7158
159,1664,1322,5736
161,-640,2922,7390
162,-5840,-5358,11172
163,-5890,-8566,10170
165,-3282,-9440,6060
166,-666,-9076,7218
168,1194,-964,7668
169,726,630,7122
170,-1296,986,7328
172,-3918,-4832,10740
173,-5740,-8308,10694
175,-4050,-9932,4888
176,-704,-9874,7412
177,1248,-6866,7810
179,1758,454,5614
180,340,930,6032
181,-1494,-624,8532
183,-4310,-7460,9210
184,-2942,-9774,6586
185,-1232,-7420,6128
187,1590,-6246,6968
188,1166,-16,6390
190,-88,1542,6528
191,-1730,394,8608
192,-4572,-5826,9112
194,-3970,-8374,7374
195,-2310,-8622,7568
197,-612,-5814,6600
198,-50,-2170,7440
199,-244,46,7062
201,-2418,-354,8774
202,-4634,-6818,10374
204,-3312,-8832,6768
205,-1920,-9190,7106
207,-66,-7190,7804
208,492,-3542,5564
209,776,68,6398
211,-1098,-1468,7266
212,-1918,-5288,8430
213,-2038,-8038,6994
215,-1106,-8442,6004
216,-136,-6358,6992
217,288,-3688,7588
219,576,-568,6338
220,-1468,-654,8114
222,-2752,-3134,8724
223,-2568,-7008,6960
224,-2116,-7502,6760
226,-2686,-6264,7330
227,-980,-4184,6914
229,-726,-2426,6768
230,-2930,-956,8672
231,-2496,-3436,8384
233,-2826,-7604,6130
234,-1382,-7284,5754
235,-1718,-9210,7184
237,-126,-3228,5796
238,104,-2406,6178
240,-326,-1990,8200
241,-1640,-3030,7576
242,-1422,-4634,6608
244,-706,-6858,5832
245,-782,-6732,7152
246,-680,-4222,6812
248,-214,-1960,5832
249,-1144,-634,9590
251,-1988,-3042,8644
252,-2120,-4066,7184
253,-1578,-7030,7690
255,-2120,-7198,8348
256,-1800,-5888,6370
257,-1926,-2572,6880
259,-1860,-2334,8442
260,-2860,-3490,8404
261,-1986,-5688,7344
263,-1080,-7248,6366
264,-730,-6962,7608
266,-584,-6888,6918
267,-196,-1890,5656
268,-1056,-2438,7574
270,-2342,-2976,7250
271,-1250,-4984,6750
273,-410,-7494,7228
274,-42,-6314,7262
275,130,-5304,6886
