timestamp,accX,accY,accZ
0,604,-11552,6086
2,1832,-8022,8524
3,2720,2206,5798
4,444,3972,5556
6,-2792,2032,9918
7,-7388,-7812,12356
8,-5488,-11366,8716
10,-1238,-11254,4586
11,3366,-8610,6910
13,3170,-3382,6924
14,1304,2344,5392
15,-1400,3702,5630
17,-3978,-5778,11764
18,-5602,-10598,9684
20,-1660,-11424,5386
21,1878,-9036,6744
22,2218,-2944,7436
24,2608,2646,6014
25,-2190,2628,6394
26,-5234,-5926,12412
28,-7062,-9896,10354
29,-3878,-10662,5566
31,1050,-10448,7338
32,1324,-5682,8080
33,2730,2610,6078
35,-860,1746,6466
36,-3320,-4060,10364
38,-6000,-9670,10254
39,-2882,-11622,4068
40,2220,-8642,5202
42,2530,-5268,7386
43,2980,1112,5550
45,-330,2876,5582
46,-1658,886,9992
47,-5836,-7774,10384
49,-3746,-9722,6788
50,-1636,-9076,6298
51,588,-5390,7540
53,1234,-968,6698
54,-734,1554,6836
56,-2572,1124,6278
57,-5586,-7970,11820
58,-4380,-9880,6986
60,-2534,-9296,6708
61,90,-7012,8376
63,1172,-3680,7200
64,2000,1114,6590
65,-1638,-964,7234
67,-3548,-2542,9646
68,-3218,-9534,7376
69,-1580,-9426,5406
71,876,-7290,6792
72,1738,-3814,7176
74,2330,962,5974
75,42,1220,6152
76,-3370,-2372,9792
78,-3352,-7966,6992
79,-2540,-8964,6136
81,-1176,-5726,7700
82,-156,-3756,7434
83,688,-976,6922
85,-2426,230,7490
86,-3722,-1836,9168
87,-4896,-8416,7928
89,-2726,-8348,6018
90,-2286,-8462,7800
92,166,-4164,6618
93,1190,-1754,6834
94,496,-1172,7380
96,-2500,-2108,7364
97,-2430,-4838,7250
99,-1798,-8440,6216
100,-770,-8290,6518
101,514,-4678,6914
103,1728,-1908,6710
104,-418,478,7446
106,-1826,-2018,7910
107,-2704,-4410,6544
108,-2266,-6814,7446
110,-2346,-9042,7440
111,-1176,-3882,6752
112,-864,-2784,7510
114,-1300,-1448,7612
115,-3030,-2136,8124
117,-3070,-5320,7728
118,-2642,-7322,6800
119,-1612,-8332,7166
121,-1266,-5124,6774
122,550,-3540,5666
124,-988,-1822,7804
125,-1302,-2394,8118
126,-1230,-4430,7216
128,-900,-7004,5862
129,-416,-7582,6132
131,140,-7656,6148
132,-140,-1962,5898
133,-666,-930,6996
135,-1414,-3186,8280
136,-1928,-3392,7082
137,-1912,-5772,7542
139,-1614,-6724,7324
140,-1566,-5764,6962
142,-2146,-3718,7216
143,-2306,-1708,7526
144,-2798,-1742,8708
146,-2708,-4764,8640
147,-1416,-6700,7082
149,-1024,-7818,7158
150,-700,-6852,7412
151,-1246,-2834,5052
153,-1072,-1718,7432
154,-1786,-3284,8096
156,-1278,-4404,7198
157,-460,-6622,6896
158,644,-6564,6088
160,-6,-5500,7312
161,-330,-1896,5234
162,-1758,-1016,7008
164,-2614,-2484,8798
165,-2556,-4568,7316
167,-1124,-6278,7234
168,-1124,-7050,7868
169,-828,-5558,7796
171,-1508,-3208,6004
172,-2528,-1826,7604
174,-3696,-3496,9276
175,-3636,-5120,7890
176,-1720,-7086,7678
178,-360,-7592,7310
179,-20,-5738,6180
180,-40,-3960,6456
182,-558,-1312,6416
183,-2502,-2166,7958
185,-2924,-3776,7790
186,-264,-7848,6274
187,114,-7586,6714
189,886,-4696,7194
190,546,-2886,6606
191,-228,-1548,6536
193,-3780,-2576,8460
194,-3824,-4088,9818
196,-3766,-7086,7384
197,-634,-7696,7674
198,128,-6946,7296
200,-378,-3266,7116
201,-1070,-1704,6030
202,-2900,-1690,7912
204,-4882,-4106,9678
205,-4578,-7962,7176
207,-1030,-8536,7120
208,938,-8046,6828
209,1542,-3698,6062
211,280,-1390,6454
212,-1014,-1360,7768
214,-3644,-3632,8074
215,-3722,-8766,7106
217,304,-8838,6544
218,1582,-8538,6626
219,1784,-3254,7636
221,360,-830,5172
222,-1450,388,7528
223,-5478,-3346,10122
225,-5532,-6434,6072
226,-1738,-8704,6774
228,180,-9282,8556
229,1146,-3228,6584
230,672,-806,4988
232,-1346,1250,8414
233,-5686,-2800,9560
234,-6354,-5848,9876
236,-1238,-9542,6648
237,1138,-11154,6866
239,1896,-4048,6608
240,2586,-224,4982
241,-56,1822,5844
243,-4522,-1964,9014
244,-5782,-5976,9866
246,-3750,-10192,5216
247,1636,-9332,5442
249,3142,-7352,8524
250,2644,-1258,5706
251,-466,2834,5110
253,-4932,-1084,9860
254,-8076,-5004,11870
256,-6082,-10266,6206
257,-58,-11648,6792
258,1770,-8280,8846
260,1966,-1976,6556
261,430,1902,5574
262,-1736,56,7934
264,-7760,-5184,11772
265,-6346,-9020,6132
267,776,-11852,4610
268,2978,-10588,8440
269,3596,-2434,7052
271,2220,2018,4948
272,-704,1982,5684
274,-6636,-3830,11002
275,-6680,-8598,6824
276,-12,-12734,4120
