timestamp,accX,accY,accZ
0,-1490,-6852,7530
2,-558,-4618,6724
3,-294,-2434,6334
4,-534,-2138,7014
6,-1470,-3004,7902
7,-1008,-5746,6716
9,-262,-6538,5326
10,-636,-6742,8364
11,-622,-4730,6734
13,-1078,-1626,6976
14,-1992,-2444,8958
16,-2566,-3204,9182
17,-2294,-5686,7204
18,-1590,-7532,7228
20,-1426,-7004,8020
21,-1638,-4240,6420
22,-1672,-1756,6774
24,-1636,-2552,8502
25,-2468,-3412,8610
26,-1968,-5624,7204
28,-448,-7424,6280
29,-8,-6978,6820
31,-858,-4422,6086
32,-1012,-1326,5642
33,-970,-1462,7800
35,-2340,-3634,8612
36,-1618,-5230,7006
37,-864,-7948,6328
39,136,-6612,7074
40,-480,-5066,6394
42,-1142,-1548,6442
43,-1596,-1438,6726
44,-3248,-3378,9372
46,-3068,-4956,7810
47,-1712,-6436,7066
48,-522,-6932,7512
50,-722,-5622,7338
51,-384,-1740,6750
53,-2334,-498,6950
54,-2962,-2008,9238
55,-2640,-6194,7768
57,-1362,-7564,6892
58,880,-7906,6694
60,130,-5686,6794
61,590,-1706,5868
62,-1652,-1458,6632
64,-2508,-2988,8756
65,-2578,-5760,8054
67,-1294,-7580,6532
68,628,-7636,6364
69,714,-5822,7484
71,848,-692,6100
72,-1796,868,6240
74,-3534,-538,10400
75,-3708,-5494,8344
76,-2754,-6826,7278
78,386,-8496,7246
79,596,-5680,7122
81,656,-1540,6594
82,-1718,532,6552
83,-3898,118,9768
85,-4340,-6456,8228
86,-2536,-8232,6328
88,-466,-9466,6678
89,1652,-7176,7072
90,2124,-4398,5520
92,-1200,1366,5416
93,-2526,536,9772
95,-4378,-5832,8376
96,-2572,-7240,6564
97,-604,-9242,7186
99,1556,-7014,8106
100,2152,-236,5256
102,-1294,840,6038
103,-3606,1438,10212
104,-6192,-4752,10252
106,-4180,-7998,7272
107,-1724,-10364,6474
109,1102,-7878,8626
110,1986,-5020,4988
111,-374,1774,5012
113,-3418,878,6398
114,-5622,-6420,10558
115,-4976,-7844,7488
117,-1558,-10180,5912
118,2492,-8826,7916
120,3128,-6014,6436
121,2670,1108,4506
122,-1336,3212,5170
124,-4082,-214,11428
125,-4758,-7300,9074
127,-2060,-9690,5880
128,1066,-8474,7020
129,2262,-5274,8510
131,2226,-1904,5002
132,-1876,3962,5532
133,-5228,1220,8644
135,-7836,-6662,10774
136,-4038,-10242,6580
138,232,-12150,6954
139,2216,-6766,8408
140,2422,-3074,7310
142,1218,3292,4366
143,-4534,2226,6372
144,-6690,-3512,12180
146,-6800,-10676,6466
147,226,-11608,3218
148,2182,-7630,8034
150,3756,-2914,6836
151,3120,1118,4424
153,-2426,2880,5592
154,-6030,-2536,9964
155,-7784,-9156,8612
157,-1024,-11474,4608
158,1606,-12136,7294
160,2878,-2842,8682
161,1926,1234,6850
162,-434,4718,5334
164,-6896,-728,8820
165,-8746,-6738,10246
166,-2832,-12158,4694
168,1436,-12014,7888
169,3238,-5570,8612
171,2798,-134,6316
172,1200,4294,4778
173,-4568,106,6946
175,-8064,-5422,12106
176,-2508,-12476,5696
178,1934,-12662,2534
179,4734,-10774,8380
180,3234,-198,7582
182,2400,3274,4810
183,-1080,2550,5500
184,-7582,-4076,11700
186,-9226,-8530,7488
187,656,-12624,3196
188,3488,-11634,5154
190,3584,-442,8948
191,1360,2840,6022
193,-960,3926,5264
194,-8288,-2044,10766
195,-10400,-8914,8726
197,-822,-13264,3440
198,3560,-13382,3642
200,3488,-2474,8786
201,3522,2526,5166
202,628,5324,4226
204,-5818,-1054,7958
205,-9936,-8688,13736
207,-6644,-12202,3426
208,3542,-12382,2070
209,4752,-10418,8934
211,3624,2436,6296
212,1332,6270,5748
213,-2156,1478,7090
215,-9316,-6824,12966
216,-8382,-11466,5788
217,-3478,-12972,1930
219,3910,-10370,6326
220,3354,1496,7598
222,1026,5792,5528
223,-2572,5690,6488
224,-10002,-5304,12568
226,-9932,-12164,14194
227,-4930,-13858,2134
229,4578,-12782,4580
230,4284,-6052,8074
231,2110,4506,6140
233,70,5690,4340
234,-3954,-3166,9306
235,-9270,-11150,14200
237,-5972,-12912,1794
238,5028,-12774,2864
240,4518,-7830,7786
241,2554,4582,7138
242,376,5540,5656
244,-3074,5658,8180
245,-10240,-9848,14564
246,-7756,-12344,12120
248,-1724,-13312,2780
249,3752,-9582,7974
251,3044,-1450,7066
252,460,6240,5616
253,-3656,4924,6024
255,-6676,-8168,12850
256,-9316,-13896,13326
257,-2648,-15508,1636
259,4180,-10320,6048
260,4546,-4636,9396
262,3690,6506,4708
263,-1278,6022,4828
264,-5086,1524,11104
266,-8710,-11642,13456
267,-3472,-14658,5728
268,2404,-12030,5018
270,4726,-4922,8250
271,3722,6302,5886
273,-1088,6902,5364
274,-4446,3330,10942
275,-10576,-10838,14714
