timestamp,accX,accY,accZ
0,280,-13742,4050
2,4776,-8646,7828
3,4836,3602,5648
4,1568,6894,5064
6,-2846,5468,4668
7,-6272,-8332,13008
9,-7424,-12492,10530
10,-1042,-12870,2954
11,3738,-9294,7732
13,3882,-2358,6614
14,394,7244,4998
15,-3110,6558,5704
17,-7054,-6428,13642
18,-8776,-12004,11678
20,-4180,-14542,3552
21,3626,-12328,7450
22,3540,-4180,8642
24,1880,6458,5266
25,-1646,6002,5732
27,-5460,-4918,11076
28,-8958,-12262,13416
29,-4144,-14844,1724
31,5054,-13410,4562
32,4816,-5502,6648
34,3212,5760,5604
35,-346,7528,5266
36,-2984,-3028,10540
38,-9596,-10120,14108
39,-6294,-13110,1738
41,4048,-13080,3848
42,3842,-7298,9106
43,2838,4818,6490
45,-922,7104,5104
46,-3550,5452,9808
48,-11876,-8848,15894
49,-7644,-15204,10032
50,-1698,-14938,3382
52,3970,-9904,8118
53,3656,-2818,5834
54,1742,7564,5548
56,-2010,5332,4470
57,-6334,-7964,13050
59,-7850,-13832,11984
60,-1930,-15396,1408
61,5306,-10854,5436
63,4348,-2590,9054
64,4950,6768,6384
65,-710,7752,3770
67,-5492,3174,12440
68,-9618,-11198,14126
70,-3864,-14588,4968
71,314,-12902,6198
72,2918,-5238,9178
74,3734,1746,6390
75,-1204,6536,5718
76,-5698,3926,7168
78,-9624,-11402,14306
79,-5556,-15142,6788
81,-156,-15070,5794
82,3632,-7864,7780
83,4726,130,7636
85,3332,7114,5278
86,-3834,5212,5272
87,-6742,-1842,13658
89,-8452,-14278,9408
90,-438,-14864,1968
91,4134,-13810,7192
93,4794,-1586,8324
94,3532,5204,5216
96,-2140,7016,4872
97,-6286,100,8476
98,-10142,-13216,12070
100,-2936,-14574,3426
101,1568,-14274,7382
103,3026,-2984,8656
104,2710,3286,8088
105,1180,6424,6444
107,-5912,1996,7290
108,-9552,-6440,13272
109,-9062,-14490,4476
111,1850,-15422,1444
112,3464,-12746,8218
114,3882,2386,7080
115,3062,6444,4912
116,-3652,2546,6342
118,-7518,-4296,10330
119,-8440,-14684,6782
120,1120,-13896,1428
122,3808,-6502,7198
123,3450,-260,8654
125,2950,4556,4790
126,-3080,5374,5904
128,-7530,-3250,10726
129,-10012,-14116,7838
130,-1128,-13302,2678
132,1778,-13256,8594
133,2096,-908,8378
135,2734,3922,7256
136,-3432,4488,6364
137,-6586,-718,9376
139,-9416,-13672,9770
140,-2176,-14016,3018
142,1784,-12548,6082
143,3332,-3646,7798
144,4396,2256,6054
146,1480,4896,5398
147,-3894,422,7252
148,-7436,-6152,10430
150,-2928,-13444,5236
151,492,-12696,3362
153,3266,-3850,7054
154,2730,1222,7960
155,2410,3858,6104
157,-4070,2238,7072
158,-7628,-3982,11550
160,-4960,-11486,6732
161,-964,-13040,4030
162,1554,-6884,7824
164,1706,-344,8036
165,1674,3848,6552
167,-3014,1910,7182
168,-6556,-3488,11748
169,-4854,-12066,7218
171,-1422,-12558,4320
172,2258,-7186,5992
174,2814,-2374,7032
175,3212,992,6886
176,-1422,3358,5434
178,-4356,-536,8894
179,-5954,-10748,8196
181,-1614,-11220,4422
182,1118,-8048,6116
183,1734,-2586,7342
185,2018,1472,7226
186,-1666,3264,6278
187,-4948,-50,9254
189,-6802,-9514,8952
190,-3146,-11114,6196
192,-584,-11458,6788
193,372,-4928,7786
194,2076,-1116,7166
196,288,2124,6584
197,-3790,-420,8828
199,-5634,-5524,8818
200,-2478,-10934,5660
201,-636,-11566,4600
203,1044,-5872,6460
204,2728,-1654,6358
205,1650,520,6370
207,-2358,-94,7958
208,-4472,-3950,10056
210,-4054,-8632,6066
211,-810,-9502,5768
212,86,-8528,6518
214,1542,-2956,7022
215,290,16,7172
216,-1134,1458,7866
218,-4966,-3476,11368
219,-4888,-7410,6678
221,-2692,-9524,6512
222,-1666,-8554,7676
223,28,-3618,5714
225,666,-1246,6960
226,-402,-1010,8418
227,-3046,-3418,8908
229,-3182,-5488,7534
230,-1330,-8574,5458
232,-556,-8332,6218
233,816,-4252,6518
234,992,-2070,5714
236,-212,-570,7930
237,-2244,-3234,8924
239,-2256,-4494,6524
240,-2726,-7520,7408
241,-1536,-7748,7122
243,-306,-3900,6364
244,-758,-2786,7428
246,-1162,-1916,7830
247,-2448,-2590,9136
248,-2924,-5418,9218
250,-3270,-5492,7524
251,-2330,-7982,7558
252,-1418,-5914,7232
254,-610,-3818,6560
255,-748,-3256,7436
257,-1194,-2854,8094
258,-1232,-5632,7770
259,-2208,-5482,6470
261,-558,-5738,6170
262,-260,-5568,6416
264,-224,-3058,6124
265,-686,-3380,6528
266,-296,-3814,7774
268,-1082,-3356,6772
269,-1686,-4458,7944
270,-686,-4844,7520
272,-1710,-4090,6548
273,-1584,-3032,7836
275,-2158,-3756,7134
276,-2056,-3662,8294
