timestamp,accX,accY,accZ
0,-1384,-3826,7402
2,-532,-4784,7064
3,-718,-4288,7884
5,28,-5734,6698
6,-464,-5624,6998
7,-518,-4094,5872
9,-1308,-2950,6606
10,-1400,-3784,7032
11,-1470,-4084,7448
13,-1394,-5436,8078
14,-788,-5666,6738
15,-810,-3948,8182
17,-1766,-3778,7138
18,-1916,-2754,6180
20,-2440,-4268,8314
21,-2698,-5100,8052
22,-2616,-5870,7594
24,-542,-5614,7208
25,-1178,-5092,7826
26,-1350,-3390,7100
28,-2280,-2434,5730
29,-914,-3300,7670
31,-2590,-6000,8304
32,-878,-6914,6956
33,-408,-6600,6410
35,732,-4794,7384
36,-52,-3522,5996
37,-866,-1014,5866
39,-1612,-1756,6512
40,-2720,-5490,8342
42,-2242,-7036,7012
43,-648,-7072,6724
44,-618,-5224,7982
46,-380,-3696,8432
47,-858,32,6676
48,-2664,-886,6492
50,-4098,-3504,8982
51,-2856,-7214,7110
53,-1566,-9278,7062
54,-330,-5298,7930
55,38,-4268,7716
57,144,-2632,6258
58,-2576,-520,6588
59,-3194,-3066,8160
61,-3856,-8208,6782
62,-662,-8824,5812
64,918,-9342,7218
65,2262,-4334,6798
66,1148,-1216,5922
68,-496,982,6860
69,-4104,-1712,8150
70,-4520,-4894,7064
72,-2312,-9598,6602
73,-136,-9908,7430
74,510,-7586,7714
76,798,-1422,6772
77,-984,1840,7456
79,-3638,242,9004
80,-5996,-5332,10222
81,-4762,-9300,6516
83,-524,-11648,7038
84,892,-9870,7426
86,1992,-1944,6044
87,746,1354,6504
88,-1664,1048,8124
90,-5314,-4442,9778
91,-4148,-7982,5688
92,826,-11702,5118
94,2076,-10134,6834
95,3226,-2372,6874
97,1316,666,5666
98,-1394,4218,7490
99,-2900,-2472,9970
101,-6034,-6910,10518
102,-4490,-11666,5442
103,1096,-12186,5906
105,2326,-7120,8074
106,600,1058,6840
108,-892,4226,5800
109,-6890,-1074,10270
110,-7110,-6448,11580
112,-5774,-13088,5240
113,1674,-12616,4538
115,2228,-9206,7884
116,2796,-504,6400
117,738,3392,4614
119,-1558,568,8814
120,-6538,-5930,11102
122,-5376,-8844,4552
123,2122,-13126,3916
124,3526,-10222,7662
126,2994,-612,7152
127,1332,3600,5212
129,-2072,2886,8008
130,-7892,-4152,11780
131,-7622,-8190,5900
133,-56,-13680,4370
134,1686,-11796,7886
136,3098,-1384,7580
137,1354,3024,5762
138,-1700,3936,7656
140,-7882,-2584,11048
141,-8182,-8242,7330
143,-270,-14318,3410
144,2458,-13734,5382
145,3772,-3016,7310
147,3244,2516,5606
148,-72,5850,5676
149,-6134,-766,8926
151,-8012,-6910,12878
152,-4954,-13108,3170
154,2338,-13766,3628
155,5298,-10732,7730
156,3080,1604,6446
158,-34,6654,5932
159,-2964,720,9082
161,-9018,-5590,13504
162,-8192,-9888,5304
163,776,-15098,4352
165,3862,-12020,6170
166,2554,760,6900
167,98,4630,6310
169,-2098,3224,7348
170,-9146,-3928,12434
172,-8882,-10298,6280
173,850,-15388,2358
175,5326,-13502,4238
176,3936,-1306,7052
177,2596,4738,5104
179,-858,7284,5522
180,-6862,-2070,10686
182,-9266,-8956,8400
183,684,-14290,2666
184,4900,-13988,3278
186,4568,-1034,7826
187,2534,3650,6106
188,-334,6916,5568
190,-8078,-48,9794
191,-10814,-7268,10432
193,-2056,-14692,3558
194,3500,-14912,3314
196,2820,-4002,8904
197,2898,3046,5176
198,100,7206,5864
200,-7414,1336,9788
201,-10304,-7012,11196
202,-2048,-14810,4644
204,3500,-15000,2282
205,4548,-5292,7720
207,4932,428,5374
208,2546,5844,4502
209,-5850,4284,7766
211,-7926,-5322,13426
212,-8432,-13168,5002
214,1624,-13628,2168
215,3990,-6012,7750
216,3922,1796,6462
218,1464,5546,5744
219,-5680,3784,8070
221,-10162,-3286,11754
222,-9664,-13022,8010
223,-344,-15486,3176
225,3246,-13944,8070
226,4056,-1606,6886
227,2488,4130,5662
229,-590,4548,6750
230,-7194,-1320,10556
232,-9528,-8860,8774
233,-6286,-14354,3050
234,3698,-14272,3614
236,5384,-1820,6490
237,3682,3754,5586
238,1818,6244,5414
240,-6482,1318,8820
241,-9214,-6860,12840
243,-7328,-13776,4670
244,3082,-14234,2260
245,3774,-10796,8282
247,3088,2734,7376
248,484,5812,5206
249,-3034,1356,8532
251,-10970,-6830,13770
252,-9588,-10490,4908
254,1304,-14594,3140
255,3770,-12078,6472
256,3994,720,6508
258,3076,3976,5490
259,-1380,4916,6804
260,-8374,-3698,11594
262,-9002,-10506,14114
263,-4218,-13742,1358
265,4018,-12210,4528
266,4278,-6774,6890
267,3950,4554,5106
269,-366,6384,4564
270,-2814,-3850,10840
271,-9800,-8652,14992
273,-5576,-12050,2566
274,3214,-12384,4448
276,3322,-8050,7964
