timestamp,accX,accY,accZ
0,-8730,-12072,10696
2,-2580,-13788,4284
3,1160,-11992,6662
4,1800,-3326,8316
6,2594,2520,8504
7,546,5106,5926
9,-5182,948,7658
10,-8266,-6570,11200
11,-2682,-13730,4282
13,646,-12698,2616
14,2958,-5442,7350
16,3302,930,7312
17,2380,3694,5950
18,-3330,2086,6396
20,-5896,-4476,10884
21,-6582,-12496,6002
22,226,-11554,3004
24,2464,-10058,6550
25,2944,-14,8126
26,1816,3494,7064
28,-1702,3052,6812
29,-6262,-3912,10964
31,-7802,-8362,7040
32,-2232,-12450,4524
33,596,-11662,5888
35,1180,-1464,7738
36,1678,1330,7022
38,-68,2972,6516
39,-5436,-2124,9726
40,-6876,-7182,12146
42,-3992,-12044,3628
43,944,-10696,4452
44,2330,-8970,7794
46,2800,254,5578
47,694,3818,6322
48,-772,-1496,9016
50,-5392,-6244,10954
51,-4554,-8950,5654
53,-142,-10014,5154
54,1706,-7840,5566
55,1014,-516,8298
57,584,1092,7150
58,-2742,2018,8398
59,-6274,-4588,11662
61,-5308,-8548,9990
62,-3034,-10040,5488
64,216,-9476,6646
65,358,-5302,6942
66,640,220,6308
68,-944,1070,7140
69,-3000,-3882,10396
71,-4122,-7542,8952
72,-2388,-9152,5152
73,776,-8668,5022
75,1258,-5720,6766
76,1758,-416,6032
77,-284,928,6272
79,-1754,-90,9932
80,-3518,-6498,8134
81,-2040,-7374,6418
83,-2194,-7984,6368
84,-36,-5140,6682
86,456,-3512,7440
87,-1392,-364,7738
88,-2548,-792,8028
90,-3764,-5932,8994
91,-3140,-6396,7386
92,-2522,-8252,6826
94,-1034,-5982,6772
95,440,-4500,6248
97,130,-2102,7140
98,-1584,-1574,7578
99,-2648,-2958,8926
101,-2648,-7176,6932
102,-1714,-7106,5876
103,-568,-7218,6614
105,592,-4726,6462
106,116,-2892,5226
108,-342,-2908,8174
109,-1710,-3636,8584
110,-1942,-4550,6776
112,-1656,-6252,8320
113,-1232,-6318,6850
114,-1340,-4794,6570
116,-1036,-3334,7198
117,-1876,-2964,7712
119,-2750,-3624,9426
120,-2200,-5310,7054
121,-2300,-5276,7586
123,-1644,-6212,8008
124,-2072,-4268,5664
126,-1260,-4044,6734
127,-1808,-4026,7948
128,-1152,-4902,6982
130,-910,-5244,7268
131,-590,-5308,7176
133,-730,-5440,6984
134,-1098,-4378,5794
135,-1184,-3874,6290
137,-1414,-3982,7502
138,-1192,-4804,7456
139,-642,-5474,7152
141,-96,-5170,8030
142,-976,-4316,8124
143,-1508,-2680,6458
145,-1908,-3178,7180
146,-3122,-4138,8312
148,-2514,-5738,7734
149,-1560,-5794,7220
150,-864,-5248,7232
152,-1330,-4840,7766
153,-1550,-2716,6406
154,-1986,-2308,7652
156,-3008,-5298,8762
157,-2212,-6194,6570
159,-462,-7510,7070
160,534,-7540,6952
161,610,-3316,6928
163,-150,-1536,7046
164,-1138,-1142,6208
166,-2904,-4408,7956
167,-2822,-6228,7942
168,-1950,-7668,6932
170,282,-6814,6820
171,396,-2864,8148
173,-840,-748,7636
174,-2044,142,7252
175,-2888,-3536,8702
177,-4050,-5830,8734
178,-3630,-7278,7398
180,86,-8816,6568
181,324,-5730,7718
182,512,-1292,7204
184,-1306,-184,6304
185,-2108,-832,8254
186,-3834,-6428,7906
188,-2828,-7968,7258
189,-836,-9356,6604
190,1806,-6712,6468
192,1882,-4230,6680
193,-860,1034,6318
195,-1828,1570,6678
196,-3976,-5326,8970
197,-3686,-7574,7058
199,-1402,-9716,6754
200,908,-7332,7810
201,1596,-3536,7230
203,784,1030,6750
204,-2990,2110,6682
206,-5392,-4836,10408
207,-4742,-8032,8392
208,-2658,-10060,5872
210,-136,-9594,8108
211,1506,-6306,7982
213,2108,-2200,5060
214,-1756,2942,6370
215,-4176,670,8496
217,-5614,-8950,8986
218,-2442,-10584,5478
219,218,-11482,6434
221,2930,-6562,7082
222,2902,-2068,7246
223,1434,4570,5482
225,-3682,3630,6996
226,-5544,-2856,10708
228,-4008,-9964,6758
229,-804,-11946,5094
230,1494,-7266,7484
232,2502,-3196,8248
233,966,1478,5444
234,-4206,4494,7074
236,-6444,-1938,10562
237,-7576,-10184,7796
239,-2116,-12684,4824
240,942,-13348,7092
241,2826,-3876,7334
243,2202,-218,4914
244,494,4864,6436
246,-5014,-176,7968
247,-6700,-5480,9458
248,-1504,-12154,4144
250,1978,-13164,3804
251,3796,-5110,7878
252,3152,106,6452
254,960,4788,5490
255,-4676,1658,8466
257,-7660,-4670,11746
258,-7346,-12132,6184
259,-180,-14546,5172
261,3144,-11852,7734
262,2142,-1336,7782
263,1500,2938,6290
265,-2412,4614,7020
266,-8286,-2422,11904
267,-8904,-8894,6844
269,-726,-14434,3162
270,2626,-14076,5562
272,3774,-2402,7624
273,2902,2360,4286
274,-114,7294,6164
