timestamp,accX,accY,accZ
0,-8304,-13100,13014
2,-2942,-13986,4676
3,1686,-12894,5468
5,4274,-4230,8132
6,3410,3250,7616
7,1318,6958,6004
9,-4374,3060,6554
10,-9392,-5288,14226
11,-5218,-14364,6358
13,-292,-13528,2838
14,3088,-5966,8510
15,3164,966,8310
17,1910,5894,6016
18,-806,2738,6788
20,-8282,-2694,10890
21,-8496,-10620,7634
22,2,-13944,2810
24,3234,-13014,3458
25,3736,-850,7550
26,3408,4808,6590
28,1138,5928,5374
29,-5812,-1774,9168
31,-8048,-8680,12574
32,-6282,-13760,3132
33,2792,-12338,2364
35,2618,-8134,8290
36,3384,3486,7884
37,36,4922,5636
39,-2276,112,8404
40,-9270,-7294,14322
41,-7572,-12054,3902
43,1090,-13246,2750
44,1890,-11638,8158
46,1918,3112,7828
47,1126,4840,5592
48,-1522,4122,7382
50,-7798,-5044,12274
51,-7486,-11128,11808
53,-3266,-13230,2012
54,2910,-10582,4918
55,2772,-6006,7230
57,2836,3292,6482
58,-276,5342,5042
59,-2282,-3970,10112
61,-7216,-9070,12626
62,-3910,-12632,2612
63,2194,-10904,4416
65,1722,-7016,7418
66,2138,3336,8238
68,-846,4122,6024
69,-3332,3992,10268
70,-8410,-8102,13564
72,-5480,-11816,8206
73,-2096,-11350,5118
74,1668,-8906,7256
76,1716,-3220,6908
77,388,3324,6308
79,-1858,2526,6408
80,-4518,-6956,11724
81,-5266,-10650,8596
83,-1492,-12438,4018
84,2234,-9080,6092
85,2426,-3850,6762
87,2828,1674,6596
88,-1138,3008,6376
90,-3222,-118,10884
91,-4800,-9066,9072
92,-2048,-10816,5912
94,-1120,-8788,5614
95,872,-5144,7638
97,1252,-1022,7004
98,-2392,2978,6736
99,-3626,428,8616
101,-6046,-8052,10182
102,-3192,-9958,5894
103,-2176,-10222,6168
105,926,-5760,6848
106,1258,-2268,7146
107,1258,712,7250
109,-2452,324,6484
110,-3824,-2622,9414
112,-2672,-9190,6624
113,-1084,-10194,4802
114,692,-6532,6618
116,1542,-3188,6416
117,1326,-398,7528
118,-1524,848,7296
120,-2922,-1928,9066
121,-4336,-7500,7570
123,-2212,-8860,6498
124,-838,-8208,6656
125,-114,-3654,7614
127,294,-1886,6942
128,-768,-396,7888
129,-3414,-2332,9612
131,-4348,-5734,7360
132,-2574,-8482,6338
134,-1650,-8654,6898
135,-650,-5012,6858
136,562,-2630,5834
138,-108,-906,7710
139,-2210,-3376,8188
141,-2714,-4872,9018
142,-2058,-6980,6588
143,-658,-7848,6264
145,306,-6120,6226
146,492,-3822,6254
147,-612,-1950,7074
149,-764,-1982,8122
150,-2406,-4394,8880
152,-2190,-5516,7610
153,-1706,-7058,7412
154,-1710,-5008,6608
156,-1218,-3860,7132
157,-2090,-2842,7838
158,-1912,-2704,8482
160,-2726,-4816,8794
161,-1922,-5146,6900
162,-1926,-7236,8118
164,-1254,-5858,6074
165,-1256,-4148,6400
167,-1268,-3900,7928
168,-972,-3978,7544
169,-1286,-4480,7276
171,-174,-5284,6990
172,-242,-5266,7262
174,-910,-4628,6294
175,-782,-3562,5274
176,-210,-3712,7422
178,-1376,-4180,8200
179,-1288,-4628,7306
180,-272,-4898,7328
182,-1406,-4682,8050
183,-1854,-3726,6414
184,-2462,-2786,6438
186,-2032,-3854,8568
187,-3022,-5194,8264
189,-2476,-5452,7656
190,-1402,-6666,7270
191,-1058,-5480,8146
193,-1372,-4466,6676
194,-1162,-2740,5806
196,-1158,-3432,6068
197,-2430,-6026,7704
198,-1064,-6686,6720
200,-338,-6842,6082
201,518,-4594,7930
202,68,-4510,7390
204,490,-1346,5712
205,-1700,-1254,6614
207,-2954,-3478,7542
208,-2180,-5724,7128
209,-1230,-7244,7226
211,-452,-5396,7756
212,-500,-3000,7646
213,-710,-1894,7078
215,-2602,-1410,6836
216,-4298,-3434,8060
217,-4132,-7522,7750
219,-2032,-8486,7490
220,-38,-8594,7308
222,746,-4448,7986
223,396,-2362,6716
224,-1254,-654,5800
226,-2966,-2596,7896
227,-3704,-6022,7050
229,-768,-9108,6326
230,548,-9518,6518
231,1722,-4054,6826
233,1012,-1484,6330
234,-104,850,6334
235,-2104,-992,8266
237,-4716,-4572,8466
238,-3762,-6962,7430
240,-414,-9974,6916
241,208,-7264,7178
242,1026,-2176,7476
244,-922,538,6962
245,-3130,256,8650
246,-5614,-4848,9414
248,-4670,-7518,6260
249,-580,-11412,6620
251,1238,-10426,7274
252,2190,-2022,6906
253,1084,448,6190
255,-1264,1686,7006
256,-3020,-2700,9454
257,-5010,-7804,9756
259,-3028,-10712,4854
260,1826,-10358,6108
261,2940,-7334,6362
263,1316,1050,6352
264,-702,3854,5598
266,-2882,-1912,9794
267,-6428,-6862,10424
268,-5412,-9094,5180
270,1068,-10922,5688
271,1704,-8424,7974
273,1580,394,7526
274,-272,3434,4970
