timestamp,accX,accY,accZ
0,-1422,-3152,6522
2,-960,-3990,8688
3,-1190,-3554,5940
4,-638,-4694,7486
6,-1068,-4906,7238
7,-1424,-5746,7140
9,-1096,-5604,7286
10,-1342,-5184,5934
11,-1320,-5510,8204
13,-1654,-4644,6734
14,-1354,-5298,8416
15,-1962,-3620,8486
17,-1320,-3962,6386
18,-1432,-3754,9002
19,-1620,-3526,7760
21,-662,-3458,6768
22,-1866,-5092,8472
24,-1106,-4894,7164
25,-834,-5620,6850
26,-1546,-6690,7906
28,-1194,-4984,6564
29,-1878,-6844,7772
30,-1610,-5828,7744
32,-1480,-4632,7838
33,-1578,-6090,8620
35,-1646,-3272,6862
36,-1292,-5358,8544
37,-1260,-3906,7998
39,-1452,-4246,7070
40,-942,-4928,7966
41,-1450,-2628,6894
43,-724,-5832,6906
44,-1350,-3582,5872
46,-1302,-7616,8368
47,-1196,-4832,5640
48,-1154,-3964,9520
50,-1588,-5170,8292
51,-1238,-2842,5334
52,-1442,-4928,9926
54,-1334,-2172,7374
55,-1216,-3736,8060
57,-1346,-2920,8594
58,-874,-3704,6328
59,-900,-4170,8194
61,-1278,-4810,6816
62,-814,-4972,7496
63,-1522,-5980,8012
65,-1246,-5840,5768
66,-1038,-5114,8110
68,-1808,-6694,7818
69,-1368,-5320,7134
70,-1846,-5432,8406
72,-1374,-5004,7600
73,-1738,-3666,7758
74,-1410,-4334,8370
76,-790,-2832,6998
77,-1518,-5248,7804
79,-908,-3846,7130
80,-1250,-6262,6910
81,-1288,-5778,6882
83,-1350,-6064,7518
84,-1460,-7214,7958
86,-1730,-4092,6918
87,-1568,-6698,8934
88,-1694,-5106,7746
90,-1844,-4392,7808
91,-1384,-4632,9026
93,-1740,-2756,6646
94,-930,-4228,8236
95,-1188,-3414,7206
97,-1310,-4730,7470
98,-1064,-4170,7134
99,-1182,-4148,7272
101,-1078,-5338,7338
102,-1086,-4262,5764
104,-1106,-6194,8452
105,-1416,-3538,6448
106,-878,-5528,8498
108,-1998,-3202,8382
109,-964,-3234,7156
111,-1918,-3728,8742
112,-1640,-3358,7930
113,-834,-3164,7196
115,-1502,-4808,8382
116,-1256,-4794,5740
117,-1240,-5366,7550
119,-1574,-7444,7692
120,-1100,-3922,6602
122,-1570,-7388,8230
123,-1868,-6482,6274
124,-1634,-4856,7438
126,-1648,-6452,7270
127,-1710,-2448,6828
129,-1472,-5172,8168
130,-1384,-4364,6720
131,-1802,-3766,7364
133,-822,-4840,7830
134,-1030,-4030,6572
135,-1198,-5172,7318
137,-992,-4124,6892
138,-1468,-6490,7992
140,-1172,-5278,5986
141,-1420,-6644,8372
142,-1682,-6018,8936
144,-1338,-3874,6494
145,-1626,-5612,9724
146,-1626,-3588,8406
148,-1340,-3712,7464
149,-1580,-3528,8972
151,-1170,-3340,6686
152,-1210,-4210,7932
153,-1378,-4214,5720
155,-840,-4890,7088
156,-1510,-5436,8102
158,-1112,-5270,6034
159,-1388,-4958,7674
160,-1642,-5474,6812
162,-1606,-4194,6714
163,-1650,-4628,7576
164,-1190,-3558,7302
166,-2044,-3128,7384
167,-992,-4738,7302
169,-1368,-2692,7356
170,-1440,-4796,7402
171,-1084,-2968,6632
173,-1378,-5642,7688
174,-1384,-6364,5904
175,-1220,-5390,7302
177,-1360,-7758,8132
178,-1778,-3600,6256
180,-1540,-6578,8496
181,-1642,-6204,6548
182,-1774,-4092,7334
184,-1456,-5198,8564
185,-1524,-2828,6856
186,-1608,-3846,7804
188,-1054,-3532,6420
189,-1604,-4796,7334
191,-1168,-4098,8006
192,-1122,-5424,6174
193,-1416,-5794,8394
195,-1274,-4420,5858
196,-1380,-6746,7780
197,-1658,-4718,7976
199,-1292,-6124,6976
200,-1836,-4550,8552
202,-1560,-3464,7036
203,-1620,-3856,8478
204,-1642,-3556,8228
206,-920,-3090,6882
207,-1376,-4228,8614
209,-1544,-2928,5328
210,-740,-3800,6774
211,-1450,-7002,6678
213,-1312,-3944,5616
214,-1224,-6290,7304
215,-1462,-4304,6948
217,-1488,-4586,6996
218,-1362,-6276,7362
220,-1788,-2990,7332
221,-1714,-3836,8486
222,-1014,-2806,6508
224,-1508,-3316,7242
225,-1018,-4674,6864
227,-1200,-3492,6336
228,-1122,-5302,7808
229,-1190,-3440,6376
231,-1290,-6040,8204
232,-1452,-5738,5480
233,-1524,-5660,7228
235,-1776,-6924,9016
236,-1638,-4384,5976
238,-1654,-5582,8438
239,-1884,-4286,6644
240,-1486,-4160,7542
242,-1872,-3732,8912
243,-1404,-3290,6240
244,-1644,-4372,8026
246,-1554,-4086,5826
247,-978,-4530,5714
249,-1348,-5272,8000
250,-1542,-5334,5840
251,-1146,-4998,6948
253,-1478,-5738,7374
254,-1460,-4524,6782
255,-1638,-4544,7564
257,-1336,-4390,6880
258,-1872,-2894,7882
260,-1462,-4832,7210
261,-1050,-2372,6622
262,-1222,-4186,8116
264,-1062,-2636,6468
265,-632,-4406,6986
267,-1272,-4158,6364
268,-944,-4420,7008
269,-1086,-7178,6112
271,-1220,-4292,6584
272,-1674,-6156,8406
273,-1578,-4254,6144
275,-1578,-4632,7494
