timestamp,accX,accY,accZ
0,-918,-4618,7416
2,-1728,-5566,7778
3,-1302,-5170,6530
4,-1582,-5206,8070
6,-1052,-3550,6936
7,-1368,-4270,8750
9,-1550,-3622,8688
10,-908,-2904,6072
11,-1274,-4350,8794
13,-1318,-4228,8060
14,-1128,-3258,6514
15,-1082,-5852,8072
17,-1400,-4742,6628
18,-1142,-6056,7890
20,-1568,-6008,7102
21,-1380,-4190,7774
22,-1944,-5962,8640
24,-1610,-4492,6802
25,-1364,-4418,8602
27,-1666,-5010,8852
28,-1560,-2456,6538
29,-1042,-4958,8206
31,-1556,-3776,7674
32,-1370,-4856,7440
33,-1186,-5126,6654
35,-1256,-4046,8016
36,-1198,-6022,7394
38,-1246,-4766,7222
39,-1398,-5886,8656
40,-1284,-4662,6744
42,-1456,-5290,8186
43,-1484,-3768,8550
45,-1140,-4168,7232
46,-1412,-3848,8760
47,-1176,-3894,7452
49,-1190,-3498,7380
50,-1602,-5030,8654
52,-1010,-3732,5704
53,-1350,-5134,7800
54,-1826,-5578,5980
56,-842,-4862,6844
57,-1710,-6142,7728
58,-1346,-4736,6452
60,-1812,-5062,7848
61,-1450,-5510,8014
63,-1206,-3226,7254
64,-1746,-4836,8796
65,-1194,-3604,5964
67,-1568,-4080,7630
68,-1182,-5052,6474
69,-1578,-3582,6602
71,-1042,-6026,7762
72,-1500,-4028,6686
74,-1362,-6484,8670
75,-1292,-5720,5206
76,-1588,-6022,7852
78,-1790,-6580,9424
79,-1850,-4230,5990
80,-1514,-5262,8864
82,-1716,-4068,6576
83,-1602,-3584,7210
85,-1212,-3904,8738
86,-1092,-3994,5780
87,-1214,-4436,7866
89,-1520,-4468,5912
90,-886,-4916,6268
92,-1470,-4496,7840
93,-1390,-6040,6892
94,-1422,-4618,7468
96,-1446,-4650,6986
97,-1728,-5690,7878
99,-1710,-4278,7882
100,-1018,-4508,6874
101,-1782,-3566,8650
103,-1270,-4830,6374
104,-1086,-2640,6802
105,-1396,-4754,8592
107,-1326,-2300,5814
108,-1238,-4982,7340
109,-1486,-6828,6026
111,-814,-4166,6608
112,-1576,-7508,8400
114,-1420,-3128,6046
115,-1630,-5964,7982
116,-1772,-6476,6444
118,-1644,-3282,6332
119,-1568,-5498,8262
121,-1746,-2144,6138
122,-1390,-3654,7046
123,-1090,-3002,6436
125,-1690,-3116,6426
126,-906,-5290,6792
128,-1520,-3512,5810
129,-1264,-5924,7778
130,-1330,-4026,5406
132,-1400,-6210,7406
133,-1566,-4038,5984
135,-1658,-5306,6060
136,-1702,-6204,8756
137,-1218,-3808,5914
139,-1428,-4806,6786
140,-1866,-3846,7692
141,-846,-4264,5814
143,-1170,-3490,8776
144,-1210,-4964,7156
146,-494,-3928,5348
147,-1422,-6024,8242
148,-846,-5222,6388
150,-904,-4080,7478
151,-1308,-6614,7864
152,-1170,-4664,6608
154,-1732,-6558,8006
155,-1154,-4930,7538
157,-1530,-2756,7784
158,-1100,-5066,7936
159,-1320,-2186,6746
161,-1362,-5486,7746
162,-1190,-2408,6528
163,-1068,-3690,7640
165,-1392,-3592,6258
166,-1230,-3046,6580
168,-1094,-5378,6952
169,-1418,-2656,5454
170,-1386,-6044,8922
172,-1334,-3622,6062
173,-1578,-4230,6116
174,-1780,-3660,8312
176,-1400,-3374,6088
177,-1694,-4270,9042
179,-1134,-2954,6734
180,-1384,-3748,5660
181,-1048,-4326,8374
183,-1426,-4446,5288
184,-1000,-4538,8612
185,-1612,-4762,6536
187,-1302,-5244,6300
188,-1498,-4350,7790
190,-1590,-5694,6422
191,-1490,-5546,8088
192,-1342,-5412,6772
194,-1058,-5356,6774
195,-1824,-4416,8128
196,-814,-4142,6322
198,-882,-3314,9002
199,-1332,-5028,7762
201,-518,-2314,5428
202,-1214,-7126,8598
203,-1198,-4198,6690
205,-934,-3014,8054
206,-1284,-6732,7934
207,-1176,-3170,5768
209,-1570,-7458,8958
210,-1166,-4740,6700
212,-1408,-2936,8442
213,-1384,-5788,9138
214,-1508,-3012,5986
216,-1318,-5382,8774
217,-1234,-3758,7506
218,-1486,-2382,7590
220,-1110,-4808,7750
221,-1562,-2816,6328
223,-976,-5650,7880
224,-1336,-3572,5560
225,-1400,-5486,9138
227,-1546,-3396,6632
228,-1254,-4534,5740
230,-1720,-3938,9052
231,-1318,-2872,6152
232,-1348,-5182,8924
234,-1632,-2596,8120
235,-982,-4380,5822
236,-1080,-3732,8682
238,-1414,-4498,7280
239,-784,-4008,6956
241,-1926,-5386,8184
242,-1580,-5716,6626
243,-1538,-4806,7022
245,-1892,-6746,7574
246,-1448,-3708,7410
248,-1544,-6542,7394
249,-1300,-5792,7124
250,-1868,-4294,8074
252,-1186,-5968,6612
253,-1402,-3270,7250
255,-1094,-5674,7866
256,-1106,-3312,6604
257,-1312,-6288,7658
259,-1026,-4782,6112
260,-1332,-6058,8284
262,-1228,-6462,7834
263,-1148,-4846,7166
264,-1726,-6932,9246
266,-1162,-4122,5304
267,-1506,-5872,8010
269,-1406,-4924,6430
270,-1448,-3940,6240
271,-1148,-4578,8726
273,-1196,-2884,5726
274,-1070,-3784,7242
275,-1042,-4728,5936
