timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.93,-0.62,-0.33,0.00,-0.61,1.28
10,-10.07,-0.42,0.00,0.73,-0.18,1.34
20,-9.78,-0.50,0.11,0.67,-0.43,1.22
30,-9.84,-0.58,-0.04,-0.18,-0.79,1.22
40,-9.63,-0.50,-0.40,0.43,-0.61,1.16
50,-9.57,-0.62,0.07,0.85,-0.24,1.22
60,-9.83,-0.42,0.24,0.43,-0.43,1.16
70,-9.78,-0.59,-0.33,-0.37,-0.61,1.22
80,-9.77,-0.64,-0.51,-0.18,-0.49,1.22
90,-9.48,-0.69,-0.11,0.61,-0.24,1.28
100,-9.77,-0.55,0.32,0.79,-0.37,1.10
110,-9.65,-0.65,-0.47,-0.49,-0.67,1.34
120,-9.68,-0.55,-0.36,0.12,-0.55,1.40
130,-9.96,-0.56,0.12,0.85,-0.18,1.22
140,-9.69,-0.57,0.14,0.37,-0.24,1.16
150,-9.64,-0.47,-0.18,-0.43,-0.49,1.16
160,-9.86,-0.58,-0.46,-0.18,-0.67,1.16
170,-9.62,-0.70,-0.22,0.55,-0.43,1.22
180,-9.92,-0.43,0.08,0.18,-0.43,1.16
190,-9.98,-0.46,-0.37,-0.43,-0.79,1.10
200,-9.81,-0.72,-0.44,-0.12,-0.55,1.34
210,-10.02,-0.48,-0.01,0.92,-0.31,1.46
220,-9.74,-0.43,0.19,0.73,-0.24,1.22
230,-9.84,-0.58,-0.07,-0.12,-0.61,1.28
240,-9.71,-0.55,-0.47,0.43,-0.55,1.34
250,-9.70,-0.67,0.06,0.79,-0.31,1.28
260,-9.79,-0.46,0.22,0.49,-0.49,1.22
270,-9.60,-0.60,-0.24,-0.49,-0.61,1.28
280,-9.87,-0.57,-0.44,-0.12,-0.67,1.46
290,-9.50,-0.71,-0.18,0.79,-0.49,1.34
300,-9.75,-0.57,0.29,0.85,-0.24,1.28
310,-9.68,-0.49,-0.02,-0.37,-0.49,1.40
320,-9.63,-0.63,-0.47,0.18,-0.49,1.22
330,-9.84,-0.56,0.10,0.79,-0.18,1.28
340,-9.69,-0.55,0.20,0.49,-0.37,1.22
350,-9.76,-0.45,-0.19,-0.31,-0.67,1.16
360,-9.78,-0.66,-0.50,-0.31,-0.67,1.22
370,-9.71,-0.64,-0.14,0.55,-0.37,1.28
380,-10.10,-0.50,0.02,0.12,-0.61,1.28
390,-9.74,-0.50,-0.34,-0.43,-0.73,1.22
400,-9.86,-0.63,-0.33,-0.06,-0.55,1.10
410,-9.99,-0.55,-0.10,0.85,-0.31,1.34
420,-9.79,-0.45,0.12,0.79,-0.24,1.28
430,-9.76,-0.49,0.02,0.00,-0.67,1.28
440,-9.80,-0.56,-0.37,-0.37,-0.43,1.34
450,-9.64,-0.63,0.11,0.79,-0.24,1.34
460,-9.76,-0.45,0.25,0.37,-0.37,1.28
470,-9.79,-0.59,-0.26,-0.24,-0.67,1.34
480,-9.84,-0.60,-0.51,-0.12,-0.73,1.46
490,-9.52,-0.61,-0.12,0.49,-0.49,1.53
500,-9.74,-0.63,0.27,0.67,-0.37,1.22
510,-9.77,-0.51,-0.08,-0.31,-0.67,1.28
520,-9.61,-0.63,-0.31,0.18,-0.61,1.40
530,-9.88,-0.59,0.09,0.79,-0.31,1.46
540,-9.76,-0.53,0.13,0.43,-0.61,1.34
550,-9.73,-0.43,-0.16,-0.24,-0.61,1.40
560,-9.80,-0.61,-0.43,-0.31,-0.61,1.34
570,-9.78,-0.70,-0.20,0.43,-0.43,1.40
580,-9.84,-0.42,0.14,0.24,-0.43,1.46
590,-9.90,-0.55,-0.38,-0.24,-0.79,1.40
600,-9.93,-0.61,-0.41,0.12,-0.55,1.34
610,-9.99,-0.47,-0.05,0.67,-0.31,1.40
620,-9.75,-0.49,0.17,0.55,-0.31,1.40
630,-9.84,-0.60,-0.03,-0.18,-0.67,1.40
640,-9.61,-0.53,-0.41,-0.37,-0.85,1.28
650,-9.65,-0.67,0.10,0.73,-0.31,1.22
660,-9.79,-0.40,0.25,0.43,-0.18,1.34
670,-9.64,-0.60,-0.30,-0.37,-0.43,1.34
680,-9.83,-0.60,-0.48,-0.24,-0.61,1.46
690,-9.45,-0.69,-0.17,0.49,-0.37,1.22
700,-9.78,-0.56,0.29,0.73,-0.31,1.28
710,-9.74,-0.49,-0.05,0.00,-0.79,1.34
720,-9.71,-0.64,-0.38,0.18,-0.61,1.40
730,-9.99,-0.47,0.10,0.73,-0.24,1.28
740,-9.69,-0.56,0.13,0.43,-0.31,1.10
750,-9.75,-0.46,-0.16,-0.31,-0.67,1.28
760,-9.74,-0.60,-0.45,-0.24,-0.73,1.34
770,-9.72,-0.71,-0.24,0.49,-0.61,1.34
780,-9.74,-0.45,0.17,0.24,-0.55,1.28
790,-9.95,-0.46,-0.34,-0.37,-0.73,1.22
800,-9.77,-0.69,-0.43,0.06,-0.79,1.28
810,-9.91,-0.56,-0.07,0.79,-0.43,1.28
820,-9.76,-0.41,0.20,0.73,-0.37,1.16
830,-9.78,-0.58,-0.06,-0.12,-0.55,1.28
840,-9.77,-0.57,-0.43,-0.37,-0.61,1.34
850,-9.79,-0.53,0.26,0.79,-0.24,1.40
860,-9.75,-0.46,0.20,0.37,-0.24,1.46
870,-9.56,-0.64,-0.25,-0.18,-0.49,1.46
880,-9.87,-0.56,-0.44,-0.12,-0.49,1.53
890,-9.54,-0.65,-0.19,0.61,-0.24,1.22
900,-9.76,-0.61,0.24,0.55,-0.31,1.40
910,-9.75,-0.46,0.02,-0.06,-0.49,1.28
920,-9.61,-0.69,-0.45,0.24,-0.73,1.28
930,-9.88,-0.55,0.08,0.85,-0.37,1.22
940,-9.70,-0.50,0.19,0.55,-0.31,1.16
950,-9.86,-0.45,-0.19,-0.18,-0.67,1.22
