timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.68,-0.42,0.04,0.06,-0.61,1.34
10,-9.66,-0.47,-0.34,0.12,-0.43,1.40
20,-9.80,-0.54,0.06,0.79,-0.18,1.28
30,-9.72,-0.40,0.23,0.43,-0.37,1.10
40,-9.82,-0.47,-0.15,-0.06,-0.49,1.22
50,-9.68,-0.78,-0.56,-0.12,-0.79,1.28
60,-9.69,-0.56,-0.17,0.37,-0.43,1.22
70,-9.55,-0.53,0.13,0.85,-0.24,1.34
80,-9.36,-0.66,-0.30,-0.43,-0.73,1.34
90,-10.03,-0.53,-0.35,-0.06,-0.79,1.28
100,-9.70,-0.65,-0.21,0.73,-0.55,1.22
110,-9.69,-0.45,0.28,0.85,-0.37,1.22
120,-9.85,-0.46,0.05,0.06,-0.61,1.28
130,-9.76,-0.53,-0.43,-0.37,-0.61,1.34
140,-9.62,-0.68,-0.47,0.24,-0.37,1.28
150,-9.59,-0.53,0.21,0.37,-0.37,1.28
160,-10.08,-0.60,-0.29,-0.43,-0.61,1.28
170,-9.94,-0.56,-0.51,-0.24,-0.55,1.28
180,-9.74,-0.60,-0.10,0.49,-0.18,1.16
190,-9.97,-0.60,0.13,0.73,-0.18,1.22
200,-9.68,-0.38,0.06,0.24,-0.61,1.16
210,-9.55,-0.53,-0.38,0.18,-0.55,1.28
220,-9.58,-0.58,-0.02,0.67,-0.31,1.28
230,-9.88,-0.38,0.22,0.49,-0.31,1.22
240,-9.82,-0.49,-0.13,-0.37,-0.49,1.40
250,-9.60,-0.71,-0.55,-0.37,-0.67,1.22
260,-9.71,-0.55,-0.19,0.49,-0.37,1.28
270,-9.53,-0.55,0.18,0.85,-0.24,1.10
280,-9.95,-0.63,-0.26,-0.24,-0.79,1.28
290,-9.99,-0.52,-0.32,-0.06,-0.61,1.34
300,-9.72,-0.72,-0.21,0.73,-0.18,1.40
310,-9.61,-0.51,0.25,0.85,-0.24,1.34
320,-9.91,-0.46,0.04,-0.06,-0.55,1.40
330,-9.85,-0.54,-0.47,-0.43,-0.61,1.10
340,-9.57,-0.67,-0.46,0.24,-0.49,1.40
