timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.92,-0.54,-0.45,-0.06,-0.55,1.28
10,-9.62,-0.66,-0.16,0.61,-0.24,1.16
20,-9.80,-0.42,0.00,0.00,-0.55,1.16
30,-9.65,-0.60,-0.45,-0.24,-0.67,1.40
40,-9.88,-0.65,-0.39,0.24,-0.61,1.16
50,-9.90,-0.48,0.08,0.73,-0.43,1.28
60,-9.74,-0.48,0.18,0.37,-0.49,1.40
70,-9.76,-0.57,-0.21,-0.18,-0.73,1.22
80,-9.75,-0.57,-0.44,-0.18,-0.31,1.28
90,-9.82,-0.54,0.13,0.79,-0.12,1.22
100,-9.81,-0.53,0.06,0.37,-0.43,1.16
110,-9.82,-0.53,-0.31,-0.31,-0.73,1.34
120,-9.93,-0.61,-0.45,-0.12,-0.67,1.16
130,-9.71,-0.64,-0.08,0.67,-0.31,1.28
140,-9.55,-0.52,0.26,0.61,-0.24,1.22
150,-9.85,-0.52,-0.07,-0.24,-0.67,1.28
160,-9.78,-0.59,-0.29,0.49,-0.61,1.16
170,-9.95,-0.56,0.16,0.85,-0.31,1.22
180,-9.83,-0.51,0.10,0.37,-0.49,1.34
190,-9.76,-0.58,-0.33,-0.24,-0.79,1.40
200,-9.85,-0.52,-0.42,-0.12,-0.55,1.34
210,-9.56,-0.64,-0.12,0.61,-0.24,1.28
220,-9.81,-0.50,-0.01,0.00,-0.61,1.22
230,-9.64,-0.57,-0.41,-0.24,-0.67,1.34
240,-9.81,-0.65,-0.39,0.24,-0.49,1.22
250,-9.85,-0.50,0.08,0.85,-0.18,1.28
260,-9.64,-0.54,0.18,0.49,-0.49,1.34
270,-9.82,-0.57,-0.21,-0.24,-0.67,1.22
280,-9.77,-0.62,-0.51,-0.06,-0.73,1.40
290,-9.71,-0.57,0.17,0.79,-0.18,1.28
300,-9.81,-0.51,0.02,0.18,-0.55,1.16
310,-9.75,-0.57,-0.39,-0.24,-0.61,1.28
320,-9.87,-0.60,-0.36,0.00,-0.61,1.28
330,-9.67,-0.58,-0.00,0.73,-0.49,1.28
340,-9.67,-0.48,0.22,0.73,-0.43,1.40
350,-9.82,-0.51,-0.09,-15.56,-0.67,1.40
360,-9.73,-0.59,-0.30,0.37,-0.31,1.46
370,-10.14,-0.45,0.16,0.98,-0.43,1.28
380,-9.82,-0.55,0.10,0.37,-0.49,1.46
390,-9.88,-0.60,-0.31,-0.31,-0.79,1.40
400,-10.00,-0.56,-0.49,-0.12,-0.73,1.28
410,-9.63,-0.61,-0.15,0.73,-0.24,1.22
420,-9.76,-0.53,0.21,0.00,-0.49,1.22
430,-9.57,-0.57,-0.45,-0.18,-0.67,1.28
440,-9.75,-0.65,-0.38,0.24,-0.43,1.40
450,-9.80,-0.51,0.08,0.85,-0.18,1.34
460,-9.67,-0.47,0.20,0.67,-0.37,1.22
470,-9.80,-0.54,-0.21,-0.18,-0.79,1.22
480,-9.69,-0.62,-0.49,-0.24,-0.61,1.22
490,-9.63,-0.60,0.16,0.98,-0.37,1.16
500,-9.76,-0.55,0.04,0.18,-0.43,1.28
510,-9.86,-0.56,-0.36,-0.31,-0.55,1.40
520,-10.04,-0.60,-0.45,0.06,-0.49,1.28
530,-9.68,-0.62,-0.06,0.85,-0.24,1.22
540,-9.59,-0.49,0.25,0.49,-0.31,1.28
550,-9.85,-0.48,-0.07,-0.06,-0.55,1.22
560,-9.65,-0.62,-0.27,0.18,-0.43,1.40
570,-9.93,-0.52,0.17,0.67,-0.37,1.34
580,-9.84,-0.50,0.09,0.49,-0.37,1.22
590,-9.83,-0.57,-0.31,-0.12,-0.73,1.40
600,-9.90,-0.54,-0.45,-0.12,-0.67,1.34
610,-9.63,-0.65,-0.16,0.73,-0.37,1.40
620,-9.78,-0.56,0.17,0.79,-0.49,1.22
630,-9.61,-0.61,-0.43,-0.43,-0.61,1.28
640,-9.88,-0.64,-0.37,0.12,-0.49,1.40
650,-9.97,-0.47,0.09,0.73,-0.37,1.34
660,-9.75,-0.47,0.16,0.37,-0.49,1.28
670,-9.75,-0.58,-0.22,-0.31,-0.61,1.34
680,-9.74,-0.59,-0.44,-0.24,-0.79,1.22
690,-9.62,-0.58,-0.17,0.92,-0.31,1.22
700,-9.81,-0.51,0.03,0.12,-0.49,1.28
710,-9.78,-0.52,-0.28,-0.24,-0.79,1.16
720,-9.89,-0.61,-0.44,0.12,-0.67,1.10
730,-9.71,-0.60,-0.06,0.73,-0.37,1.16
740,-9.58,-0.51,0.25,0.61,-0.37,1.10
750,-9.80,-0.53,-0.09,0.00,-0.61,1.22
760,-9.70,-0.61,-0.28,0.49,-0.55,1.22
770,-10.04,-0.51,0.16,0.79,-0.43,1.10
780,-9.86,-0.52,0.08,0.18,-0.49,1.22
790,-9.80,-0.58,-0.33,-0.37,-0.55,1.22
800,-9.87,-0.58,-0.43,-0.24,-0.43,1.22
810,-9.58,-0.62,-0.11,0.49,-0.49,1.22
820,-9.76,-0.50,0.17,0.67,-0.49,1.28
830,-9.62,-0.57,-0.41,-0.43,-0.85,1.16
840,-9.78,-0.65,-0.40,0.18,-0.61,1.28
850,-9.89,-0.51,0.08,0.67,-0.24,1.40
860,-9.69,-0.50,0.19,0.43,-0.24,1.46
870,-9.80,-0.56,-0.21,-0.37,-0.73,1.40
880,-9.72,-0.65,-0.54,-0.18,-0.67,1.28
890,-9.64,-0.61,-0.19,0.49,-0.43,1.22
900,-9.81,-0.53,0.04,0.18,-0.43,1.28
910,-9.77,-0.58,-0.40,-0.43,-0.61,1.22
920,-9.95,-0.58,-0.37,0.12,-0.61,1.22
930,-9.65,-0.61,-0.02,0.79,-0.31,1.16
940,-9.62,-0.49,0.22,0.73,-0.31,1.16
950,-9.82,-0.48,-0.09,-0.12,-0.55,1.34
960,-9.64,-0.57,-0.47,0.37,-0.55,1.46
970,-10.10,-0.47,0.14,0.85,-0.43,1.28
980,-9.83,-0.52,0.10,0.37,-0.55,1.10
990,-9.84,-0.62,-0.29,-0.31,-0.73,1.22
