timestamp,mpu_accX,mpu_accY,mpu_accZ,mpu_gyrX,mpu_gyrY,mpu_gyrZ
0,2.50,-6.22,7.97,-0.07,0.04,-1.08
7,2.47,-6.18,7.86,-0.08,0.04,-1.08
14,2.46,-6.22,7.84,-0.08,0.04,-1.07
21,2.43,-6.22,7.93,-0.08,0.04,-1.09
29,2.42,-6.27,7.93,-0.08,0.05,-1.08
35,2.48,-6.24,7.89,-0.07,0.04,-1.12
42,2.44,-6.23,7.88,-0.07,0.04,-1.10
49,2.44,-6.22,7.96,-0.07,0.04,-1.09
56,2.50,-6.17,7.89,-0.07,0.04,-1.10
63,2.48,-6.22,7.98,-0.08,0.04,-1.08
69,2.54,-6.23,7.86,-0.08,0.04,-1.09
76,2.45,-6.14,7.89,-0.08,0.04,-1.07
83,2.45,-6.25,7.90,-0.08,0.04,-1.08
90,2.39,-6.19,7.81,-0.08,0.04,-1.08
97,2.45,-6.23,7.92,-0.08,0.04,-1.09
104,2.45,-6.21,7.83,-0.07,0.04,-1.09
111,2.48,-6.23,7.83,-0.07,0.04,-1.09
119,2.48,-6.26,7.92,-0.08,0.04,-1.08
127,2.51,-6.21,7.94,-0.08,0.04,-1.10
133,2.49,-6.16,7.83,-0.08,0.04,-1.07
140,2.53,-6.24,7.94,-0.08,0.04,-1.11
146,2.48,-6.20,7.83,-0.08,0.04,-1.07
152,2.47,-6.25,7.90,-0.08,0.04,-1.09
159,2.42,-6.24,7.90,-0.08,0.05,-1.09
167,2.43,-6.28,7.95,-0.07,0.04,-1.09
175,2.51,-6.22,7.76,-0.08,0.04,-1.09
181,2.45,-6.25,7.91,-0.07,0.04,-1.10
188,2.42,-6.23,7.85,-0.08,0.04,-1.09
195,2.46,-6.22,7.92,-0.08,0.04,-1.07
202,2.36,-6.23,7.94,-0.08,0.04,-1.08
210,2.46,-6.27,7.95,-0.08,0.04,-1.09
219,2.46,-6.22,7.92,-0.07,0.04,-1.08
226,2.47,-6.25,7.98,-0.07,0.04,-1.10
234,2.50,-6.22,7.88,-0.08,0.04,-1.10
241,2.45,-6.23,7.87,-0.07,0.04,-1.09
250,2.51,-6.21,7.86,-0.07,0.04,-1.09
257,2.44,-6.20,8.04,-0.08,0.04,-1.08
266,2.46,-6.26,7.88,-0.08,0.04,-1.08
272,2.46,-6.29,7.88,-0.08,0.04,-1.10
279,2.43,-6.20,7.86,-0.07,0.04,-1.10
285,2.49,-6.22,7.93,-0.07,0.04,-1.10
292,2.46,-6.18,7.87,-0.07,0.04,-1.09
300,2.42,-6.21,7.91,-0.08,0.04,-1.10
309,2.46,-6.22,7.98,-0.08,0.04,-1.09
317,2.51,-6.24,7.85,-0.08,0.04,-1.08
323,2.45,-6.23,7.86,-0.08,0.04,-1.09
331,2.48,-6.23,7.95,-0.08,0.04,-1.09
339,2.48,-6.24,7.95,-0.07,0.04,-1.08
347,2.50,-6.25,7.89,-0.08,0.04,-1.09
354,2.50,-6.18,7.90,-0.07,0.04,-1.10
360,2.48,-6.21,7.80,-0.07,0.04,-1.10
367,2.48,-6.26,7.94,-0.07,0.04,-1.10
374,2.47,-6.22,7.91,-0.07,0.04,-1.08
380,2.46,-6.26,7.88,-0.08,0.04,-1.08
386,2.52,-6.21,7.92,-0.07,0.04,-1.08
392,2.50,-6.22,7.92,-0.08,0.04,-1.08
399,2.43,-6.24,7.74,-0.07,0.04,-1.09
405,2.50,-6.22,7.95,-0.07,0.04,-1.09
412,2.44,-6.23,7.84,-0.08,0.04,-1.09
418,2.54,-6.23,7.87,-0.08,0.04,-1.10
424,2.48,-6.25,7.93,-0.07,0.04,-1.09
431,2.45,-6.23,7.91,-0.07,0.04,-1.10
440,2.50,-6.20,7.88,-0.08,0.04,-1.09
447,2.51,-6.18,7.90,-0.08,0.04,-1.08
455,2.52,-6.21,7.87,-0.08,0.04,-1.08
462,2.45,-6.23,7.87,-0.08,0.04,-1.08
470,2.45,-6.24,7.81,-0.08,0.04,-1.08
477,2.46,-6.27,7.86,-0.08,0.04,-1.09
483,2.43,-6.20,7.93,-0.07,0.04,-1.10
489,2.52,-6.21,7.92,-0.08,0.04,-1.10
498,2.51,-6.26,7.82,-0.08,0.04,-1.09
505,2.44,-6.27,7.91,-0.08,0.04,-1.09
514,2.50,-6.27,7.90,-0.08,0.04,-1.08
522,2.44,-6.21,7.87,-0.08,0.04,-1.09
530,2.49,-6.14,7.93,-0.08,0.04,-1.09
538,2.42,-6.22,7.90,-0.07,0.04,-1.11
544,2.50,-6.24,7.96,-0.07,0.04,-1.10
550,2.46,-6.25,7.89,-0.07,0.04,-1.09
557,2.46,-6.27,7.97,-0.07,0.04,-1.07
565,2.47,-6.21,7.97,-0.08,0.04,-1.08
571,2.48,-6.22,7.91,-0.08,0.04,-1.07
579,2.43,-6.20,7.92,-0.08,0.04,-1.08
586,2.42,-6.19,7.98,-0.07,0.04,-1.08
593,2.41,-6.18,7.81,-0.08,0.04,-1.09
600,2.44,-6.25,7.86,-0.08,0.04,-1.07
607,2.44,-6.21,7.97,-0.07,0.04,-1.11
614,2.49,-6.21,7.98,-0.08,0.04,-1.08
621,2.57,-6.20,7.87,-0.08,0.04,-1.08
630,2.50,-6.22,7.92,-0.08,0.04,-1.08
636,2.51,-6.21,7.92,-0.08,0.04,-1.08
643,2.48,-6.26,7.90,-0.08,0.04,-1.09
649,2.45,-6.20,7.97,-0.07,0.04,-1.08
655,2.44,-6.21,7.85,-0.07,0.04,-1.08
662,2.49,-6.23,7.90,-0.07,0.04,-1.08
668,2.45,-6.27,7.86,-0.07,0.04,-1.08
674,2.46,-6.23,7.76,-0.08,0.04,-1.09
681,2.48,-6.22,7.85,-0.07,0.04,-1.10
689,2.44,-6.23,7.85,-0.08,0.04,-1.11
696,2.48,-6.28,7.85,-0.08,0.04,-1.09
702,2.43,-6.26,7.90,-0.08,0.04,-1.07
709,2.48,-6.27,8.00,-0.08,0.04,-1.08
716,2.46,-6.23,7.81,-0.07,0.04,-1.07
724,2.38,-6.19,7.93,-0.07,0.04,-1.10
733,2.50,-6.21,7.92,-0.07,0.04,-1.09
741,2.43,-6.18,7.86,-0.08,0.04,-1.09
747,2.49,-6.21,7.88,-0.07,0.04,-1.09
754,2.45,-6.20,7.92,-0.08,0.04,-1.09
761,2.49,-6.24,7.87,-0.08,0.04,-1.09
768,2.52,-6.26,7.89,-0.08,0.04,-1.09
776,2.38,-6.23,7.91,-0.08,0.04,-1.09
782,2.41,-6.21,7.89,-0.08,0.04,-1.08
789,2.49,-6.21,7.86,-0.08,0.04,-1.10
797,2.40,-6.22,7.81,-0.08,0.04,-1.07
804,2.44,-6.20,7.88,-0.08,0.04,-1.08
811,2.52,-6.21,7.94,-0.07,0.04,-1.11
817,2.47,-6.24,7.94,-0.08,0.04,-1.09
824,2.49,-6.23,7.85,-0.08,0.04,-1.06
832,2.47,-6.22,7.94,-0.08,0.04,-1.09
839,2.46,-6.24,7.87,-0.08,0.04,-1.09
848,2.47,-6.21,7.94,-0.07,0.04,-1.09
856,2.43,-6.20,7.82,-0.08,0.04,-1.10
865,2.55,-6.21,7.91,-0.08,0.04,-1.09
874,2.44,-6.28,7.98,-0.08,0.04,-1.09
882,2.43,-6.25,7.95,-0.07,0.04,-1.07
889,2.44,-6.25,7.89,-0.08,0.04,-1.07
895,2.51,-6.15,8.01,-0.08,0.04,-1.10
901,2.43,-6.22,7.79,-0.08,0.04,-1.08
909,2.44,-6.27,7.86,-0.08,0.04,-1.08
916,2.58,-6.22,7.98,-0.08,0.04,-1.09
922,2.44,-6.24,7.86,-0.08,0.04,-1.10
928,2.43,-6.22,7.88,-0.07,0.04,-1.09
935,2.46,-6.19,7.92,-0.08,0.04,-1.08
942,2.41,-6.25,7.87,-0.07,0.04,-1.09
949,2.48,-6.23,7.93,-0.08,0.04,-1.09
955,2.46,-6.22,7.89,-0.08,0.04,-1.09
962,2.41,-6.20,7.86,-0.08,0.04,-1.09
970,2.44,-6.25,7.96,-0.08,0.04,-1.09
977,2.45,-6.23,7.94,-0.08,0.04,-1.10
985,2.43,-6.25,7.88,-0.08,0.04,-1.10
992,2.51,-6.24,7.87,-0.07,0.04,-1.09
