timestamp,mpu_accX,mpu_accY,mpu_accZ,mpu_gyrX,mpu_gyrY,mpu_gyrZ
0,2.45,-6.21,7.86,-0.07,0.04,-1.09
6,2.47,-6.19,7.87,-0.07,0.04,-1.08
12,2.43,-6.22,7.90,-0.07,0.04,-1.09
19,2.47,-6.25,7.91,-0.07,0.04,-1.11
25,2.47,-6.26,7.91,-0.08,0.04,-1.08
32,2.51,-6.24,7.96,-0.08,0.04,-1.10
39,2.47,-6.22,7.86,-0.07,0.04,-1.09
46,2.42,-6.21,7.84,-0.08,0.04,-1.09
53,2.41,-6.21,7.80,-0.08,0.04,-1.08
59,2.51,-6.24,7.92,-0.07,0.04,-1.09
66,2.45,-6.24,7.89,-0.07,0.04,-1.09
72,2.49,-6.23,7.86,-0.07,0.04,-1.09
79,2.49,-6.21,7.87,-0.07,0.04,-1.09
85,2.46,-6.26,7.83,-0.08,0.04,-1.07
92,2.49,-6.24,7.82,-0.07,0.04,-1.08
98,2.48,-6.19,7.90,-0.08,0.04,-1.09
105,2.48,-6.25,7.86,-0.08,0.04,-1.09
111,2.42,-6.20,7.84,-0.08,0.04,-1.08
117,2.39,-6.26,7.89,-0.07,0.04,-1.09
124,2.46,-6.21,7.93,-0.08,0.04,-1.09
131,2.53,-6.23,7.86,-0.07,0.04,-1.09
137,2.51,-6.21,7.88,-0.07,0.04,-1.07
144,2.48,-6.22,7.84,-0.08,0.04,-1.09
150,2.49,-6.20,7.93,-0.07,0.04,-1.10
157,2.45,-6.22,7.87,-0.08,0.04,-1.09
164,2.48,-6.24,7.90,-0.08,0.04,-1.09
170,2.49,-6.17,7.84,-0.08,0.04,-1.09
176,2.43,-6.16,7.87,-0.08,0.05,-1.08
183,2.51,-6.22,7.85,-0.07,0.04,-1.07
191,2.47,-6.21,7.90,-0.08,0.04,-1.09
198,2.47,-6.22,7.93,-0.07,0.04,-1.10
205,2.47,-6.22,7.93,-0.08,0.04,-1.09
212,2.49,-6.22,7.86,-0.08,0.04,-1.09
221,2.49,-6.27,7.94,-0.08,0.04,-1.10
229,2.43,-6.23,7.88,-0.08,0.04,-1.07
236,2.47,-6.21,7.92,-0.07,0.04,-1.09
243,2.46,-6.20,7.85,-0.08,0.04,-1.08
250,2.49,-6.20,7.90,-0.08,0.04,-1.09
256,2.38,-6.25,7.74,-0.07,0.04,-1.09
263,2.48,-6.22,7.92,-0.07,0.04,-1.09
271,2.46,-6.19,7.95,-0.07,0.04,-1.08
280,2.40,-6.24,7.96,-0.08,0.04,-1.09
287,2.45,-6.27,7.91,-0.07,0.04,-1.09
294,2.46,-6.21,7.90,-0.08,0.04,-1.07
302,2.45,-6.22,7.83,-0.08,0.05,-1.09
309,2.46,-6.25,7.83,-0.08,0.04,-1.08
317,2.43,-6.21,7.86,-0.08,0.04,-1.10
325,2.49,-6.22,7.86,-0.07,0.04,-1.10
333,2.46,-6.20,7.82,-0.07,0.04,-1.08
340,2.46,-6.25,7.89,-0.08,0.04,-1.08
347,2.47,-6.22,7.95,-0.07,0.04,-1.08
356,2.46,-6.21,7.85,-0.08,0.04,-1.07
363,2.49,-6.23,7.89,-0.08,0.05,-1.10
371,2.47,-6.24,7.91,-0.08,0.04,-1.08
379,2.46,-6.27,7.91,-0.07,0.04,-1.09
386,2.45,-6.26,7.81,-0.07,0.04,-1.10
393,2.50,-6.16,7.88,-0.08,0.04,-1.10
