timestamp,mpu_accX,mpu_accY,mpu_accZ,mpu_gyrX,mpu_gyrY,mpu_gyrZ
0,2.45,-6.24,7.92,-0.07,0.04,-1.10
7,2.51,-6.25,7.95,-0.08,0.04,-1.09
16,2.44,-6.20,7.92,-0.08,0.04,-1.10
23,2.45,-6.21,7.89,-0.08,0.04,-1.08
30,2.44,-6.27,7.98,-0.07,0.04,-1.10
37,2.41,-6.20,7.82,-0.08,0.04,-1.09
45,2.46,-6.24,7.93,-0.07,0.04,-1.10
52,2.51,-6.22,7.92,-0.07,0.04,-1.09
60,2.53,-6.23,7.84,-0.07,0.04,-1.09
67,2.48,-6.19,7.83,-0.08,0.04,-1.09
75,2.47,-6.23,7.96,-0.08,0.04,-1.10
83,2.47,-6.26,7.90,-0.08,0.04,-1.07
90,2.47,-6.24,7.92,-0.08,0.04,-1.08
98,2.43,-6.24,7.87,-0.07,0.04,-1.09
106,2.45,-6.24,7.89,-0.07,0.04,-1.09
114,2.44,-6.21,7.98,-0.07,0.04,-1.09
121,2.44,-6.22,7.88,-0.08,0.04,-1.10
129,2.49,-6.23,7.84,-0.08,0.04,-1.10
135,2.45,-6.24,7.90,-0.08,0.04,-1.09
141,2.50,-6.28,7.91,-0.08,0.04,-1.10
148,2.47,-6.21,7.86,-0.08,0.04,-1.10
155,2.48,-6.22,7.92,-0.08,0.04,-1.09
163,2.45,-6.27,7.98,-0.07,0.04,-1.08
171,2.45,-6.22,7.91,-0.07,0.04,-1.10
178,2.55,-6.20,7.93,-0.07,0.04,-1.09
187,2.53,-6.23,7.99,-0.07,0.04,-1.10
195,2.54,-6.22,7.87,-0.08,0.04,-1.08
203,2.47,-6.22,7.95,-0.08,0.04,-1.08
211,2.47,-6.17,7.83,-0.08,0.04,-1.07
219,2.45,-6.17,7.96,-0.08,0.04,-1.09
226,2.42,-6.22,7.93,-0.07,0.04,-1.09
234,2.46,-6.22,7.89,-0.08,0.04,-1.07
241,2.45,-6.18,7.94,-0.07,0.04,-1.09
248,2.43,-6.21,7.89,-0.08,0.04,-1.09
254,2.44,-6.24,7.89,-0.08,0.04,-1.10
261,2.51,-6.21,7.92,-0.08,0.04,-1.09
267,2.44,-6.28,7.95,-0.08,0.04,-1.08
274,2.43,-6.21,7.81,-0.08,0.04,-1.09
282,2.48,-6.24,7.92,-0.08,0.04,-1.07
289,2.45,-6.25,7.84,-0.08,0.04,-1.08
295,2.43,-6.24,7.87,-0.07,0.04,-1.08
302,2.43,-6.26,7.85,-0.07,0.04,-1.09
309,2.52,-6.23,7.95,-0.07,0.04,-1.11
317,2.50,-6.16,7.80,-0.08,0.04,-1.11
323,2.49,-6.20,7.88,-0.07,0.05,-1.09
330,2.47,-6.22,7.95,-0.07,0.04,-1.09
337,2.49,-6.28,7.96,-0.08,0.04,-1.08
344,2.50,-6.23,7.82,-0.08,0.04,-1.10
351,2.43,-6.25,7.91,-0.07,0.05,-1.08
357,2.43,-6.23,7.94,-0.08,0.04,-1.08
364,2.47,-6.23,7.99,-0.07,0.04,-1.09
371,2.48,-6.25,7.80,-0.07,0.04,-1.11
379,2.49,-6.19,7.96,-0.08,0.04,-1.09
386,2.47,-6.15,7.91,-0.08,0.04,-1.08
393,2.42,-6.22,8.00,-0.08,0.04,-1.07
399,2.48,-6.25,7.92,-0.08,0.04,-1.08
406,2.45,-6.28,7.88,-0.08,0.04,-1.09
413,2.41,-6.22,7.84,-0.07,0.04,-1.09
420,2.41,-6.25,7.92,-0.08,0.04,-1.09
427,2.44,-6.26,7.92,-0.07,0.04,-1.11
434,2.51,-6.19,7.89,-0.07,0.04,-1.11
441,2.49,-6.20,7.95,-0.08,0.04,-1.10
449,2.48,-6.23,7.99,-0.08,0.04,-1.08
456,2.48,-6.22,7.92,-0.08,0.04,-1.07
463,2.48,-6.22,7.88,-0.08,0.05,-1.10
470,2.40,-6.22,7.83,-0.08,0.05,-1.09
477,2.42,-6.24,7.92,-0.08,0.04,-1.08
485,2.50,-6.19,7.81,-0.07,0.04,-1.08
493,2.48,-6.22,7.89,-0.08,0.04,-1.10
501,2.45,-6.21,7.96,-0.08,0.04,-1.09
508,2.52,-6.15,7.82,-0.08,0.04,-1.09
517,2.41,-6.19,7.91,-0.08,0.04,-1.07
525,2.47,-6.19,7.89,-0.08,0.04,-1.08
531,2.51,-6.24,7.84,-0.08,0.04,-1.08
538,2.47,-6.24,7.85,-0.07,0.04,-1.11
545,2.46,-6.21,7.93,-0.08,0.04,-1.09
553,2.49,-6.23,7.90,-0.07,0.04,-1.08
559,2.52,-6.21,7.90,-0.08,0.04,-1.10
565,2.48,-6.23,7.93,-0.07,0.04,-1.08
572,2.47,-6.22,7.95,-0.08,0.04,-1.08
578,2.53,-6.20,7.96,-0.07,0.04,-1.08
584,2.47,-6.25,7.90,-0.08,0.05,-1.06
591,2.47,-6.24,7.82,-0.08,0.04,-1.08
597,2.49,-6.24,7.93,-0.07,0.04,-1.08
603,2.44,-6.27,7.91,-0.07,0.04,-1.10
610,2.50,-6.26,7.91,-0.07,0.04,-1.08
616,2.48,-6.28,7.94,-0.07,0.04,-1.09
623,2.41,-6.23,7.89,-0.07,0.04,-1.10
629,2.45,-6.18,7.96,-0.08,0.04,-1.09
635,2.51,-6.24,7.92,-0.07,0.04,-1.08
642,2.48,-6.22,7.94,-0.08,0.04,-1.08
649,2.46,-6.21,7.89,-0.08,0.04,-1.08
655,2.43,-6.26,7.86,-0.08,0.04,-1.07
661,2.45,-6.19,7.89,-0.08,0.04,-1.09
669,2.38,-6.26,7.89,-0.08,0.04,-1.11
676,2.42,-6.23,7.94,-0.07,0.04,-1.08
683,2.48,-6.23,7.89,-0.08,0.04,-1.10
689,2.49,-6.20,7.97,-0.07,0.04,-1.10
696,2.49,-6.22,7.94,-0.08,0.04,-1.09
703,2.54,-6.21,7.88,-0.08,0.04,-1.09
710,2.43,-6.18,7.90,-0.08,0.04,-1.09
716,2.41,-6.25,7.86,-0.08,0.04,-1.09
723,2.47,-6.29,7.88,-0.08,0.04,-1.08
729,2.41,-6.25,7.95,-0.08,0.04,-1.09
736,2.40,-6.24,7.85,-0.08,0.04,-1.10
743,2.52,-6.24,7.82,-0.08,0.04,-1.09
750,2.48,-6.28,7.94,-0.07,0.04,-1.11
759,2.50,-6.22,7.96,-0.08,0.04,-1.11
765,2.42,-6.20,7.89,-0.08,0.04,-1.07
772,2.49,-6.19,7.88,-0.08,0.04,-1.08
780,2.51,-6.28,7.78,-0.08,0.04,-1.06
787,2.46,-6.25,7.88,-0.07,0.04,-1.08
793,2.48,-6.26,7.91,-0.08,0.04,-1.09
800,2.44,-6.23,7.94,-0.07,0.04,-1.09
808,2.49,-6.20,7.91,-0.07,0.04,-1.09
815,2.50,-6.22,7.92,-0.07,0.04,-1.07
821,2.55,-6.21,7.85,-0.08,0.04,-1.10
828,2.47,-6.27,7.88,-0.08,0.04,-1.10
836,2.48,-6.23,7.92,-0.08,0.05,-1.09
844,2.52,-6.24,7.93,-0.08,0.04,-1.08
852,2.43,-6.24,7.86,-0.07,0.04,-1.09
858,2.41,-6.21,7.92,-0.07,0.04,-1.08
865,2.45,-6.24,7.93,-0.07,0.04,-1.09
872,2.39,-6.23,7.90,-0.07,0.04,-1.09
879,2.50,-6.14,7.98,-0.08,0.04,-1.10
886,2.52,-6.18,7.92,-0.08,0.04,-1.10
893,2.50,-6.20,7.86,-0.08,0.04,-1.09
899,2.46,-6.18,7.85,-0.08,0.04,-1.07
906,2.41,-6.22,7.87,-0.07,0.04,-1.07
912,2.49,-6.25,7.87,-0.07,0.04,-1.09
919,2.37,-6.23,7.86,-0.08,0.04,-1.10
926,2.39,-6.23,7.77,-0.07,0.04,-1.11
932,2.44,-6.27,7.90,-0.08,0.04,-1.09
939,2.44,-6.27,7.90,-0.08,0.04,-1.11
946,2.51,-6.25,7.93,-0.08,0.04,-1.09
953,2.47,-6.20,7.94,-0.08,0.04,-1.08
960,2.42,-6.23,7.86,-0.08,0.04,-1.09
967,2.42,-6.26,7.89,-0.08,0.04,-1.08
974,2.49,-6.21,7.84,-0.08,0.04,-1.09
981,2.47,-6.22,7.90,-0.08,0.04,-1.10
988,2.42,-6.23,7.85,-0.07,0.04,-1.10
995,2.52,-6.18,7.95,-0.07,0.04,-1.12
1003,2.42,-6.24,7.94,-0.07,0.04,-1.10
1011,2.49,-6.20,7.90,-0.08,0.04,-1.09
1017,2.48,-6.23,7.88,-0.08,0.04,-1.08
1023,2.47,-6.19,7.93,-0.08,0.04,-1.07
1031,2.49,-6.25,7.87,-0.08,0.04,-1.08
1039,2.44,-6.22,7.89,-0.08,0.04,-1.08
1046,2.47,-6.24,7.83,-0.07,0.04,-1.08
1053,2.42,-6.28,7.87,-0.07,0.04,-1.09
1060,2.46,-6.21,7.96,-0.07,0.04,-1.11
1066,2.47,-6.17,7.84,-0.07,0.04,-1.10
1073,2.50,-6.28,7.89,-0.08,0.04,-1.09
1081,2.48,-6.20,7.88,-0.08,0.04,-1.09
1088,2.48,-6.22,7.99,-0.08,0.04,-1.08
1094,2.43,-6.22,7.89,-0.08,0.04,-1.08
1101,2.43,-6.24,7.84,-0.08,0.04,-1.08
1111,2.45,-6.28,7.91,-0.07,0.04,-1.09
1118,2.45,-6.25,7.93,-0.07,0.04,-1.11
1125,2.53,-6.26,7.92,-0.08,0.03,-1.12
1135,2.47,-6.18,7.87,-0.07,0.05,-1.09
1142,2.55,-6.16,8.04,-0.08,0.04,-1.05
1149,2.48,-6.25,7.92,-0.08,0.05,-1.09
1159,2.40,-6.21,7.78,-0.08,0.04,-1.07
1166,2.46,-6.23,7.84,-0.08,0.04,-1.10
1172,2.51,-6.18,7.90,-0.07,0.04,-1.11
1180,2.46,-6.30,7.99,-0.07,0.04,-1.12
1187,2.48,-6.20,7.89,-0.08,0.04,-1.12
1193,2.53,-6.15,7.87,-0.08,0.04,-1.10
1203,2.44,-6.21,8.01,-0.08,0.04,-1.07
1209,2.45,-6.27,7.94,-0.08,0.04,-1.08
1215,2.45,-6.28,7.91,-0.08,0.04,-1.08
1225,2.44,-6.25,7.76,-0.08,0.04,-1.07
1231,2.46,-6.21,7.87,-0.07,0.04,-1.09
1237,2.45,-6.24,7.94,-0.07,0.04,-1.08
1244,2.43,-6.26,7.86,-0.07,0.04,-1.12
1250,2.42,-6.24,7.88,-0.08,0.04,-1.10
1256,2.47,-6.28,7.93,-0.07,0.04,-1.10
1262,2.48,-6.20,7.92,-0.08,0.04,-1.08
1269,2.45,-6.26,7.89,-0.08,0.04,-1.07
1275,2.46,-6.22,7.98,-0.08,0.04,-1.08
1281,2.48,-6.16,7.82,-0.08,0.05,-1.07
1288,2.46,-6.23,7.75,-0.07,0.04,-1.09
1294,2.43,-6.23,7.84,-0.07,0.04,-1.09
1301,2.44,-6.21,7.81,-0.07,0.04,-1.08
1307,2.44,-6.20,7.85,-0.07,0.04,-1.12
1314,2.51,-6.20,7.87,-0.07,0.04,-1.11
1320,2.49,-6.19,8.04,-0.07,0.04,-1.08
1326,2.49,-6.18,7.97,-0.08,0.04,-1.08
1333,2.51,-6.20,7.89,-0.08,0.04,-1.08
1339,2.46,-6.24,7.89,-0.08,0.05,-1.07
1345,2.47,-6.20,7.81,-0.08,0.05,-1.05
1351,2.42,-6.29,7.82,-0.07,0.05,-1.08
1358,2.42,-6.26,7.84,-0.07,0.04,-1.08
1364,2.48,-6.29,7.84,-0.07,0.04,-1.10
1371,2.44,-6.22,8.00,-0.08,0.04,-1.11
1377,2.47,-6.15,7.85,-0.07,0.04,-1.10
1383,2.47,-6.24,7.99,-0.08,0.04,-1.10
1390,2.49,-6.22,8.06,-0.08,0.04,-1.10
1398,2.49,-6.18,7.96,-0.08,0.04,-1.07
