timestamp,mpu_accX,mpu_accY,mpu_accZ,mpu_gyrX,mpu_gyrY,mpu_gyrZ
0,2.50,-6.21,7.85,-0.08,0.04,-1.08
8,2.48,-6.19,7.86,-0.08,0.04,-1.09
16,2.47,-6.21,7.88,-0.07,0.04,-1.10
24,2.42,-6.21,7.89,-0.08,0.04,-1.08
32,2.47,-6.22,7.89,-0.07,0.04,-1.08
40,2.43,-6.23,7.91,-0.07,0.04,-1.08
48,2.50,-6.23,7.79,-0.08,0.04,-1.08
56,2.48,-6.24,7.95,-0.08,0.04,-1.08
64,2.45,-6.25,7.82,-0.08,0.04,-1.08
71,2.44,-6.25,7.87,-0.08,0.04,-1.09
80,2.46,-6.17,7.96,-0.07,0.04,-1.09
88,2.44,-6.22,7.84,-0.08,0.04,-1.08
94,2.49,-6.26,7.87,-0.07,0.04,-1.08
101,2.45,-6.26,7.86,-0.07,0.04,-1.08
107,2.52,-6.25,7.95,-0.07,0.04,-1.10
115,2.46,-6.19,7.87,-0.08,0.04,-1.10
121,2.43,-6.26,7.87,-0.08,0.04,-1.09
128,2.47,-6.23,7.92,-0.07,0.04,-1.10
134,2.44,-6.14,7.98,-0.07,0.04,-1.09
141,2.45,-6.21,7.87,-0.07,0.04,-1.08
150,2.49,-6.21,7.90,-0.08,0.04,-1.08
157,2.48,-6.22,7.85,-0.07,0.04,-1.09
164,2.50,-6.31,7.84,-0.07,0.04,-1.10
170,2.50,-6.28,7.92,-0.08,0.04,-1.08
177,2.52,-6.23,7.92,-0.08,0.04,-1.08
183,2.49,-6.22,7.92,-0.08,0.04,-1.09
191,2.46,-6.23,7.92,-0.08,0.04,-1.10
198,2.50,-6.25,7.88,-0.08,0.04,-1.08
205,2.49,-6.26,7.86,-0.08,0.04,-1.09
213,2.47,-6.25,7.84,-0.08,0.05,-1.08
220,2.46,-6.27,7.92,-0.08,0.04,-1.07
228,2.46,-6.24,7.93,-0.08,0.04,-1.09
236,2.46,-6.17,7.91,-0.07,0.04,-1.10
243,2.38,-6.29,7.95,-0.07,0.04,-1.09
250,2.55,-6.28,7.90,-0.07,0.04,-1.07
257,2.44,-6.21,7.89,-0.08,0.04,-1.10
265,2.49,-6.24,7.89,-0.08,0.04,-1.08
272,2.51,-6.25,7.94,-0.07,0.04,-1.08
280,2.45,-6.21,7.81,-0.08,0.04,-1.11
287,2.47,-6.23,7.84,-0.07,0.04,-1.09
295,2.47,-6.25,7.89,-0.07,0.04,-1.10
303,2.41,-6.21,7.89,-0.08,0.04,-1.08
309,2.43,-6.21,7.87,-0.08,0.04,-1.10
316,2.48,-6.27,7.89,-0.08,0.04,-1.09
324,2.49,-6.18,7.88,-0.08,0.04,-1.10
332,2.50,-6.25,7.94,-0.08,0.04,-1.10
339,2.46,-6.23,7.92,-0.08,0.04,-1.09
347,2.48,-6.28,7.86,-0.08,0.04,-1.09
355,2.45,-6.23,7.89,-0.07,0.04,-1.08
362,2.46,-6.22,7.88,-0.08,0.04,-1.10
369,2.51,-6.23,7.89,-0.08,0.04,-1.09
376,2.46,-6.18,7.96,-0.08,0.04,-1.09
383,2.42,-6.23,7.88,-0.08,0.04,-1.08
390,2.47,-6.21,7.90,-0.07,0.04,-1.08
397,2.42,-6.26,7.91,-0.08,0.04,-1.09
404,2.48,-6.26,7.90,-0.08,0.04,-1.09
412,2.47,-6.21,7.87,-0.08,0.04,-1.09
419,2.50,-6.19,7.89,-0.08,0.04,-1.10
427,2.45,-6.27,7.88,-0.08,0.04,-1.09
435,2.43,-6.26,7.80,-0.08,0.04,-1.10
442,2.46,-6.28,7.86,-0.07,0.04,-1.09
450,2.50,-6.18,7.91,-0.08,0.04,-1.09
458,2.47,-6.22,7.93,-0.08,0.04,-1.10
465,2.46,-6.29,7.94,-0.07,0.04,-1.08
473,2.44,-6.21,7.90,-0.08,0.04,-1.08
482,2.43,-6.22,7.88,-0.08,0.05,-1.08
489,2.44,-6.21,7.87,-0.07,0.04,-1.10
497,2.49,-6.20,7.89,-0.08,0.04,-1.09
505,2.48,-6.25,7.88,-0.08,0.04,-1.11
512,2.54,-6.21,7.92,-0.08,0.04,-1.11
520,2.49,-6.19,7.84,-0.08,0.04,-1.09
527,2.49,-6.25,7.88,-0.08,0.04,-1.08
535,2.44,-6.20,7.87,-0.07,0.04,-1.09
542,2.51,-6.28,7.84,-0.08,0.04,-1.08
550,2.45,-6.24,7.94,-0.08,0.04,-1.08
558,2.45,-6.23,7.88,-0.08,0.04,-1.11
567,2.48,-6.27,7.80,-0.07,0.04,-1.09
575,2.46,-6.30,7.90,-0.07,0.04,-1.08
584,2.47,-6.19,7.85,-0.08,0.04,-1.10
591,2.50,-6.20,7.82,-0.08,0.04,-1.09
597,2.46,-6.24,7.90,-0.08,0.04,-1.09
603,2.49,-6.17,7.91,-0.08,0.04,-1.08
610,2.45,-6.26,7.81,-0.08,0.04,-1.09
617,2.51,-6.23,7.85,-0.08,0.04,-1.09
624,2.44,-6.18,7.82,-0.08,0.04,-1.10
630,2.47,-6.26,7.89,-0.07,0.04,-1.09
637,2.43,-6.24,7.95,-0.08,0.04,-1.09
644,2.50,-6.20,7.83,-0.08,0.04,-1.08
650,2.44,-6.26,7.89,-0.07,0.04,-1.09
657,2.42,-6.22,7.93,-0.08,0.04,-1.10
663,2.48,-6.19,7.89,-0.08,0.04,-1.09
