timestamp,mpu_accX,mpu_accY,mpu_accZ,mpu_gyrX,mpu_gyrY,mpu_gyrZ
0,2.44,-6.25,7.81,-0.08,0.04,-1.08
7,2.47,-6.17,7.86,-0.08,0.04,-1.09
15,2.47,-6.23,7.75,-0.07,0.04,-1.09
21,2.56,-6.24,7.85,-0.07,0.04,-1.10
28,2.54,-6.23,7.86,-0.08,0.04,-1.09
36,2.44,-6.17,7.83,-0.07,0.04,-1.09
44,2.46,-6.24,7.93,-0.08,0.04,-1.09
51,2.49,-6.27,7.90,-0.08,0.04,-1.09
58,2.48,-6.28,7.89,-0.08,0.04,-1.08
66,2.49,-6.26,7.90,-0.08,0.04,-1.11
73,2.43,-6.22,7.91,-0.07,0.04,-1.09
81,2.46,-6.16,8.02,-0.08,0.04,-1.10
89,2.52,-6.28,7.86,-0.08,0.04,-1.09
95,2.48,-6.24,7.97,-0.07,0.04,-1.08
101,2.48,-6.21,7.85,-0.07,0.04,-1.09
108,2.47,-6.21,7.89,-0.08,0.04,-1.10
114,2.40,-6.22,7.88,-0.08,0.04,-1.09
122,2.46,-6.22,7.93,-0.07,0.04,-1.09
128,2.49,-6.24,7.89,-0.07,0.04,-1.10
135,2.44,-6.22,7.85,-0.07,0.04,-1.10
141,2.49,-6.22,7.92,-0.07,0.04,-1.09
149,2.53,-6.22,7.97,-0.08,0.04,-1.09
157,2.45,-6.24,7.91,-0.08,0.04,-1.08
164,2.49,-6.23,7.95,-0.08,0.04,-1.08
171,2.47,-6.20,7.85,-0.08,0.05,-1.09
180,2.45,-6.19,7.91,-0.08,0.04,-1.08
187,2.44,-6.27,7.97,-0.08,0.04,-1.08
194,2.47,-6.22,7.90,-0.08,0.04,-1.08
200,2.41,-6.26,7.80,-0.07,0.04,-1.11
207,2.45,-6.23,7.93,-0.08,0.04,-1.09
213,2.43,-6.23,7.93,-0.08,0.04,-1.11
220,2.48,-6.21,7.96,-0.07,0.04,-1.09
227,2.44,-6.21,7.80,-0.08,0.04,-1.11
234,2.48,-6.22,7.87,-0.08,0.04,-1.08
241,2.48,-6.21,7.88,-0.08,0.04,-1.08
248,2.47,-6.28,7.96,-0.08,0.04,-1.07
255,2.50,-6.22,7.92,-0.08,0.04,-1.07
263,2.45,-6.21,7.85,-0.07,0.04,-1.09
270,2.53,-6.21,7.98,-0.07,0.04,-1.08
278,2.50,-6.21,7.90,-0.07,0.04,-1.08
286,2.48,-6.19,7.98,-0.07,0.04,-1.08
293,2.52,-6.17,7.85,-0.08,0.04,-1.09
301,2.44,-6.19,7.85,-0.08,0.04,-1.07
308,2.48,-6.23,7.85,-0.08,0.04,-1.08
315,2.49,-6.23,7.93,-0.08,0.04,-1.07
323,2.40,-6.27,7.97,-0.07,0.04,-1.08
330,2.45,-6.19,7.92,-0.08,0.04,-1.09
337,2.46,-6.22,7.87,-0.08,0.04,-1.10
345,2.54,-6.21,7.82,-0.07,0.04,-1.09
353,2.45,-6.26,7.84,-0.08,0.04,-1.08
361,2.48,-6.24,7.92,-0.08,0.04,-1.07
368,2.40,-6.29,7.83,-0.08,0.04,-1.08
375,2.46,-6.18,7.86,-0.08,0.04,-1.08
381,2.44,-6.22,7.86,-0.08,0.04,-1.11
387,2.47,-6.24,7.91,-0.07,0.04,-1.09
393,2.48,-6.26,7.85,-0.08,0.04,-1.10
400,2.40,-6.22,7.88,-0.07,0.04,-1.12
406,2.41,-6.21,7.94,-0.07,0.04,-1.08
412,2.44,-6.20,7.90,-0.08,0.04,-1.07
419,2.45,-6.26,7.91,-0.08,0.04,-1.08
426,2.46,-6.20,7.88,-0.08,0.04,-1.08
433,2.45,-6.26,7.91,-0.08,0.04,-1.08
439,2.44,-6.28,7.83,-0.08,0.04,-1.07
446,2.44,-6.28,7.94,-0.08,0.04,-1.10
454,2.50,-6.22,7.93,-0.08,0.04,-1.10
461,2.52,-6.28,7.93,-0.07,0.04,-1.08
467,2.54,-6.22,7.91,-0.08,0.04,-1.09
474,2.43,-6.23,7.91,-0.08,0.04,-1.09
481,2.48,-6.17,7.90,-0.08,0.04,-1.11
488,2.43,-6.21,7.89,-0.08,0.04,-1.08
496,2.48,-6.26,7.91,-0.08,0.04,-1.08
504,2.43,-6.28,7.86,-0.08,0.04,-1.08
510,2.44,-6.29,7.85,-0.07,0.04,-1.09
517,2.47,-6.20,7.91,-0.07,0.04,-1.09
523,2.45,-6.25,7.88,-0.08,0.04,-1.10
530,2.47,-6.21,7.86,-0.08,0.04,-1.10
