timestamp,mpu_accX,mpu_accY,mpu_accZ,mpu_gyrX,mpu_gyrY,mpu_gyrZ
0,2.49,-6.17,7.89,-0.08,0.04,-1.08
6,2.49,-6.22,7.95,-0.07,0.04,-1.08
12,2.48,-6.22,7.82,-0.08,0.04,-1.08
19,2.45,-6.21,7.91,-0.08,0.04,-1.08
26,2.47,-6.25,7.94,-0.07,0.04,-1.09
34,2.43,-6.23,7.91,-0.07,0.04,-1.10
41,2.48,-6.23,7.76,-0.08,0.04,-1.08
48,2.38,-6.21,7.90,-0.08,0.04,-1.09
56,2.45,-6.22,7.89,-0.07,0.04,-1.07
63,2.50,-6.21,7.88,-0.08,0.04,-1.08
70,2.46,-6.21,7.89,-0.08,0.04,-1.08
77,2.41,-6.19,7.93,-0.08,0.04,-1.09
84,2.40,-6.25,7.91,-0.07,0.04,-1.09
91,2.43,-6.24,7.91,-0.08,0.04,-1.09
98,2.46,-6.23,7.94,-0.07,0.04,-1.10
106,2.48,-6.28,7.76,-0.07,0.04,-1.08
113,2.49,-6.22,7.90,-0.07,0.04,-1.08
121,2.51,-6.26,7.83,-0.07,0.04,-1.10
128,2.44,-6.24,7.90,-0.08,0.04,-1.10
137,2.48,-6.22,7.93,-0.07,0.04,-1.09
145,2.46,-6.22,7.85,-0.08,0.04,-1.08
154,2.50,-6.26,7.82,-0.07,0.04,-1.07
161,2.41,-6.24,7.88,-0.07,0.04,-1.09
167,2.41,-6.23,7.90,-0.08,0.04,-1.09
174,2.46,-6.22,7.82,-0.08,0.04,-1.09
181,2.49,-6.19,7.82,-0.08,0.04,-1.08
189,2.46,-6.23,7.95,-0.08,0.04,-1.08
197,2.45,-6.25,7.92,-0.08,0.04,-1.08
205,2.38,-6.21,7.86,-0.08,0.04,-1.09
212,2.48,-6.24,7.92,-0.08,0.04,-1.09
220,2.44,-6.27,7.89,-0.08,0.04,-1.07
229,2.45,-6.22,7.95,-0.08,0.04,-1.09
236,2.45,-6.22,7.92,-0.07,0.04,-1.10
243,2.49,-6.23,7.88,-0.07,0.04,-1.09
250,2.48,-6.22,7.90,-0.08,0.04,-1.08
257,2.52,-6.25,7.97,-0.07,0.04,-1.09
265,2.46,-6.21,7.84,-0.07,0.04,-1.09
273,2.45,-6.22,7.93,-0.08,0.04,-1.09
281,2.45,-6.29,7.94,-0.08,0.04,-1.10
288,2.43,-6.25,7.90,-0.08,0.04,-1.08
296,2.45,-6.17,7.87,-0.08,0.04,-1.08
304,2.49,-6.21,7.86,-0.07,0.04,-1.06
312,2.44,-6.29,7.87,-0.08,0.04,-1.07
319,2.49,-6.20,7.98,-0.07,0.04,-1.08
326,2.41,-6.22,7.86,-0.08,0.04,-1.09
335,2.48,-6.18,7.86,-0.07,0.04,-1.09
343,2.44,-6.31,7.95,-0.08,0.04,-1.09
349,2.49,-6.19,7.96,-0.07,0.04,-1.10
356,2.48,-6.22,7.98,-0.08,0.04,-1.08
362,2.45,-6.20,7.91,-0.08,0.04,-1.09
368,2.49,-6.22,7.93,-0.07,0.04,-1.08
375,2.45,-6.22,7.92,-0.08,0.04,-1.08
381,2.48,-6.22,7.97,-0.08,0.04,-1.08
389,2.49,-6.22,7.78,-0.08,0.04,-1.09
396,2.44,-6.24,7.90,-0.07,0.04,-1.07
404,2.52,-6.26,7.84,-0.08,0.04,-1.09
411,2.45,-6.23,7.84,-0.08,0.04,-1.07
419,2.46,-6.17,7.94,-0.07,0.04,-1.09
427,2.46,-6.25,7.90,-0.07,0.04,-1.08
435,2.46,-6.23,7.85,-0.08,0.04,-1.09
442,2.50,-6.26,7.92,-0.07,0.04,-1.11
450,2.49,-6.24,7.90,-0.08,0.04,-1.09
457,2.48,-6.20,8.00,-0.08,0.04,-1.10
463,2.47,-6.29,7.87,-0.08,0.04,-1.09
469,2.47,-6.23,7.80,-0.07,0.04,-1.07
477,2.45,-6.17,7.89,-0.08,0.04,-1.07
486,2.48,-6.24,7.95,-0.08,0.04,-1.09
492,2.57,-6.25,7.88,-0.08,0.04,-1.09
