timestamp,mpu_accX,mpu_accY,mpu_accZ,mpu_gyrX,mpu_gyrY,mpu_gyrZ
0,2.46,-6.21,7.91,-0.08,0.04,-1.08
6,2.45,-6.17,7.86,-0.07,0.04,-1.09
13,2.47,-6.22,7.94,-0.07,0.04,-1.09
19,2.49,-6.22,7.87,-0.07,0.04,-1.10
25,2.49,-6.25,7.94,-0.07,0.04,-1.11
32,2.43,-6.22,7.88,-0.08,0.04,-1.09
38,2.52,-6.22,7.89,-0.08,0.04,-1.08
45,2.45,-6.19,7.91,-0.08,0.04,-1.09
51,2.52,-6.25,7.85,-0.08,0.04,-1.06
57,2.43,-6.27,7.83,-0.08,0.04,-1.07
64,2.45,-6.28,7.85,-0.08,0.04,-1.09
71,2.48,-6.23,7.91,-0.07,0.04,-1.09
78,2.45,-6.24,7.86,-0.07,0.04,-1.09
85,2.48,-6.20,7.93,-0.07,0.04,-1.10
91,2.48,-6.23,7.93,-0.08,0.04,-1.09
97,2.48,-6.22,7.85,-0.08,0.04,-1.10
105,2.53,-6.25,7.94,-0.08,0.04,-1.07
112,2.41,-6.20,7.84,-0.08,0.04,-1.07
120,2.47,-6.22,7.89,-0.08,0.04,-1.07
128,2.47,-6.19,7.84,-0.07,0.04,-1.09
136,2.43,-6.25,7.87,-0.07,0.04,-1.10
144,2.45,-6.18,7.93,-0.07,0.04,-1.11
151,2.50,-6.22,7.89,-0.07,0.04,-1.11
158,2.53,-6.23,7.92,-0.08,0.04,-1.10
167,2.56,-6.26,7.95,-0.08,0.04,-1.08
174,2.45,-6.19,7.78,-0.08,0.04,-1.08
180,2.46,-6.21,7.89,-0.08,0.04,-1.06
187,2.46,-6.24,7.87,-0.08,0.04,-1.07
193,2.45,-6.20,7.91,-0.07,0.04,-1.09
200,2.40,-6.19,7.93,-0.08,0.04,-1.09
207,2.46,-6.20,7.93,-0.07,0.04,-1.10
214,2.48,-6.25,7.89,-0.08,0.04,-1.09
220,2.53,-6.24,7.95,-0.08,0.04,-1.10
226,2.45,-6.21,7.96,-0.08,0.04,-1.07
233,2.46,-6.25,7.93,-0.07,0.04,-1.08
239,2.48,-6.22,7.90,-0.08,0.04,-1.09
245,2.45,-6.23,7.86,-0.08,0.04,-1.07
252,2.37,-6.24,7.85,-0.07,0.04,-1.09
259,2.48,-6.27,8.04,-0.07,0.04,-1.08
266,2.45,-6.22,7.85,-0.07,0.04,-1.09
273,2.44,-6.27,7.90,-0.07,0.04,-1.11
282,2.43,-6.24,7.94,-0.07,0.04,-1.12
289,2.50,-6.18,8.01,-0.08,0.04,-1.09
298,2.47,-6.24,7.83,-0.08,0.04,-1.09
305,2.43,-6.23,7.93,-0.08,0.05,-1.08
311,2.52,-6.27,7.88,-0.08,0.04,-1.08
318,2.44,-6.21,7.81,-0.07,0.04,-1.09
324,2.41,-6.26,7.96,-0.07,0.04,-1.10
331,2.57,-6.23,7.89,-0.07,0.04,-1.10
338,2.51,-6.19,7.91,-0.07,0.04,-1.08
347,2.49,-6.23,7.89,-0.08,0.04,-1.09
354,2.47,-6.15,7.92,-0.08,0.04,-1.07
362,2.47,-6.21,7.90,-0.08,0.05,-1.08
369,2.47,-6.22,7.97,-0.08,0.04,-1.08
377,2.45,-6.23,7.85,-0.08,0.04,-1.06
384,2.42,-6.23,7.87,-0.08,0.04,-1.09
391,2.45,-6.25,7.93,-0.07,0.04,-1.10
397,2.45,-6.28,7.99,-0.07,0.03,-1.11
405,2.47,-6.13,7.81,-0.08,0.04,-1.11
413,2.45,-6.16,7.87,-0.07,0.05,-1.07
419,2.52,-6.24,8.00,-0.07,0.04,-1.07
426,2.47,-6.27,7.97,-0.08,0.04,-1.07
434,2.40,-6.22,7.80,-0.08,0.04,-1.10
441,2.40,-6.20,7.80,-0.07,0.04,-1.08
448,2.43,-6.32,7.96,-0.07,0.04,-1.11
454,2.49,-6.26,7.97,-0.07,0.03,-1.12
461,2.49,-6.25,7.98,-0.07,0.04,-1.12
468,2.43,-6.20,7.87,-0.08,0.04,-1.08
475,2.52,-6.19,7.84,-0.08,0.04,-1.07
482,2.42,-6.23,7.93,-0.08,0.04,-1.08
489,2.47,-6.21,7.88,-0.08,0.04,-1.08
496,2.47,-6.20,7.80,-0.08,0.04,-1.09
502,2.43,-6.18,7.89,-0.08,0.05,-1.09
509,2.42,-6.28,7.96,-0.07,0.04,-1.08
516,2.49,-6.23,7.87,-0.07,0.04,-1.09
523,2.54,-6.18,7.91,-0.07,0.04,-1.13
531,2.52,-6.25,7.95,-0.07,0.04,-1.11
538,2.43,-6.20,7.92,-0.08,0.04,-1.08
545,2.47,-6.21,7.87,-0.08,0.05,-1.08
552,2.45,-6.22,7.81,-0.08,0.04,-1.07
559,2.43,-6.25,7.79,-0.08,0.05,-1.06
