timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.84,-0.48,-1.07,-0.85,-0.98,1.28
10,-9.71,-0.32,-0.30,1.65,0.00,1.22
20,-9.29,-0.67,0.28,-0.06,-0.37,1.16
30,-9.79,-0.38,-0.83,-1.22,-1.04,1.40
40,-9.80,-0.55,-0.87,-0.06,-0.61,1.46
50,-9.30,-0.74,0.33,1.46,0.00,1.40
60,-9.78,-0.58,0.76,1.04,-0.24,1.28
70,-10.01,-0.38,-0.27,-0.73,-0.73,1.22
80,-9.73,-0.58,-0.52,0.67,-0.24,1.28
90,-10.03,-0.36,0.58,1.77,0.06,1.40
100,-9.89,-0.47,0.32,0.43,-0.31,1.34
110,-9.74,-0.54,-0.56,-1.28,-0.92,1.40
120,-9.77,-0.52,-0.80,-0.67,-0.85,1.40
130,-9.95,-0.59,-0.19,1.10,-0.24,1.34
140,-10.03,-0.44,0.53,1.34,-0.06,1.22
150,-9.74,-0.48,-0.77,-1.34,-1.16,1.28
160,-9.73,-0.72,-0.81,-0.06,-0.67,1.16
170,-9.65,-0.75,0.17,1.40,-0.06,1.34
180,-9.81,-0.57,0.84,0.67,-0.18,1.46
190,-9.81,-0.56,-0.29,-0.79,-0.73,1.28
200,-9.84,-0.47,-1.09,-0.85,-1.04,1.28
210,-9.55,-0.44,-0.38,1.04,0.00,1.22
220,-9.38,-0.64,0.27,0.31,-0.49,1.28
230,-9.76,-0.34,-0.74,-1.04,-1.04,1.40
240,-9.87,-0.50,-0.80,-0.12,-0.79,1.40
250,-9.50,-0.79,0.24,1.40,-0.06,1.40
260,-9.81,-0.59,0.57,0.98,-0.12,1.40
270,-10.04,-0.30,-0.19,-0.61,-0.73,1.16
280,-9.66,-0.50,-0.90,0.61,-0.49,1.22
290,-10.15,-0.44,0.39,1.28,0.00,1.28
300,-9.98,-0.39,0.30,0.43,-0.31,1.40
310,-9.74,-0.56,-0.43,-0.92,-0.85,1.28
320,-9.69,-0.53,-0.73,-0.31,-0.67,1.34
330,-9.84,-0.48,-0.25,1.16,-0.18,1.40
340,-9.97,-0.53,0.47,1.16,-0.18,1.34
350,-9.68,-0.52,-0.65,-1.04,-1.04,1.28
360,-9.80,-0.61,-0.76,0.06,-0.79,1.22
370,-9.53,-0.84,0.22,1.34,0.00,1.22
380,-9.75,-0.68,0.74,0.73,-0.06,1.28
390,-9.81,-0.53,-0.36,-0.67,-0.92,1.34
400,-9.81,-0.45,-1.04,-0.73,-0.92,1.28
410,-9.58,-0.51,-0.25,0.92,-0.24,1.34
