timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.78,-0.73,-0.45,0.61,-0.37,1.34
10,-9.83,-0.42,0.45,1.53,0.12,1.34
20,-9.81,-0.49,0.51,0.31,-0.31,1.22
30,-9.80,-0.59,-0.50,-0.55,-0.92,1.28
40,-9.51,-0.51,-0.29,1.28,-0.31,1.22
50,-9.89,-0.59,0.76,1.22,0.12,1.28
60,-9.61,-0.60,0.23,-0.37,-0.67,1.34
70,-9.77,-0.42,-0.93,-1.28,-1.16,1.28
80,-9.82,-0.60,-0.80,0.18,-0.61,1.16
90,-9.72,-0.68,0.44,1.65,-0.12,1.16
100,-9.71,-0.71,0.74,-0.85,-0.85,1.34
110,-9.72,-0.51,-1.09,-0.73,-0.85,1.46
120,-9.67,-0.65,-0.31,0.98,-0.37,1.34
130,-9.98,-0.45,0.71,1.53,-0.24,1.34
140,-9.60,-0.53,0.30,0.06,-0.55,1.34
150,-9.67,-0.46,-0.69,-1.28,-0.92,1.22
160,-9.84,-0.56,-0.81,-0.43,-0.79,1.28
170,-9.59,-0.35,0.60,1.04,0.00,1.28
180,-10.00,-0.48,-0.05,-0.61,-0.73,1.22
190,-9.85,-0.50,-0.94,-1.16,-1.04,1.16
200,-9.78,-0.69,-0.56,0.61,-0.67,1.28
210,-9.82,-0.59,0.33,1.71,0.00,1.22
220,-9.85,-0.57,0.61,0.61,-0.31,1.10
230,-9.81,-0.56,-0.45,-1.04,-1.10,1.34
240,-9.55,-0.36,-0.24,1.16,-0.37,1.16
250,-9.79,-0.71,0.86,1.34,0.00,1.16
260,-9.41,-0.64,0.24,-0.37,-0.79,1.28
270,-9.67,-0.38,-0.88,-1.22,-1.16,1.40
280,-9.82,-0.61,-0.82,0.06,-0.61,1.40
290,-9.76,-0.63,0.37,1.46,-0.18,1.22
300,-9.77,-0.65,0.68,-0.92,-0.85,1.40
310,-9.76,-0.52,-1.07,-0.98,-1.16,1.40
320,-9.67,-0.81,-0.30,0.67,-0.37,1.34
330,-10.10,-0.30,0.65,1.59,0.00,1.34
340,-9.71,-0.49,0.27,0.18,-0.49,1.28
350,-9.71,-0.48,-0.64,-1.34,-1.10,1.16
360,-9.81,-0.54,-0.79,-0.37,-0.92,1.28
370,-9.61,-0.75,-0.03,1.34,-0.18,1.40
380,-9.95,-0.51,0.08,-0.37,-0.79,1.28
390,-9.79,-0.50,-0.84,-1.22,-1.10,1.16
400,-9.75,-0.69,-0.61,0.49,-0.43,1.34
410,-9.69,-0.69,0.30,1.59,-0.12,1.46
420,-9.81,-0.58,0.65,0.49,-0.31,1.34
430,-9.81,-0.53,-0.40,-1.04,-1.04,1.28
440,-9.65,-0.35,-0.29,1.04,-0.24,1.40
450,-9.88,-0.75,0.80,1.34,0.00,1.34
460,-9.51,-0.61,0.24,-0.31,-0.61,1.28
470,-9.75,-0.39,-0.82,-1.22,-1.10,1.28
480,-9.88,-0.55,-0.79,0.12,-0.73,1.34
490,-9.82,-0.59,0.28,1.46,-0.06,1.22
500,-9.80,-0.67,0.62,0.73,-0.06,1.22
510,-9.79,-0.52,-1.02,-1.04,-0.92,1.22
520,-9.74,-0.74,-0.32,0.73,-0.55,1.16
530,-9.99,-0.38,0.58,1.46,-0.12,1.28
540,-9.77,-0.47,0.30,0.06,-0.49,1.28
550,-9.66,-0.52,-0.60,-1.28,-1.04,1.16
560,-9.77,-0.53,-0.77,-0.43,-0.98,1.34
570,-9.61,-0.63,-0.14,1.22,-0.12,1.34
580,-9.84,-0.56,0.08,-0.37,-0.79,1.34
590,-9.86,-0.48,-0.87,-1.34,-1.22,1.22
600,-9.83,-0.63,-0.68,0.43,-0.67,1.28
610,-9.73,-0.79,0.30,1.65,-0.12,1.34
620,-9.69,-0.70,0.70,0.73,-0.24,1.16
630,-9.82,-0.49,-0.39,-1.04,-0.92,1.34
640,-9.66,-0.51,-1.06,1.04,-0.24,1.28
650,-9.85,-0.71,0.82,1.46,0.06,1.28
660,-9.55,-0.58,0.23,-0.24,-0.61,1.16
670,-9.68,-0.43,-0.87,-1.28,-1.10,1.16
680,-9.84,-0.57,-0.80,0.06,-0.73,1.28
690,-9.70,-0.65,0.39,1.40,-0.12,1.34
700,-9.86,-0.57,0.64,0.92,-0.06,1.34
