timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.70,-0.51,-0.84,-1.04,-1.10,1.34
10,-9.80,-0.64,-0.51,0.67,-0.43,1.34
20,-9.96,-0.58,0.34,1.53,0.00,1.40
30,-9.92,-0.52,0.59,0.43,-0.43,1.16
40,-9.79,-0.44,-0.96,-0.73,-0.98,1.22
50,-9.67,-0.31,-0.28,1.10,-0.24,1.34
60,-9.73,-0.77,0.77,1.16,0.06,1.34
70,-9.42,-0.65,0.24,-0.49,-0.55,1.34
80,-9.85,-0.40,-0.87,-1.28,-1.10,1.34
90,-9.85,-0.58,-0.84,0.12,-0.92,1.22
100,-9.35,-0.67,0.36,1.53,-0.12,1.28
110,-9.92,-0.48,-0.38,-0.98,-1.04,1.28
120,-9.74,-0.55,-1.17,-1.10,-1.22,1.22
130,-9.66,-0.80,-0.32,0.85,-0.43,1.22
140,-9.87,-0.39,0.74,1.65,0.12,1.16
150,-9.79,-0.62,0.24,0.12,-0.31,1.28
160,-9.71,-0.46,-0.73,-1.22,-1.04,1.34
170,-9.81,-0.50,-0.84,1.40,0.00,1.46
180,-10.07,-0.29,0.62,1.16,-0.06,1.22
190,-9.94,-0.41,0.11,-0.67,-0.85,1.10
200,-9.65,-0.51,-0.94,-1.28,-1.10,1.16
210,-9.77,-0.73,-0.69,0.31,-0.55,1.40
220,-9.88,-0.64,0.31,1.59,0.12,1.40
230,-9.90,-0.48,0.74,0.55,-0.18,1.28
240,-9.77,-0.64,-1.05,-0.73,-0.92,1.22
250,-9.72,-0.34,-0.38,1.04,-0.37,1.22
260,-9.74,-0.79,0.79,1.53,-0.06,1.22
270,-9.25,-0.62,0.35,-0.12,-0.55,1.16
280,-9.76,-0.34,-0.80,-1.46,-1.34,1.28
290,-9.80,-0.58,-0.91,-0.18,-0.79,1.16
300,-9.41,-0.67,0.25,1.59,-0.24,1.16
310,-9.98,-0.38,-0.27,-0.73,-0.85,1.22
320,-9.73,-0.54,-1.08,-0.79,-0.98,1.22
330,-9.71,-0.82,-0.38,0.73,-0.55,1.46
340,-9.88,-0.46,0.63,1.34,-0.18,1.34
350,-9.74,-0.56,0.23,0.18,-0.49,1.28
360,-9.65,-0.39,-0.61,-1.10,-1.10,1.16
370,-9.78,-0.53,-0.72,15.14,-0.18,1.16
380,-9.97,-0.40,0.45,1.04,-0.18,1.34
390,-10.04,-0.40,0.02,-0.31,-0.79,1.22
400,-9.70,-0.50,-0.78,-0.92,-1.10,1.28
410,-9.75,-0.68,-0.53,0.24,-0.73,1.28
420,-9.98,-0.59,0.18,1.40,-0.18,1.28
430,-9.88,-0.51,0.52,0.43,-0.43,1.22
440,-9.73,-0.61,-0.35,-0.73,-0.92,1.10
450,-9.67,-0.36,-0.36,1.10,-0.37,1.28
460,-9.77,-0.81,0.65,1.22,-0.06,1.28
470,-9.49,-0.63,0.24,-0.24,-0.61,1.10
480,-9.82,-0.36,-0.78,-1.04,-1.28,1.28
490,-9.82,-0.54,-0.77,0.06,-0.73,1.22
500,-9.45,-0.65,0.32,1.40,0.00,1.22
510,-9.71,-0.38,-0.40,-0.79,-0.92,1.22
520,-9.76,-0.50,-1.02,-0.67,-0.98,1.34
530,-9.71,-0.77,-0.25,0.79,-0.43,1.40
540,-9.93,-0.41,0.62,1.40,0.06,1.34
550,-9.79,-0.58,0.13,0.18,-0.43,1.40
560,-9.70,-0.44,-0.67,-1.10,-0.92,1.16
570,-9.70,-0.51,-0.71,-0.24,-0.79,1.22
580,-10.01,-0.34,0.53,1.28,-0.12,1.34
590,-9.96,-0.47,-0.03,-0.49,-0.73,1.22
600,-9.72,-0.56,-0.91,-1.04,-0.98,1.28
610,-9.86,-0.66,-0.55,0.55,-0.61,1.22
620,-10.00,-0.54,0.34,1.46,0.12,1.28
630,-9.92,-0.51,0.61,0.37,-0.18,1.28
640,-9.73,-0.68,-0.46,-1.04,-1.10,1.22
650,-9.66,-0.34,-0.33,1.22,-0.24,1.34
660,-9.77,-0.73,0.77,1.40,0.00,1.22
670,-9.43,-0.61,0.31,-0.31,-0.55,1.34
680,-9.84,-0.40,-0.87,-1.46,-1.22,1.22
690,-9.81,-0.61,-0.90,0.06,-0.79,1.40
700,-9.42,-0.61,0.36,1.59,-0.12,1.22
710,-9.70,-0.62,0.79,-0.98,-0.85,1.22
720,-9.79,-0.56,-1.17,-1.10,-1.04,1.22
