timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.77,-0.47,-0.03,1.16,-0.24,1.34
10,-9.75,-0.73,0.66,1.53,0.00,1.28
20,-9.35,-0.67,0.29,-0.12,-0.61,1.40
30,-9.80,-0.40,-0.79,-1.16,-0.92,1.34
40,-9.86,-0.54,-0.86,0.00,-0.55,1.28
50,-9.33,-0.83,0.23,1.59,0.06,1.46
60,-9.70,-0.63,0.82,0.67,-0.12,1.46
70,-9.88,-0.42,-1.16,-0.79,-1.10,1.28
80,-9.54,-0.72,-0.36,0.79,-0.31,1.40
90,-9.76,-0.54,0.73,1.46,0.12,1.34
100,-9.77,-0.61,0.22,0.12,-0.61,1.28
110,-9.83,-0.48,-0.78,-1.10,-1.10,1.28
120,-9.88,-0.46,-0.79,-0.31,-0.79,1.34
130,-9.64,-0.90,0.08,1.28,-0.12,1.28
140,-9.84,-0.39,-0.03,-0.61,-0.73,1.28
150,-9.69,-0.48,-0.88,-1.16,-1.10,1.34
160,-9.80,-0.70,-0.54,0.55,-0.55,1.34
170,-9.98,-0.54,0.33,1.59,0.18,1.40
180,-10.11,-0.39,0.62,0.67,-0.18,1.40
190,-9.79,-0.68,-0.42,-0.92,-1.04,1.46
200,-9.77,-0.48,-0.99,1.22,-0.18,1.40
210,-9.69,-0.76,0.74,1.40,0.18,1.28
220,-9.35,-0.65,0.31,-0.18,-0.55,1.16
230,-9.75,-0.38,-0.85,-1.16,-1.04,1.34
240,-9.82,-0.59,-0.90,0.00,-0.73,1.34
250,-9.40,-0.72,0.27,1.59,-0.12,1.34
260,-9.70,-0.59,0.81,0.92,-0.18,1.10
270,-9.88,-0.40,-0.30,-1.10,-1.16,1.22
280,-9.58,-0.85,-0.37,0.73,-0.49,1.34
290,-9.93,-0.41,0.65,1.71,0.12,1.34
300,-9.91,-0.56,0.24,0.24,-0.49,1.28
310,-9.85,-0.51,-0.69,-1.28,-1.10,1.16
320,-9.85,-0.46,-0.83,-0.37,-0.92,1.34
330,-9.74,-0.82,-0.07,1.40,-0.18,1.46
340,-10.18,-0.31,0.11,-0.37,-0.73,1.28
350,-9.68,-0.47,-0.90,-1.28,-1.16,1.22
360,-9.84,-0.71,-0.65,0.43,-0.67,1.22
370,-9.87,-0.63,0.34,1.77,0.00,1.28
380,-10.00,-0.40,0.70,0.61,-0.24,1.34
390,-9.74,-0.64,-0.45,-1.04,-0.92,1.34
400,-9.74,-0.48,-1.05,-0.61,-0.92,1.28
410,-9.62,-0.83,0.73,1.40,-0.06,1.34
420,-9.34,-0.66,0.27,-0.12,-0.49,1.16
430,-9.79,-0.38,-0.82,-1.16,-1.04,1.28
440,-9.83,-0.56,-0.84,-0.12,-0.73,1.40
450,-9.34,-0.69,0.27,1.59,-0.18,1.28
460,-9.74,-0.58,0.76,1.04,-0.18,1.22
470,-9.93,-0.35,-0.28,-1.04,-1.22,1.10
480,-9.67,-0.87,-0.39,0.73,-0.55,1.22
490,-10.01,-0.36,0.57,1.53,0.06,1.34
500,-9.98,-0.51,0.24,0.43,-0.43,1.22
510,-9.84,-0.53,-0.62,-0.98,-1.10,1.10
520,-9.85,-0.49,-0.79,-0.49,-0.92,1.34
530,-9.95,-0.70,-0.09,1.22,-0.06,1.22
540,-10.14,-0.41,0.51,-0.37,-0.55,1.34
550,-9.66,-0.46,-0.81,-1.22,-1.10,1.16
560,-9.75,-0.72,-0.71,0.24,-0.73,1.16
570,-9.73,-0.66,0.23,1.59,-0.18,1.40
580,-9.90,-0.46,0.73,0.73,-0.12,1.22
590,-9.75,-0.65,-0.37,-1.04,-0.79,1.34
600,-9.74,-0.48,-1.06,-0.92,-1.04,1.34
610,-9.79,-0.80,0.72,1.46,0.06,1.34
620,-9.31,-0.72,0.28,-0.12,-0.61,1.22
630,-9.82,-0.36,-0.80,-1.16,-1.16,1.34
640,-9.86,-0.51,-0.84,-0.12,-0.73,1.28
650,-9.28,-0.73,0.22,1.59,-0.12,1.34
660,-9.80,-0.62,0.75,0.85,-0.18,1.34
670,-9.95,-0.34,-0.25,-0.85,-0.98,1.28
680,-9.65,-0.85,-0.41,0.92,-0.31,1.40
690,-9.98,-0.39,0.63,1.77,0.18,1.28
700,-9.92,-0.51,0.27,0.31,-0.18,1.22
710,-9.83,-0.55,-0.63,-1.10,-0.92,1.10
720,-9.83,-0.49,-0.81,-0.37,-1.04,1.22
730,-9.87,-0.64,-0.12,1.22,-0.31,1.28
740,-10.11,-0.40,0.55,-0.43,-0.79,1.34
750,-9.77,-0.49,-0.85,-1.16,-1.10,1.40
760,-9.81,-0.69,-0.77,0.18,-0.55,1.46
770,-9.65,-0.74,0.26,1.53,0.24,1.28
780,-9.90,-0.52,0.82,0.73,-0.06,1.10
790,-9.75,-0.61,-0.37,-1.16,-0.98,1.28
800,-9.73,-0.50,-1.12,-0.85,-1.04,1.22
810,-9.64,-0.36,-0.34,1.46,0.06,1.22
820,-9.42,-0.68,0.26,-0.06,-0.43,1.28
830,-9.86,-0.40,-0.83,-1.40,-1.10,1.46
840,-9.86,-0.53,-0.88,-0.37,-0.73,1.34
850,-9.30,-0.81,0.22,1.34,-0.06,1.28
860,-9.87,-0.52,0.74,1.10,-0.06,1.34
870,-9.88,-0.33,-0.16,-0.67,-0.73,1.28
880,-9.62,-0.79,-0.45,0.67,-0.43,1.40
890,-10.07,-0.42,0.59,1.71,-0.06,1.28
900,-10.10,-0.45,0.41,0.37,-0.24,1.46
910,-9.78,-0.59,-0.62,-1.22,-1.04,1.22
920,-9.83,-0.47,-0.89,-0.55,-0.85,1.28
930,-9.96,-0.52,-0.17,1.28,-0.18,1.28
940,-10.01,-0.49,0.59,1.34,-0.67,1.34
950,-9.75,-0.47,-0.84,-1.34,-1.16,1.28
960,-9.75,-0.72,-0.81,0.12,-0.73,1.22
970,-9.53,-0.77,0.26,1.71,0.06,1.40
980,-9.76,-0.54,0.86,0.85,-0.12,1.34
990,-9.72,-0.56,-0.35,-1.10,-1.10,1.34
