timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.96,-0.48,0.54,1.04,0.06,1.28
10,-9.72,-0.52,0.18,-0.55,-0.73,1.22
20,-9.72,-0.50,-0.83,-1.22,-1.04,1.16
30,-9.79,-0.64,-0.71,0.31,-0.49,1.40
40,-9.68,-0.81,0.29,1.34,0.00,1.34
50,-9.76,-0.64,0.75,0.55,-0.31,1.22
60,-9.74,-0.57,-0.41,-0.98,-1.10,1.28
70,-9.69,-0.34,-0.27,0.85,-0.37,1.28
80,-9.75,-0.71,0.76,1.53,0.12,1.34
90,-9.53,-0.60,0.23,-0.06,-0.43,1.34
100,-9.83,-0.38,-0.79,-1.28,-1.22,1.16
110,-9.82,-0.52,-0.81,-0.37,-0.61,1.10
120,-9.40,-0.80,0.29,1.28,-0.12,1.34
130,-9.91,-0.45,0.66,-0.73,-0.79,1.34
140,-9.77,-0.58,-1.04,-1.16,-1.04,1.28
150,-9.88,-0.69,-0.41,0.61,-0.61,1.28
160,-9.93,-0.49,0.50,1.65,-0.06,1.34
170,-10.02,-0.45,0.44,0.49,-0.49,1.34
180,-9.69,-0.61,-0.54,-1.16,-1.16,1.16
190,-9.67,-0.49,-0.91,-0.43,-0.85,1.34
200,-9.78,-0.81,0.67,1.28,-0.06,1.16
210,-9.61,-0.49,0.31,-0.55,-0.55,1.16
220,-9.72,-0.44,-0.86,-1.28,-0.98,1.34
230,-9.75,-0.65,-0.82,0.18,-0.61,1.22
240,-9.68,-0.69,0.31,1.71,0.06,1.34
250,-9.73,-0.63,0.78,0.85,-0.24,1.10
260,-9.81,-0.48,-0.33,-0.98,-0.79,1.22
270,-9.65,-0.62,-0.37,0.73,-0.49,1.28
280,-9.81,-0.59,0.75,1.46,0.06,1.28
290,-9.56,-0.57,0.26,0.18,-0.55,1.34
300,-9.75,-0.38,-0.70,-1.28,-1.16,1.22
310,-9.84,-0.53,-0.82,-0.31,-0.85,1.34
320,-9.52,-0.93,0.14,1.40,-0.18,1.28
330,-9.95,-0.41,0.57,-14.47,-0.79,1.22
340,-9.65,-0.52,-0.89,-1.22,-1.04,1.28
350,-9.79,-0.73,-0.45,0.43,-0.43,1.28
360,-10.03,-0.52,0.33,1.40,-0.18,1.28
370,-9.95,-0.41,0.43,0.49,-0.43,1.16
380,-9.80,-0.54,-0.39,-1.04,-0.98,1.22
390,-9.69,-0.51,-0.83,-0.61,-0.79,1.28
400,-9.71,-0.52,-0.37,1.40,-0.06,1.34
410,-9.54,-0.53,0.30,-0.18,-0.79,1.16
420,-9.74,-0.43,-0.75,-0.98,-1.22,1.16
430,-9.79,-0.61,-0.78,0.12,-0.73,1.40
440,-9.60,-0.65,0.27,1.34,-0.31,1.22
450,-9.76,-0.64,0.69,0.73,-0.24,1.28
460,-9.84,-0.50,-0.31,-0.85,-0.92,1.46
470,-9.87,-0.76,-0.33,0.79,-0.43,1.46
480,-9.87,-0.48,0.62,1.40,0.06,1.16
490,-9.77,-0.58,0.18,-0.06,-0.61,1.34
500,-9.80,-0.41,-0.69,-1.10,-1.16,1.16
510,-9.78,-0.50,-0.73,-0.24,-0.79,1.04
520,-9.68,-0.87,0.10,1.34,-0.31,1.10
530,-10.05,-0.32,0.48,0.85,-0.43,1.22
540,-9.67,-0.52,-0.87,-1.04,-1.16,1.22
550,-9.83,-0.66,-0.50,0.43,-0.61,1.22
560,-9.89,-0.59,0.32,1.59,0.06,1.22
570,-9.94,-0.46,0.58,0.49,-0.43,1.22
580,-9.69,-0.62,-0.42,-1.04,-1.04,1.22
590,-9.67,-0.48,-0.94,-0.49,-0.85,1.22
600,-9.73,-0.38,-0.32,1.16,-0.31,1.16
610,-9.54,-0.59,0.27,-0.37,-0.67,1.22
620,-9.82,-0.38,-0.86,-1.28,-1.16,1.40
630,-9.81,-0.60,-0.85,0.00,-0.67,1.22
640,-9.58,-0.57,0.32,1.53,-0.18,1.40
650,-9.66,-0.60,0.76,0.73,-0.12,1.22
660,-9.90,-0.44,-0.34,-1.04,-0.73,1.28
670,-9.86,-0.51,-1.12,0.92,-0.55,1.34
680,-9.99,-0.34,0.65,1.65,0.06,1.28
690,-9.82,-0.57,0.27,0.24,-0.55,1.22
700,-9.71,-0.48,-0.66,-1.28,-1.04,1.16
710,-9.73,-0.51,-0.82,-0.43,-0.92,1.22
720,-9.64,-0.75,-0.12,1.34,-0.24,1.16
