timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.80,-0.37,-0.83,-1.28,-1.04,1.46
10,-9.82,-0.58,-0.87,0.18,-0.67,1.46
20,-9.46,-0.65,0.32,1.71,-0.12,1.34
30,-9.71,-0.64,0.77,0.92,-0.31,1.22
40,-9.99,-0.42,-0.94,-0.98,-0.92,1.28
50,-9.67,-0.82,-0.35,0.79,-0.24,1.22
60,-9.89,-0.39,0.71,1.40,0.12,1.22
70,-9.71,-0.60,0.23,0.24,-0.43,1.40
80,-9.70,-0.44,-0.70,-1.04,-1.16,1.34
90,-9.81,-0.50,-0.80,-0.43,-0.85,1.22
100,-9.67,-0.90,-0.02,1.40,-0.12,1.34
110,-10.00,-0.40,0.08,-0.55,-0.61,1.28
120,-9.67,-0.50,-0.90,-1.10,-1.16,1.40
130,-9.72,-0.73,-0.62,0.37,-0.49,1.46
140,-9.91,-0.62,0.28,1.53,0.06,1.34
150,-9.92,-0.46,0.61,0.67,-0.24,1.22
160,-9.77,-0.61,-0.41,-1.10,-0.73,1.04
170,-9.83,-0.47,-0.96,-0.73,-0.24,1.28
180,-9.76,-0.82,0.71,1.40,-0.06,1.40
190,-9.39,-0.60,0.29,-0.18,-0.49,1.40
200,-9.73,-0.38,-0.78,-1.16,-1.16,1.16
210,-9.83,-0.57,-0.83,0.12,-0.73,1.16
220,-9.51,-0.65,0.27,1.53,-0.06,1.46
230,-9.71,-0.65,0.68,0.98,-0.12,1.34
240,-9.98,-0.39,-0.31,-0.85,-0.98,1.34
250,-9.70,-0.78,-0.30,0.61,-0.49,1.28
260,-9.94,-0.41,0.59,1.28,-0.18,1.28
270,-9.82,-0.55,0.18,0.12,-0.49,1.28
280,-9.74,-0.43,-0.63,-1.04,-1.10,1.04
290,-9.80,-0.50,-0.73,-0.31,-0.85,1.28
300,-9.74,-0.84,-0.03,1.22,-0.06,1.28
310,-10.00,-0.40,0.16,-0.43,-0.67,1.22
320,-9.66,-0.49,-0.82,-0.98,-0.98,1.28
330,-9.73,-0.69,-0.52,0.49,-0.55,1.28
340,-10.02,-0.60,0.28,1.46,-0.12,1.28
350,-9.93,-0.48,0.50,0.55,-0.24,1.22
360,-9.77,-0.62,-0.40,-0.92,-1.10,1.16
370,-9.80,-0.46,-0.86,-0.55,-0.85,1.40
380,-9.76,-0.74,0.65,1.22,-0.06,1.34
390,-9.47,-0.63,0.24,-0.31,-0.55,1.28
400,-9.81,-0.39,-0.79,-1.22,-1.16,1.40
410,-9.82,-0.57,-0.82,0.24,-0.79,1.40
420,-9.49,-0.61,0.34,1.40,-0.12,1.40
430,-9.71,-0.65,0.71,0.73,-0.18,1.40
440,-9.95,-0.47,-0.38,-0.92,-0.92,1.28
450,-9.68,-0.77,-0.26,0.79,-0.43,1.10
460,-9.93,-0.40,0.66,1.53,0.06,1.22
470,-9.79,-0.60,0.18,0.12,-0.37,1.22
480,-9.74,-0.48,-0.70,-1.16,-1.10,1.22
490,-9.80,-0.46,-0.78,-0.24,-0.79,1.34
500,-9.67,-0.83,-0.03,1.34,-0.12,1.28
510,-10.08,-0.32,0.58,-0.55,-0.85,1.22
520,-9.71,-0.52,-0.93,-1.28,-1.16,1.34
530,-9.81,-0.69,-0.63,0.55,-0.73,1.40
540,-9.89,-0.61,0.40,1.71,0.12,1.40
550,-10.02,-0.45,0.71,0.55,-0.12,1.34
560,-9.73,-0.69,-0.50,-1.16,-1.04,1.16
570,-9.83,-0.47,-1.07,-0.67,-1.10,1.16
580,-9.71,-0.31,0.82,1.53,0.06,1.40
590,-9.30,-0.66,0.30,-0.18,-0.55,1.28
600,-9.80,-0.37,-0.86,-1.28,-1.04,1.34
610,-9.80,-0.61,-0.90,0.00,-0.61,1.34
620,-9.37,-0.67,0.34,1.59,0.12,1.34
630,-9.74,-0.61,0.82,0.79,-0.18,1.46
640,-9.98,-0.40,-0.27,-0.73,-0.85,1.28
650,-9.70,-0.84,-0.39,0.67,-0.61,1.34
660,-9.91,-0.38,0.68,1.65,0.12,1.16
670,-9.80,-0.56,0.28,0.43,-0.24,1.22
680,-9.72,-0.47,-0.66,-1.22,-0.98,1.22
690,-9.84,-0.51,-0.81,-0.49,-0.98,1.28
700,-9.72,-0.85,-0.10,1.40,-0.18,1.40
710,-10.04,-0.35,0.59,-14.28,-0.67,1.22
720,-9.66,-0.49,-0.84,-1.34,-1.22,1.34
730,-9.70,-0.73,-0.70,0.24,-0.55,1.22
740,-9.83,-0.71,0.24,1.53,0.00,1.28
750,-9.88,-0.50,0.70,0.67,-0.24,1.10
760,-9.73,-0.60,-0.38,-1.04,-0.92,1.04
770,-9.84,-0.45,-0.98,-0.85,-0.98,1.16
780,-9.72,-0.34,-0.37,1.40,0.06,1.34
790,-9.35,-0.63,0.30,-0.24,-0.67,1.40
800,-9.76,-0.36,-0.75,-1.16,-1.22,1.40
810,-9.85,-0.56,-0.82,-0.12,-0.67,1.28
820,-9.41,-0.67,0.25,1.40,-0.06,1.22
830,-9.73,-0.70,0.66,0.92,-0.18,1.22
840,-9.96,-0.40,-0.28,-0.73,-0.73,1.22
850,-9.72,-0.82,-0.32,0.73,-0.31,1.46
860,-9.89,-0.46,0.60,1.40,0.00,1.34
870,-9.79,-0.55,0.19,0.18,-0.37,1.28
880,-9.67,-0.42,-0.64,-1.04,-0.92,1.22
890,-9.76,-0.52,-0.70,-0.24,-0.67,1.16
900,-9.77,-0.80,-0.01,1.16,-0.18,1.28
910,-9.99,-0.39,0.46,0.98,-0.18,1.28
920,-9.73,-0.51,-0.82,-0.98,-1.04,1.28
930,-9.75,-0.66,-0.54,0.61,-0.61,1.28
940,-9.91,-0.61,0.24,1.46,0.00,1.22
950,-9.93,-0.56,0.56,0.37,-0.24,1.22
960,-9.74,-0.64,-0.41,-1.04,-1.10,1.16
970,-9.79,-0.43,-0.91,-0.79,-0.92,1.34
980,-9.66,-0.31,-0.30,1.34,-0.06,1.34
990,-9.41,-0.66,0.23,-0.31,-0.55,1.22
