timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.83,-0.72,-0.07,1.16,-0.12,1.34
10,-10.16,-0.38,0.50,1.22,0.06,1.22
20,-9.88,-0.42,0.14,-0.37,-0.61,1.28
30,-9.69,-0.49,-0.83,-1.22,-1.10,1.28
40,-9.78,-0.75,-0.72,0.31,-0.06,1.28
50,-9.90,-0.47,0.72,0.67,-0.18,1.16
60,-9.86,-0.56,-0.34,-0.85,-0.92,1.28
70,-9.76,-0.51,-1.01,-0.67,-0.92,1.34
80,-9.76,-0.39,-0.35,1.04,-0.31,1.40
90,-9.66,-0.77,0.71,1.40,0.00,1.22
100,-9.36,-0.64,0.26,-0.06,-0.55,1.16
110,-9.71,-0.36,-0.80,-0.18,-0.61,1.28
120,-9.40,-0.78,0.22,1.28,0.00,1.28
130,-9.78,-0.58,0.63,0.98,-0.18,1.28
140,-9.97,-0.35,-0.23,-0.73,-0.79,1.28
150,-9.73,-0.52,-0.96,-0.98,-1.10,1.28
160,-9.54,-0.86,-0.40,0.61,-0.55,1.40
170,-10.08,-0.41,0.47,1.40,0.06,1.34
180,-9.90,-0.46,-0.54,-0.98,-0.92,1.28
190,-9.74,-0.53,-0.76,-0.43,-0.98,1.28
200,-9.96,-0.50,-0.11,1.16,-0.18,1.22
210,-10.06,-0.50,0.46,1.22,-0.06,1.28
220,-9.78,-0.51,0.15,-0.24,-0.61,1.28
230,-9.72,-0.43,-0.76,-1.10,-1.10,1.22
240,-9.88,-0.64,-0.70,0.18,-0.55,1.34
250,-9.76,-0.61,0.71,0.49,-0.24,1.34
260,-9.85,-0.53,-0.38,-0.79,-0.85,1.16
270,-9.77,-0.48,-1.03,-0.55,-1.10,1.16
280,-9.59,-0.42,-0.30,0.92,-0.31,1.40
290,-9.68,-0.72,0.74,1.16,0.12,1.53
300,-9.43,-0.60,0.18,-0.18,-0.49,1.28
310,-9.72,-0.41,-0.80,-0.24,-0.85,1.34
320,-9.44,-0.71,0.25,1.46,-0.06,1.22
330,-9.85,-0.51,0.59,0.98,-0.12,1.22
340,-9.98,-0.40,-0.26,-0.67,-0.85,1.28
350,-9.80,-0.56,-1.00,-0.98,-1.04,1.16
360,-9.75,-0.72,-0.40,0.61,-0.49,1.22
370,-10.05,-0.39,0.49,1.40,-0.06,1.34
380,-9.99,-0.51,0.38,-1.16,-1.22,1.34
390,-9.75,-0.47,-0.87,-0.49,-0.79,1.22
400,-9.94,-0.37,-0.20,1.28,-0.12,1.28
410,-9.95,-0.58,0.64,1.40,0.12,1.22
420,-9.65,-0.52,0.27,-0.37,-0.67,1.28
430,-9.73,-0.38,-0.86,-1.22,-1.28,1.22
