timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.77,-0.62,0.83,0.92,-0.12,1.22
10,-9.74,-0.50,-0.24,-0.92,-0.85,1.28
20,-9.76,-0.48,-1.12,-0.85,-0.98,1.28
30,-9.66,-0.49,-0.37,1.59,-0.18,1.40
40,-9.58,-0.60,0.25,0.12,-0.49,1.34
50,-9.78,-0.36,-0.73,-1.28,-1.04,1.22
60,-9.88,-0.54,-0.79,-0.31,-0.92,1.28
70,-9.59,-0.91,0.17,1.34,-0.24,1.28
80,-9.93,-0.43,0.54,1.10,-0.12,1.16
90,-10.02,-0.34,-0.10,-0.61,-0.73,1.22
100,-9.64,-0.53,-0.86,0.49,-0.61,1.34
111,-10.03,-0.50,0.34,1.40,-0.06,1.22
121,-10.01,-0.41,0.42,0.55,-0.24,1.34
131,-9.80,-0.62,-0.40,-0.92,-0.92,1.40
141,-9.75,-0.46,-0.84,-0.55,-1.04,1.10
151,-9.72,-0.51,-0.36,1.16,-0.18,1.46
161,-9.84,-0.66,0.59,-0.24,-0.61,1.40
171,-9.79,-0.41,-0.77,-1.10,-1.10,1.28
181,-9.79,-0.57,-0.82,0.24,-0.79,1.34
191,-9.44,-0.78,0.29,1.59,-0.12,1.22
201,-9.80,-0.68,0.78,0.85,-0.24,1.34
211,-9.81,-0.49,-0.33,-0.92,-0.98,1.22
221,-9.78,-0.48,-1.12,-0.85,-1.10,1.28
231,-9.69,-0.57,0.74,1.46,0.00,1.28
241,-9.71,-0.56,0.20,0.00,-0.49,1.22
251,-9.81,-0.42,-0.74,-1.34,-1.04,1.28
261,-9.81,-0.54,-0.76,-0.24,-0.79,1.28
271,-9.60,-0.89,0.14,1.28,-0.12,1.34
281,-10.00,-0.29,0.54,0.92,-0.06,1.28
291,-9.98,-0.40,-0.03,-0.61,-0.73,1.22
301,-9.82,-0.66,-0.49,0.55,-0.43,1.34
311,-9.98,-0.53,0.39,1.65,0.00,1.34
321,-10.00,-0.41,0.56,0.55,-0.31,1.28
331,-9.75,-0.66,-0.41,-0.98,-1.04,1.28
341,-9.71,-0.46,-0.97,-0.67,-1.04,1.16
351,-9.76,-0.42,-0.37,1.22,-0.24,1.28
361,-9.76,-0.74,0.74,-0.24,-0.67,1.16
371,-9.80,-0.40,-0.83,-1.28,-1.16,1.16
381,-9.75,-0.62,-0.88,0.00,-0.49,1.34
391,-9.49,-0.62,0.33,1.59,0.06,1.28
401,-9.75,-0.58,0.81,0.92,-0.24,1.46
411,-9.83,-0.45,-0.32,-0.79,-0.79,1.34
421,-9.78,-0.52,-1.13,-0.98,-1.16,1.22
431,-9.71,-0.82,-0.35,1.53,0.12,1.34
441,-9.86,-0.56,0.23,0.06,-0.43,1.28
451,-9.81,-0.46,-0.65,-1.16,-1.10,1.10
461,-9.79,-0.53,-0.80,-0.31,-0.79,1.28
471,-9.66,-0.93,-0.02,1.34,-0.12,1.28
481,-10.07,-0.27,0.56,1.22,0.06,1.34
491,-9.92,-0.42,0.13,-0.55,-0.73,1.22
501,-9.64,-0.71,-0.62,0.37,-0.67,1.40
511,-9.97,-0.59,0.25,1.65,0.06,1.28
521,-9.91,-0.38,0.65,0.79,-0.12,1.34
531,-9.77,-0.63,-0.35,-1.04,-0.92,1.40
541,-9.78,-0.44,-0.99,-0.92,-0.85,1.28
551,-9.69,-0.38,-0.42,0.92,-0.18,1.22
561,-9.72,-0.77,0.70,1.28,-15.44,1.22
571,-9.77,-0.41,-0.79,-1.10,-1.10,1.34
581,-9.84,-0.58,-0.83,0.18,-0.73,1.34
591,-9.48,-0.67,0.24,1.53,-0.18,1.40
601,-9.77,-0.58,0.72,0.98,-0.31,1.40
611,-9.85,-0.45,-0.26,-0.61,-0.85,1.22
621,-9.78,-0.53,-0.99,-0.79,-0.92,1.10
631,-9.78,-0.73,-0.34,1.40,0.00,1.28
641,-9.83,-0.54,0.20,0.43,-0.31,1.22
651,-9.77,-0.44,-0.56,-0.85,-0.92,1.28
661,-9.77,-0.50,-0.73,-0.43,-0.67,1.04
671,-9.65,-0.82,-0.15,1.28,-0.12,1.16
681,-9.97,-0.39,0.50,1.16,-0.12,1.28
691,-9.84,-0.46,0.13,-0.24,-0.49,1.28
701,-9.65,-0.49,-0.48,0.37,-0.55,1.34
711,-9.87,-0.61,0.20,1.59,0.12,1.28
721,-9.93,-0.51,0.65,0.55,-0.12,1.34
731,-9.78,-0.64,-0.36,-0.92,-0.92,1.34
741,-9.79,-0.43,-0.97,-0.73,-1.16,1.28
751,-9.65,-0.33,-0.33,1.04,-0.24,1.40
761,-9.68,-0.82,0.77,1.40,0.06,1.40
771,-9.69,-0.39,-0.82,-0.98,-1.04,1.40
781,-9.85,-0.54,-0.80,0.12,-0.67,1.22
791,-9.44,-0.60,0.32,1.34,0.06,1.28
801,-9.81,-0.59,0.71,0.79,-0.06,1.40
811,-9.92,-0.43,-0.32,-0.73,-0.92,1.10
821,-9.75,-0.52,-1.05,-0.92,-0.98,1.16
831,-9.80,-0.73,-0.31,0.79,0.06,1.40
841,-9.91,-0.54,0.26,0.18,-0.31,1.16
851,-9.82,-0.53,-0.61,-1.28,-1.10,1.10
861,-9.74,-0.50,-0.82,-0.49,-0.98,1.16
871,-9.63,-0.71,-0.17,1.34,-0.18,1.28
881,-10.02,-0.38,0.60,1.22,-0.12,1.34
891,-9.76,-0.50,0.21,-0.61,-0.92,1.22
901,-9.70,-0.53,-0.89,0.31,-0.43,1.28
911,-9.70,-0.74,0.34,1.59,0.06,1.28
921,-9.84,-0.55,0.84,0.61,-0.31,1.28
931,-9.70,-0.62,-0.43,-1.16,-1.04,1.40
941,-9.76,-0.46,-1.12,-0.92,-0.98,1.22
951,-9.74,-0.34,-0.29,1.10,-0.31,1.22
961,-9.71,-0.75,0.80,1.65,0.06,1.16
971,-9.44,-0.62,-0.68,-1.34,-1.04,1.34
981,-9.83,-0.55,-0.83,-0.31,-0.79,1.40
991,-9.44,-0.71,0.29,1.46,-0.12,1.22
