timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.98,-0.49,0.33,-0.61,-0.85,1.28
10,-10.12,-0.59,-1.39,-1.89,-1.40,1.40
20,-10.16,-0.40,-1.24,0.18,-0.61,1.34
30,-9.83,-0.77,0.66,2.38,0.31,1.34
40,-9.93,-0.44,-0.50,-1.89,-1.40,1.28
50,-9.63,-0.34,-1.70,-1.71,-1.34,1.16
60,-9.41,-0.62,-0.52,1.34,-0.12,1.16
70,-9.73,-0.70,1.39,2.32,0.61,1.28
80,-10.10,-0.35,0.79,-0.24,-0.49,1.28
90,-9.79,-0.55,-1.35,-2.44,-1.65,1.28
100,-9.72,-0.66,-1.58,-0.73,-1.10,1.40
110,-9.80,-0.57,1.46,1.89,0.31,1.40
120,-9.34,-0.63,-0.20,-1.46,-1.10,1.22
130,-9.70,-0.44,-1.67,-2.44,-1.53,1.40
140,-9.47,-0.72,-0.87,0.79,-0.49,1.40
150,-9.76,-0.65,1.10,2.87,0.43,1.22
160,-10.05,-0.28,1.11,0.55,-0.37,1.22
170,-9.74,-0.55,-0.74,-2.44,-1.34,1.28
180,-9.78,-0.67,-0.20,2.01,0.06,1.34
190,-9.87,-0.45,1.48,2.50,0.37,1.28
200,-10.05,-0.37,0.54,-0.61,-0.73,1.28
210,-10.11,-0.71,-1.57,-2.62,-1.53,1.34
220,-10.16,-0.57,-1.44,-0.18,-1.04,1.28
230,-9.90,-0.76,0.70,2.87,0.43,1.16
240,-9.87,-0.37,1.51,-1.89,-1.22,1.28
250,-9.42,-0.51,-1.83,-2.08,-1.40,1.22
260,-9.44,-0.75,-0.66,1.10,-0.18,1.40
270,-9.68,-0.66,1.28,2.87,0.73,1.16
280,-10.08,-0.21,0.98,0.18,-0.31,1.28
290,-9.58,-0.59,-1.14,-2.32,-1.53,1.34
300,-9.91,-0.62,-1.62,-0.98,-1.22,1.46
310,-9.41,-0.93,1.40,2.20,0.37,1.22
320,-9.30,-0.58,0.14,-0.98,-0.85,1.22
330,-9.90,-0.37,-1.39,-2.26,-1.59,1.46
340,-9.70,-0.73,-1.19,0.18,-0.79,1.40
350,-9.86,-0.78,0.81,2.44,0.37,1.34
360,-10.13,-0.27,1.20,0.85,0.24,1.16
370,-9.80,-0.33,-0.44,-1.83,-1.28,1.34
380,-9.97,-0.65,-0.39,1.59,-0.12,1.28
390,-9.92,-0.61,1.32,2.50,0.37,1.28
400,-10.18,-0.34,0.66,-0.31,-0.49,1.34
410,-10.05,-0.51,-1.39,-2.38,-1.46,1.10
420,-10.06,-0.58,-1.41,-0.55,-0.79,1.28
430,-9.70,-0.87,0.46,2.32,0.24,1.34
440,-9.76,-0.47,1.35,-14.10,-1.10,1.28
450,-9.45,-0.46,-1.56,-1.95,-1.59,1.34
460,-9.30,-0.74,-0.64,0.98,-0.31,1.28
470,-9.68,-0.71,1.09,2.44,0.49,1.16
480,-10.08,-0.30,0.84,0.31,-0.12,1.10
490,-9.54,-0.56,-0.96,-2.01,-1.40,1.22
500,-9.87,-0.53,-1.44,-0.73,-1.22,1.28
510,-9.72,-0.83,0.05,1.83,0.37,1.40
520,-9.61,-0.58,0.06,-1.04,-0.67,1.53
530,-10.05,-0.35,-1.35,-2.01,-1.46,1.28
540,-9.72,-0.57,-1.09,0.37,-0.67,1.46
550,-9.91,-0.70,0.82,2.44,0.31,1.34
560,-10.00,-0.35,1.12,0.73,0.00,1.10
570,-9.60,-0.48,-0.47,-1.95,-1.34,1.16
580,-9.81,-0.32,-0.34,1.71,0.00,1.59
590,-9.93,-0.56,1.34,2.38,0.49,1.40
600,-10.10,-0.42,0.64,-0.67,-0.55,1.28
610,-9.87,-0.63,-1.48,-2.32,-1.46,1.40
620,-10.07,-0.49,-1.48,-0.06,-0.92,1.40
630,-9.63,-0.86,0.61,2.62,0.43,1.40
640,-9.86,-0.53,1.50,1.53,0.06,1.28
650,-9.50,-0.48,-1.75,-2.01,-1.40,1.22
660,-9.18,-0.72,-0.65,1.10,-0.31,1.22
670,-9.69,-0.66,1.34,2.81,0.49,1.22
680,-10.03,-0.30,0.92,0.06,-0.24,1.40
690,-9.70,-0.52,-1.07,-2.44,-1.46,1.28
700,-9.84,-0.62,-1.61,-1.10,-1.10,1.28
710,-9.59,-0.81,0.12,2.26,0.55,1.28
720,-9.63,-0.64,0.17,-0.92,-0.61,1.28
730,-10.04,-0.45,-1.57,-2.44,-1.46,1.40
740,-9.95,-0.54,-1.29,0.43,-0.55,1.34
750,-9.87,-0.73,0.89,2.93,0.31,1.34
760,-10.01,-0.29,1.36,1.10,-0.12,1.28
770,-9.74,-0.40,-0.48,-2.01,-1.22,1.34
780,-9.52,-0.52,-1.87,1.83,-0.12,1.46
790,-9.86,-0.54,1.44,2.69,0.61,1.34
800,-10.08,-0.29,0.80,-0.24,-0.49,1.28
810,-9.89,-0.58,-1.45,-2.56,-1.53,1.34
820,-10.00,-0.72,-1.49,-0.67,-1.04,1.28
830,-9.53,-0.92,0.39,2.56,0.31,1.40
840,-9.80,-0.51,1.44,1.95,0.31,1.22
850,-9.19,-0.48,-1.65,-2.26,-1.59,1.46
860,-9.35,-0.73,-0.95,0.79,-0.49,1.46
870,-9.66,-0.73,1.05,2.81,0.61,1.46
880,-10.11,-0.27,1.11,0.55,-0.18,1.40
890,-9.63,-0.57,-0.74,-2.14,-1.46,1.34
900,-9.89,-0.41,-1.68,-1.34,-1.22,1.53
910,-9.74,-0.78,-0.17,1.89,0.06,1.22
920,-9.92,-0.48,0.40,-0.55,-0.49,1.10
930,-10.24,-0.49,-1.46,-2.26,-1.53,1.28
940,-10.02,-0.56,-1.31,-0.06,-0.85,1.34
950,-9.88,-0.84,0.72,2.56,0.31,1.46
960,-9.91,-0.38,1.31,1.28,0.06,1.28
970,-9.54,-0.19,-0.38,-1.65,-1.22,1.34
980,-9.32,-0.45,-1.68,1.28,-0.18,1.40
990,-9.73,-0.64,1.18,2.44,0.43,1.46
