timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.64,-0.34,-1.35,0.06,-0.73,1.34
10,-9.92,-0.61,0.90,2.69,0.37,1.65
20,-9.94,-0.57,1.36,1.28,0.18,1.34
30,-9.14,-0.62,-0.45,-2.01,-1.16,1.22
40,-9.92,-0.34,-1.75,-1.95,-1.71,1.40
50,-9.41,-0.73,-0.55,1.59,-0.24,1.53
60,-10.12,-0.26,0.87,-0.12,-0.37,1.40
70,-9.99,-0.48,-1.20,-2.50,-1.53,1.40
80,-9.71,-0.79,-1.71,-0.79,-1.04,1.40
90,-9.55,-0.70,0.30,2.44,0.31,1.40
100,-9.66,-0.37,1.64,2.08,0.55,1.46
110,-9.61,-0.68,0.17,-1.40,-0.85,1.40
120,-9.75,-0.46,-1.74,13.00,-0.49,1.53
130,-9.53,-1.02,0.95,3.23,0.61,1.40
140,-9.85,-0.38,1.50,1.04,0.12,1.40
150,-9.79,-0.33,-0.58,-2.44,-1.28,1.28
160,-9.84,-0.42,-2.01,-2.08,-1.59,1.28
170,-9.46,-0.93,-0.53,1.77,-0.06,1.46
180,-10.04,-0.53,1.70,2.87,0.73,1.59
190,-9.99,-0.15,0.87,-2.69,-1.71,1.40
200,-9.79,-0.55,-1.65,-0.61,-1.16,1.46
210,-9.84,-0.66,0.64,2.69,0.31,1.46
220,-10.09,-0.37,1.58,1.89,0.49,1.28
230,-9.00,-0.64,-0.07,-1.46,-1.16,1.16
240,-9.90,-0.33,-1.75,-2.38,-1.65,1.40
250,-9.56,-0.76,-1.03,0.73,-0.49,1.40
260,-9.76,-0.50,1.23,0.73,-0.12,1.40
270,-10.04,-0.23,-0.80,-2.38,-1.59,1.34
280,-9.71,-0.68,-1.92,-1.59,-1.22,1.40
290,-9.56,-0.98,-0.09,2.08,0.12,1.40
300,-9.60,-0.44,1.64,2.38,0.67,1.40
310,-9.82,-0.43,0.44,-0.98,-0.79,1.28
320,-9.66,-0.43,-1.63,-2.81,-1.59,1.46
330,-9.57,-0.96,0.79,2.81,0.37,1.34
340,-10.02,-0.36,1.33,1.22,0.24,1.34
350,-9.67,-0.37,-0.46,-1.83,-1.22,1.34
360,-9.91,-0.36,-1.64,-1.65,-1.40,1.40
370,-9.66,-0.88,-0.53,1.46,-0.31,1.40
380,-9.98,-0.74,1.29,2.56,0.37,1.46
390,-9.95,-0.24,0.68,-0.12,-1.53,1.28
400,-9.67,-0.60,-1.33,-0.49,-0.98,1.40
410,-9.89,-0.80,0.37,2.08,0.18,1.40
420,-9.88,-0.50,1.17,1.53,0.00,1.34
430,-9.27,-0.45,-0.00,-1.10,-0.98,1.28
440,-9.71,-0.40,-1.38,-1.71,-1.77,1.28
