timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.72,-0.65,1.46,2.08,0.49,1.53
10,-9.96,-0.54,0.34,-0.73,-0.67,1.34
20,-9.76,-0.49,-1.51,-2.20,-1.46,1.22
30,-9.92,-0.23,-1.22,0.24,14.83,1.59
40,-9.89,-0.56,1.25,1.16,0.06,1.40
50,-9.32,-0.56,-0.47,-1.89,-1.10,1.28
60,-9.86,-0.32,-1.62,-1.83,-1.34,1.28
70,-9.19,-0.68,-0.52,1.59,-0.24,1.46
80,-10.10,-0.54,1.38,2.62,0.55,1.40
90,-10.07,-0.32,0.82,-0.18,-0.37,1.34
100,-9.83,-0.59,-1.29,-0.85,-1.22,1.40
110,-9.64,-0.60,0.49,2.56,0.37,1.40
120,-9.88,-0.52,1.46,2.01,0.43,1.34
130,-9.51,-0.67,-0.05,-1.53,-1.16,1.40
140,-9.78,-0.39,-1.71,-2.44,-1.71,1.46
150,-10.01,-0.43,-1.07,0.73,-0.37,1.46
160,-9.35,-0.93,1.02,3.11,0.61,1.34
170,-9.96,-0.47,1.31,-2.26,-1.53,1.16
180,-9.80,-0.52,-1.91,-1.59,-1.40,1.34
190,-9.52,-0.85,-0.26,2.08,-0.12,1.40
200,-9.71,-0.51,1.71,2.75,0.67,1.28
210,-9.97,-0.36,0.60,-0.67,-0.55,1.28
220,-9.74,-0.66,-1.66,-2.81,-1.83,1.46
230,-9.90,-0.30,-1.52,-0.37,-0.98,1.46
240,-9.90,-0.48,1.52,1.65,0.31,1.28
250,-9.11,-0.59,-0.23,-1.71,-1.16,1.34
260,-9.99,-0.28,-1.77,-2.38,-1.71,1.28
270,-9.38,-0.76,-0.85,1.10,-0.49,1.16
280,-10.08,-0.75,1.31,2.93,0.55,1.40
290,-10.02,-0.28,1.09,0.31,-0.12,1.40
300,-9.87,-0.40,-1.09,-2.50,-1.46,1.22
310,-9.60,-0.84,0.22,2.32,0.18,1.34
320,-9.77,-0.43,1.49,2.14,0.49,1.22
330,-9.52,-0.44,0.22,-1.10,-0.67,1.34
340,-9.74,-0.39,-1.52,-2.32,-1.59,1.40
350,-10.00,-0.52,-1.16,0.24,-0.55,1.46
360,-9.48,-0.87,0.73,2.62,0.49,1.40
370,-10.09,-0.38,1.25,-1.77,-1.28,1.16
380,-9.87,-0.48,-1.63,-1.65,-1.16,1.40
390,-9.66,-0.85,-0.45,1.46,-0.06,1.40
400,-9.72,-0.69,1.33,2.44,0.49,1.46
410,-9.95,-0.34,0.58,-0.24,-0.37,1.28
420,-9.81,-0.42,-1.22,-2.08,-1.34,1.16
430,-9.77,-0.40,-1.31,-0.49,-0.85,1.34
440,-9.90,-0.93,1.06,1.46,0.12,1.40
450,-9.37,-0.47,-0.14,-1.22,-1.04,1.40
460,-9.82,-0.36,-1.41,-1.77,-1.59,1.40
470,-9.39,-0.68,-0.66,0.85,-0.49,1.28
480,-9.98,-0.75,0.93,2.32,0.31,1.34
490,-10.06,-0.38,0.79,0.43,-0.24,1.28
500,-9.70,-0.45,-0.89,-1.71,-1.34,1.34
510,-9.60,-0.71,0.07,1.95,0.12,1.53
520,-9.90,-0.58,1.23,1.77,0.43,1.46
530,-9.76,-0.57,0.12,-1.10,-0.79,1.10
540,-9.82,-0.37,-1.40,-1.89,-1.40,1.22
550,-10.06,-0.23,-1.06,0.49,-0.55,1.59
560,-9.46,-0.93,0.78,2.56,0.37,1.53
570,-9.97,-0.53,1.16,0.67,-1.22,1.22
580,-9.80,-0.33,-1.66,-1.28,-1.22,1.28
590,-9.51,-0.79,-0.23,2.01,0.00,1.28
600,-9.87,-0.74,1.54,2.50,0.43,1.46
610,-9.97,-0.39,0.48,-0.67,-0.67,1.46
620,-9.80,-0.60,-1.58,-2.38,-1.65,1.28
630,-9.74,-0.40,-1.32,0.00,-0.85,1.40
640,-9.96,-0.67,0.75,1.34,0.18,1.40
650,-9.17,-0.64,-0.33,-1.77,-1.28,1.46
660,-9.98,-0.35,-1.70,-2.14,-1.65,1.40
670,-9.29,-0.77,-0.77,1.28,-0.24,1.34
680,-9.86,-0.62,1.30,2.99,0.61,1.46
690,-10.10,-0.32,1.03,0.12,-0.12,1.40
700,-9.94,-0.43,-1.13,-2.75,-1.46,1.34
710,-9.66,-0.76,0.02,2.69,0.18,1.34
720,-9.66,-0.45,1.63,2.32,0.49,1.34
730,-9.74,-0.60,0.17,-1.28,-0.79,1.22
740,-9.69,-0.44,-1.76,-2.50,-1.59,1.40
750,-10.20,-0.32,-1.23,0.49,-0.61,1.34
760,-9.56,-0.99,0.84,3.23,0.61,1.22
770,-9.92,-0.37,1.44,1.16,0.12,1.28
780,-10.02,-0.38,-1.87,-2.08,-1.59,1.46
790,-9.45,-0.90,-0.62,1.77,-0.18,1.40
800,-10.03,-0.58,1.62,2.87,0.49,1.46
810,-9.99,-0.18,0.88,-0.24,-0.49,1.28
820,-9.77,-0.68,-1.48,-2.56,-1.77,1.16
830,-9.59,-0.56,-1.72,-0.73,-1.04,1.34
840,-9.87,-0.68,0.57,2.93,0.31,1.46
