timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-10.27,-0.12,0.81,0.37,-0.31,1.22
10,-9.84,-0.76,-1.51,-1.04,-1.22,1.34
20,-9.81,-0.88,-0.01,1.89,-0.18,1.28
30,-9.75,-0.51,1.19,1.89,0.18,1.16
40,-9.57,-0.42,0.23,-0.67,-0.73,1.22
50,-9.91,-0.47,-1.24,-1.83,-1.40,1.34
60,-9.68,-0.79,-1.07,0.24,-0.79,1.40
70,-9.71,-0.75,0.69,2.32,0.55,1.34
80,-9.86,-0.20,-0.38,-1.59,-1.28,1.16
90,-9.78,-0.45,-1.40,-1.34,-1.22,1.22
100,-9.85,-0.80,-0.34,1.16,-0.24,1.53
110,-9.69,-0.66,1.00,1.95,0.12,1.34
120,-10.17,-0.34,0.50,-0.31,-0.49,1.28
130,-9.53,-0.53,-1.13,-1.65,-1.22,1.28
140,-9.97,-0.38,-1.15,15.44,0.06,1.28
150,-9.92,-0.45,1.05,1.10,-0.18,1.28
160,-9.30,-0.45,-0.30,-1.10,-1.10,1.16
170,-9.87,-0.34,-1.17,-1.28,-1.34,1.40
180,-9.30,-0.67,-0.50,1.04,-0.37,1.46
190,-9.76,-0.83,0.98,2.08,0.18,1.28
200,-10.09,-0.28,0.50,0.12,-0.43,1.16
210,-9.87,-0.43,-0.85,-0.49,-0.98,1.22
220,-10.06,-0.62,0.21,1.89,-0.06,1.22
230,-9.75,-0.70,0.96,1.46,-0.18,1.10
240,-9.79,-0.56,-0.01,-1.16,-1.16,1.16
250,-9.78,-0.48,-1.27,-1.53,-1.28,1.16
260,-9.79,-0.58,-0.83,0.73,-0.67,1.40
270,-9.73,-0.68,0.76,2.01,0.24,1.28
280,-9.95,-0.09,-0.65,-1.83,-1.28,1.10
290,-9.77,-0.48,-1.35,-0.98,-1.10,1.22
300,-9.60,-0.70,-0.08,1.53,-0.12,1.16
310,-9.61,-0.65,1.19,1.83,0.37,1.22
320,-10.18,-0.31,0.28,-0.73,-0.73,1.28
330,-9.66,-0.64,-1.30,-1.95,-1.53,1.28
340,-9.82,-0.37,-1.18,0.12,14.71,1.22
350,-9.86,-0.49,1.15,1.16,0.00,1.22
360,-9.20,-0.75,-0.35,-1.77,-1.10,1.28
370,-9.99,-0.46,-1.36,-1.77,-1.40,1.46
380,-9.42,-0.53,-0.54,1.04,-0.49,1.22
390,-9.73,-0.77,1.11,2.50,0.31,1.28
400,-10.14,-0.22,0.74,0.00,-0.31,1.28
410,-10.12,-0.29,-0.83,-0.92,-1.16,1.46
420,-9.91,-0.66,0.08,2.01,0.12,1.28
430,-9.58,-0.54,1.25,1.89,0.24,1.16
440,-10.11,-0.29,0.28,-1.10,-0.79,1.22
450,-9.76,-0.83,-1.53,-2.14,-1.22,1.46
460,-10.04,-0.50,-1.12,0.18,-0.73,1.40
470,-9.58,-0.66,0.77,2.56,0.37,1.34
480,-9.93,-0.33,1.25,-1.71,-1.16,1.22
490,-9.95,-0.31,-1.47,-1.77,-1.40,1.40
500,-9.69,-0.75,-0.52,1.34,-0.18,1.40
510,-9.84,-0.68,1.19,2.44,0.49,1.22
520,-10.16,-0.27,0.70,-0.06,-0.43,1.10
530,-9.80,-0.57,-1.07,-2.26,-1.28,1.22
540,-9.65,-0.55,-1.54,-0.73,-0.85,1.28
550,-9.84,-0.35,1.28,1.77,0.00,1.40
560,-9.33,-0.49,-0.04,-1.16,-1.04,1.22
570,-9.84,-0.50,-1.33,-1.71,-1.40,1.34
580,-9.52,-0.56,-0.73,0.61,-0.49,1.22
590,-9.62,-0.88,0.82,2.32,0.37,1.16
600,-10.08,-0.20,0.83,0.55,-0.18,1.10
610,-9.91,-0.31,-0.53,-1.59,-1.16,1.53
620,-9.88,-0.79,-0.26,1.46,-0.24,1.53
630,-9.66,-0.73,0.98,1.95,0.31,1.16
640,-9.94,-0.39,0.46,-0.43,-0.67,1.28
650,-9.82,-0.53,-1.19,-1.83,-1.28,1.34
660,-10.05,-0.39,-1.16,-0.12,-0.73,1.28
670,-9.72,-0.83,0.49,2.08,0.18,1.40
680,-9.91,-0.42,1.09,-1.16,-1.22,1.16
690,-9.80,-0.35,-1.31,-1.22,-1.22,1.22
700,-9.58,-0.82,-0.37,1.10,-0.31,1.34
710,-9.75,-0.85,0.98,1.95,0.18,1.28
720,-10.22,-0.23,0.43,-0.31,-0.55,1.28
730,-9.72,-0.52,-0.96,-1.53,-1.28,1.28
740,-9.61,-0.41,-1.16,-0.31,-0.67,1.22
750,-9.86,-0.88,0.25,1.28,0.06,1.22
760,-9.41,-0.58,-0.10,-1.10,-0.73,1.22
770,-9.97,-0.41,-1.17,-1.46,-1.16,1.34
780,-9.44,-0.62,-0.70,0.73,-0.43,1.28
790,-9.76,-0.75,0.84,1.95,0.24,1.34
800,-10.01,-0.34,0.71,0.12,-0.43,1.34
810,-9.93,-0.27,-0.68,-1.71,-1.22,1.22
820,-9.93,-0.76,0.03,1.77,-0.06,1.46
830,-9.63,-0.67,1.02,1.77,0.12,1.40
840,-10.18,-0.34,0.19,-0.85,-0.79,1.28
850,-9.65,-0.62,-1.32,-1.77,-1.34,1.40
860,-10.04,-0.30,-1.00,0.31,-0.73,1.40
870,-9.60,-0.91,0.65,2.20,0.24,1.28
880,-9.88,-0.45,1.03,0.92,-1.22,1.10
890,-9.97,-0.35,-1.30,-1.16,-1.28,1.28
900,-9.39,-0.83,-0.43,1.46,-0.18,1.34
910,-9.74,-0.76,1.13,2.08,0.37,1.34
920,-10.17,-0.24,0.51,-0.37,-0.43,1.28
930,-10.04,-0.52,-0.96,-1.95,-1.16,1.34
940,-9.38,-0.72,-1.44,-0.31,-0.98,1.53
950,-10.00,-0.69,0.33,1.53,0.24,1.28
960,-9.87,-0.51,-0.01,-1.22,-0.73,1.22
970,-9.72,-0.70,-1.51,-1.77,-1.28,1.28
980,-9.65,-0.59,-0.74,0.73,-0.61,1.40
990,-9.51,-0.76,0.89,2.56,0.31,1.34
