timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.54,-0.51,-0.64,1.46,-0.43,0.85
10,-9.96,-0.43,1.39,2.75,0.43,0.92
20,-9.91,-0.17,0.89,-0.18,-0.49,0.98
30,-9.83,-0.01,-1.17,-2.62,-1.71,0.92
40,-9.98,-0.33,-1.46,-0.79,-1.22,0.92
50,-9.77,-0.51,0.26,2.56,0.24,0.79
60,-9.65,-0.14,0.05,-1.40,-1.10,0.85
70,-9.72,0.03,-1.63,-2.50,-1.40,0.98
80,-10.09,-0.08,-0.97,0.61,-0.43,0.98
90,-9.73,-0.73,0.97,2.75,0.61,0.98
100,-9.85,-0.24,1.24,0.55,-0.18,0.92
110,-9.93,-0.06,-0.80,-2.50,-1.34,0.73
120,-9.79,-0.12,-1.68,2.01,0.06,0.79
130,-9.80,-0.55,1.62,2.32,0.43,0.92
140,-9.66,-0.20,0.43,-0.92,-0.79,0.79
150,-9.76,-0.18,-1.55,-2.62,-1.59,0.79
160,-9.71,-0.36,-1.19,0.00,-0.79,0.67
170,-9.92,-0.49,0.84,2.81,0.43,0.79
180,-9.97,-0.49,1.28,1.28,0.18,0.92
190,-9.65,0.03,-1.62,-1.83,-1.65,0.85
200,-9.54,-0.61,-0.69,1.46,-0.37,0.98
210,-9.93,-0.34,1.42,2.69,0.43,0.98
220,-9.88,-0.17,0.88,-0.31,-0.49,0.92
230,-9.98,0.01,-1.28,-2.75,-1.59,0.73
240,-9.96,-0.34,-1.52,-0.61,-1.04,0.92
250,-9.57,-0.53,0.40,2.56,0.12,0.92
260,-9.49,-0.39,-0.08,-1.83,-1.04,0.85
270,-9.63,-0.02,-1.78,-2.38,-1.71,0.73
280,-10.12,0.07,-0.88,0.79,-0.43,0.85
290,-9.78,-0.79,1.09,2.87,0.55,1.10
300,-9.84,-0.34,1.22,0.49,-0.18,0.98
310,-9.98,-0.09,-0.87,-2.56,-1.59,0.79
320,-9.87,-0.10,-1.74,-1.34,-0.06,0.98
330,-9.99,-0.40,1.73,2.62,0.37,0.85
340,-9.64,-0.05,0.47,-1.10,-0.79,0.92
350,-9.79,-0.22,-1.62,-2.81,-1.89,0.85
360,-9.58,-0.55,-1.33,-0.06,-0.85,0.92
370,-9.87,-0.33,0.95,2.93,0.67,1.04
380,-10.00,-0.36,1.43,1.46,0.24,1.10
390,-9.63,-0.09,-0.34,-2.14,-1.77,0.85
400,-9.78,-0.49,-0.73,1.53,-0.43,0.79
410,-9.87,-0.42,1.41,3.11,0.61,0.85
420,-9.85,-0.26,1.02,-0.24,-0.24,0.98
430,-9.99,0.01,-1.21,-2.87,-1.71,0.85
440,-10.02,-0.29,-1.65,-0.79,-1.22,0.85
450,-9.53,-0.63,0.24,2.75,0.00,0.79
460,-9.60,-0.23,0.10,-1.59,-1.04,0.61
470,-9.66,-0.06,-1.77,-2.75,-1.83,0.92
480,-10.06,-0.09,-1.03,0.55,-0.79,0.98
490,-9.79,-0.70,1.05,3.05,0.43,0.92
500,-9.82,-0.28,1.30,0.79,0.12,0.85
510,-9.85,-0.09,-0.76,-2.56,-1.16,0.79
520,-9.84,-0.13,-1.70,-1.59,-1.22,0.79
530,-9.93,-0.50,1.58,2.69,0.37,0.92
540,-9.65,-0.11,0.55,-0.73,-0.61,0.92
550,-9.79,-0.14,-1.46,-2.75,-1.59,0.79
560,-9.66,-0.47,-1.33,-0.37,-0.92,0.85
570,-9.87,-0.48,0.76,2.62,0.37,0.98
580,-9.90,-0.42,1.35,1.46,0.12,0.98
590,-9.74,0.00,-0.28,-2.01,-1.59,0.73
600,-9.83,-0.54,-0.71,1.22,-0.49,1.04
610,-10.01,-0.37,1.22,2.62,0.31,1.04
620,-9.90,-0.16,1.00,0.00,-0.31,0.79
630,-9.92,0.03,-1.08,-2.62,-1.40,0.73
640,-9.97,-0.23,-1.51,-0.85,-1.10,0.98
650,-9.56,-0.56,0.16,2.38,0.00,0.92
660,-9.68,-0.28,1.56,-1.59,-0.79,0.85
670,-9.77,0.02,-1.63,-2.38,-1.46,0.79
