timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.79,-0.09,-1.01,-2.62,-1.53,0.85
10,-9.98,-0.26,-1.66,-1.10,-1.34,0.92
20,-9.64,-0.52,-0.02,2.38,-0.06,0.85
30,-9.73,-0.25,1.67,-1.04,-0.79,0.92
40,-9.85,-0.05,-1.60,-2.69,-1.46,0.92
50,-10.13,-0.01,-1.29,0.31,-0.73,0.98
60,-9.59,-0.81,0.85,2.81,0.43,1.04
70,-9.90,-0.32,1.45,1.04,0.18,0.85
80,-9.94,0.00,-0.50,-2.38,-1.34,0.73
90,-9.72,-0.08,-1.88,-1.89,-1.53,0.79
100,-9.21,-0.70,1.66,2.75,0.37,0.85
110,-9.85,-0.15,0.68,-0.49,-0.55,0.79
120,-9.77,-0.17,-1.48,-2.69,-1.71,0.79
130,-9.71,-0.37,-1.44,-0.37,-1.22,0.73
140,-10.09,-0.46,0.65,2.75,0.24,1.04
150,-10.03,-0.44,1.33,1.77,0.37,1.04
160,-9.52,-0.08,-0.11,-1.89,-1.04,0.73
170,-9.78,-0.59,-0.93,1.10,-0.37,0.73
180,-9.93,-0.43,1.12,2.93,0.61,0.98
190,-9.90,-0.16,1.17,0.18,-0.18,1.04
200,-9.95,0.01,-0.94,-2.62,-1.40,0.92
210,-9.82,-0.28,-1.70,-1.22,-1.16,0.92
220,-9.50,-0.52,-0.00,2.20,0.18,0.98
230,-9.58,-0.31,1.70,-13.31,-0.92,0.98
240,-9.76,-0.08,-1.68,-2.75,-1.65,0.79
250,-10.05,0.05,-1.15,0.37,-0.85,0.98
260,-9.70,-0.82,0.87,2.93,0.31,0.92
270,-9.87,-0.37,1.29,1.16,0.12,0.79
280,-9.74,-0.04,-0.55,-2.14,-1.46,0.79
290,-9.76,-0.03,-1.70,-1.95,-1.46,0.85
300,-9.28,-0.42,-0.47,2.87,0.43,1.04
310,-9.80,-0.07,0.70,-0.43,-0.43,0.92
320,-9.89,-0.09,-1.35,-2.62,-1.65,0.85
330,-9.63,-0.48,-1.56,-0.43,-0.98,1.04
340,-9.97,-0.29,0.69,2.75,0.24,1.04
350,-9.92,-0.34,1.46,1.65,0.37,1.04
360,-9.52,-0.20,-0.14,-1.89,-1.16,0.85
370,-9.62,-0.43,-0.84,1.10,-0.55,0.92
380,-9.67,-0.49,1.17,3.17,0.37,0.79
390,-9.93,-0.24,1.16,0.43,-0.37,0.92
400,-9.89,-0.00,-0.99,-2.69,-1.65,0.85
410,-9.86,-0.22,-1.65,-1.34,-1.40,0.85
420,-9.41,-0.60,-0.05,2.44,0.18,0.92
430,-9.63,-0.30,1.68,2.50,0.37,0.85
440,-9.89,-0.07,-1.59,-2.69,-1.46,0.98
450,-9.96,-0.01,-1.31,0.12,-0.79,1.04
460,-9.85,-0.69,0.92,2.93,0.49,0.85
470,-9.90,-0.30,1.40,1.16,0.18,0.73
480,-9.79,-0.15,-0.52,-2.44,-1.34,0.85
490,-9.74,-0.09,-1.85,-1.89,-1.53,0.85
500,-9.29,-0.37,-0.48,2.81,0.49,0.92
510,-9.70,-0.16,0.72,-0.55,-0.31,0.79
520,-9.77,-0.10,-1.39,-2.81,-1.40,0.98
530,-9.65,-0.44,-1.46,-0.61,-0.85,0.85
540,-9.89,-0.43,0.56,2.62,0.18,0.98
550,-9.99,-0.36,1.42,1.95,0.31,1.04
560,-9.66,-0.06,-0.11,-1.77,-1.04,0.79
570,-9.63,-0.11,-1.69,0.92,-0.49,0.98
580,-9.97,-0.44,1.07,2.69,0.67,0.98
590,-9.92,-0.15,1.19,0.31,-0.12,0.92
600,-9.86,-0.07,-0.90,-2.50,-1.53,0.85
610,-10.00,-0.22,-1.64,-1.34,-1.34,0.98
620,-9.55,-0.46,-0.15,2.20,0.00,0.98
630,-9.67,-0.33,1.66,2.44,0.49,0.92
640,-9.56,-0.03,-1.57,-2.56,-1.65,0.92
650,-10.08,0.01,-1.25,0.31,-0.98,0.85
660,-9.64,-0.82,0.84,2.99,0.31,0.85
670,-9.89,-0.40,1.38,1.10,0.00,0.98
680,-9.95,-0.02,-0.54,-2.26,-1.34,0.67
690,-9.65,-0.03,-1.74,-1.71,-1.53,0.85
700,-9.17,-0.40,-0.42,1.59,15.50,0.92
710,-9.83,-0.10,0.66,-0.43,-0.55,0.85
720,-9.80,-0.20,-1.34,-2.69,-1.46,0.73
730,-9.71,-0.44,-1.43,-0.43,-1.16,0.92
740,-9.97,-0.35,0.54,2.69,0.18,0.92
750,-9.99,-0.39,1.33,1.83,0.55,0.98
760,-9.50,-0.17,-0.09,-1.71,-1.04,0.73
770,-9.60,-0.12,-1.64,1.04,-0.55,0.98
780,-9.74,-0.50,1.06,2.81,0.37,0.98
790,-9.85,-0.22,1.20,0.37,-0.18,0.79
800,-9.93,-0.01,-0.92,-2.62,-1.34,0.98
810,-9.83,-0.20,-1.72,-1.22,-1.34,0.92
820,-9.34,-0.53,-0.06,2.26,-0.06,1.04
830,-9.61,-0.38,1.73,2.20,0.31,0.98
840,-9.80,-0.20,0.27,-2.75,-1.59,0.85
850,-9.83,-0.03,-1.20,0.18,-0.79,0.98
860,-9.81,-0.69,0.89,2.93,0.18,0.98
870,-9.89,-0.39,1.29,1.10,0.12,0.92
880,-9.65,-0.13,-0.48,-2.26,-1.34,0.79
890,-9.72,-0.07,-1.75,-2.08,-1.53,0.85
900,-9.42,-0.40,-0.51,1.59,-0.43,0.92
910,-10.05,-0.12,0.80,-0.43,-0.31,0.92
920,-9.91,-0.11,-1.32,-2.93,-1.71,0.73
930,-9.71,-0.44,-1.59,-0.61,-1.22,0.92
940,-9.67,-0.37,0.53,2.62,0.24,0.92
950,-9.89,-0.27,1.60,1.89,0.31,1.04
960,-9.56,-0.20,-0.08,-1.89,-1.16,0.92
970,-9.63,-0.14,-1.84,-2.62,-1.95,0.92
980,-9.53,-0.66,1.15,3.05,0.43,0.98
990,-9.89,-0.24,1.26,0.43,-0.12,0.85
