timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.59,-0.71,1.25,3.17,0.67,0.92
10,-9.99,-0.27,1.28,0.61,0.06,0.73
20,-9.91,-0.08,-1.02,-2.81,-1.53,0.85
30,-9.96,-0.27,-1.79,-1.53,-1.22,0.85
40,-9.74,-0.54,-0.08,2.26,-0.06,0.85
50,-9.80,-0.37,1.76,-1.10,-0.67,0.73
60,-9.74,-0.05,-1.62,-2.69,-1.65,0.85
70,-10.01,-0.13,-1.40,0.06,-0.79,0.92
80,-9.87,-0.68,0.79,2.93,0.43,1.04
90,-9.82,-0.29,1.47,1.46,0.00,0.85
100,-9.76,-0.09,-0.40,-2.01,-1.28,0.79
110,-9.71,-0.15,-1.89,-1.77,-1.59,0.98
120,-9.85,-0.46,1.54,2.75,0.55,1.04
130,-9.69,-0.18,0.85,-0.31,-0.24,0.73
140,-9.80,-0.10,-1.34,-2.50,-1.59,0.73
150,-9.75,-0.31,-1.55,-0.61,-1.10,0.85
160,-9.80,-0.51,0.46,2.44,0.37,0.92
170,-10.00,-0.43,1.38,1.71,0.49,0.92
180,-9.63,0.01,-0.05,-1.59,-1.46,0.85
190,-9.55,-0.50,-0.93,0.98,-0.37,0.79
200,-9.70,-0.59,1.13,2.81,0.49,0.85
210,-9.99,-0.28,1.10,0.49,-0.12,0.92
220,-9.90,-0.00,-0.92,-2.44,-1.59,0.79
230,-9.93,-0.25,-1.57,-1.04,-1.22,0.73
240,-9.73,-0.48,-0.04,2.08,0.00,0.85
250,-9.68,-0.47,1.55,-0.98,-0.92,0.61
260,-9.65,-0.02,-1.52,-2.32,-1.59,0.61
270,-9.99,-0.05,-1.15,0.49,-0.61,0.85
280,-10.02,-0.61,0.81,2.93,0.49,0.98
290,-9.83,-0.34,1.24,0.92,0.00,0.98
300,-9.84,-0.04,-0.47,-2.26,-1.28,0.79
310,-9.81,-0.08,-1.73,-1.71,-1.28,0.79
320,-9.24,-0.37,1.38,2.69,0.79,0.85
330,-9.79,-0.20,0.71,-0.55,-0.49,0.67
340,-9.84,-0.17,-1.44,-2.56,-1.71,0.61
350,-9.77,-0.36,-1.52,-0.37,-1.16,0.67
360,-9.58,-0.43,0.64,2.69,0.18,0.79
370,-9.86,-0.36,1.55,1.65,0.37,0.92
380,-9.59,-0.30,-0.23,-1.89,-1.10,0.79
390,-9.88,-0.27,-0.84,1.16,-0.43,0.85
400,-9.51,-0.74,1.24,2.99,0.79,0.79
410,-9.92,-0.27,1.18,0.24,0.00,0.85
420,-10.14,-0.08,-1.13,-2.62,-1.46,0.85
430,-9.98,-0.28,-1.77,-1.22,-1.22,0.92
440,-9.58,-0.50,-0.00,2.56,0.18,0.98
450,-9.83,-0.33,1.79,2.69,-0.79,0.73
460,-9.71,-0.15,-1.75,-2.87,-1.71,0.85
470,-9.90,-0.11,-1.33,0.37,-0.85,0.98
480,-10.12,-0.43,0.99,3.30,0.61,0.98
490,-9.99,-0.27,1.46,1.22,0.24,0.92
500,-9.68,-0.13,-0.40,-2.50,-1.40,0.85
510,-9.76,-0.11,-2.05,-2.14,-1.59,0.92
520,-9.33,-0.43,-0.64,3.05,0.79,0.98
530,-9.81,-0.17,0.96,-0.37,-0.37,0.79
540,-9.93,-0.11,-1.49,-2.87,-1.71,0.85
550,-9.82,-0.36,-1.75,-0.73,-1.10,0.85
560,-9.45,-0.55,0.49,2.75,0.37,0.73
570,-9.79,-0.32,1.78,1.89,0.43,0.92
580,-9.64,-0.14,-0.11,-1.71,-0.98,0.73
590,-9.60,-0.01,-1.22,0.92,-0.61,0.92
600,-9.69,-0.69,1.21,3.23,0.61,1.04
610,-9.99,-0.24,1.30,0.79,0.00,0.79
620,-9.89,-0.07,-0.93,-2.69,-1.46,0.79
630,-9.91,-0.25,-1.78,-1.46,-1.59,0.92
640,-9.73,-0.51,-0.17,2.14,0.00,0.92
650,-9.75,-0.39,1.68,2.56,0.61,0.92
660,-9.76,-0.02,-1.54,-2.69,-1.65,0.85
670,-10.00,-0.14,-1.40,0.18,-0.85,0.92
680,-9.86,-0.71,0.70,2.99,0.37,0.92
690,-9.80,-0.27,1.44,1.53,0.12,0.85
700,-9.77,-0.09,-0.36,-1.95,-1.04,0.79
710,-9.66,-0.10,-1.82,-1.89,-1.53,0.79
720,-9.28,-0.46,-0.61,1.34,0.49,0.92
730,-9.72,-0.17,0.85,-0.06,-0.37,0.73
740,-9.83,-0.08,-1.27,-2.38,-1.71,0.79
750,-9.77,-0.24,-1.52,-0.55,-1.10,0.85
760,-9.66,-0.54,0.41,2.50,0.24,0.98
770,-9.98,-0.41,1.39,1.77,0.37,0.92
780,-9.65,-0.05,-0.06,-1.65,-1.04,0.67
790,-9.70,-0.02,-1.61,0.92,-0.43,0.79
800,-9.55,-0.70,1.10,2.81,0.24,0.79
810,-9.94,-0.28,1.10,0.43,-0.31,0.73
820,-10.00,-0.04,-0.97,-2.38,-1.40,0.79
830,-9.94,-0.24,-1.60,-1.10,-1.16,0.73
840,-9.67,-0.48,-0.03,2.14,0.00,0.73
850,-9.78,-0.44,1.60,2.14,0.49,0.85
860,-9.59,-0.27,-1.58,-2.56,-1.71,0.85
870,-9.87,-0.03,-1.16,0.49,-0.85,1.04
880,-10.05,-0.54,0.88,2.87,0.31,0.92
890,-9.95,-0.35,1.25,1.04,0.06,0.67
900,-9.78,-0.08,-0.47,-2.08,-1.22,0.61
910,-9.82,-0.04,-1.81,-1.65,-1.59,0.85
920,-9.26,-0.40,-0.51,1.83,-0.18,0.92
930,-9.86,-0.23,0.80,-0.49,-0.49,0.85
940,-9.88,-0.19,-1.51,-2.81,-1.71,0.85
950,-9.83,-0.36,-1.60,-0.43,-0.98,0.85
960,-9.49,-0.46,0.64,2.75,0.31,0.79
970,-9.80,-0.32,1.69,1.89,0.43,0.92
980,-9.56,-0.27,-0.23,-1.95,-1.22,0.98
990,-9.52,-0.07,-1.89,13.18,-0.37,1.10
