timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.71,-0.31,1.62,-1.46,-0.98,0.79
10,-9.74,-0.14,-1.72,-2.50,-1.77,0.85
20,-10.15,-0.12,-1.14,0.73,-0.73,0.98
30,-9.79,-0.56,1.02,3.11,0.49,0.98
40,-9.99,-0.08,1.38,0.73,-0.12,0.79
50,-9.89,-0.00,-0.70,-2.62,-1.65,0.67
60,-9.81,-0.18,-1.92,-1.71,-1.53,0.79
70,-9.56,-0.50,-0.29,2.56,0.49,0.85
80,-9.94,-0.13,0.62,-0.85,-0.61,0.79
90,-9.71,-0.22,-1.69,-2.87,-1.59,0.67
100,-9.76,-0.09,-1.43,-0.31,-1.10,0.73
110,-9.70,-0.76,0.74,2.93,0.24,0.79
120,-9.97,-0.31,1.46,1.53,0.49,0.73
130,-9.36,-0.14,-0.31,-1.95,-1.04,0.79
140,-9.90,-0.44,-0.79,1.34,-0.55,0.85
150,-9.80,-0.70,1.37,2.99,0.55,0.92
160,-9.99,0.04,0.91,0.00,-0.18,0.67
170,-9.86,-0.12,-1.07,-2.62,-1.46,0.73
180,-9.84,-0.42,-1.67,-1.04,-1.28,0.98
190,-9.79,-0.41,0.25,2.32,0.00,0.98
200,-9.63,-0.39,1.56,2.08,-15.20,0.73
210,-9.61,-0.11,-1.66,-2.56,-1.65,0.67
220,-10.04,-0.06,-1.11,0.43,-0.85,0.92
230,-9.73,-0.68,0.95,2.93,0.43,0.85
240,-10.03,-0.13,1.28,0.67,-0.06,0.73
250,-9.92,0.11,-0.69,-2.50,-1.40,0.67
260,-9.75,-0.10,-1.73,-1.46,-1.34,0.73
270,-9.45,-0.56,-0.31,2.69,0.55,0.79
280,-9.98,-0.02,0.47,-0.61,-0.61,0.73
290,-9.84,-0.14,-1.54,-2.44,-1.53,0.67
300,-9.73,-0.13,-1.34,-0.06,-1.16,0.85
310,-9.88,-0.67,0.73,2.81,0.43,0.85
320,-9.97,-0.41,1.35,1.40,0.24,0.85
330,-9.20,-0.35,-0.33,-2.08,-1.16,0.79
340,-9.87,0.02,-1.68,1.53,-0.49,0.85
350,-9.81,-0.63,1.34,2.99,0.43,0.98
360,-9.94,-0.06,0.91,-0.18,-0.49,0.85
370,-9.88,-0.11,-1.14,-2.75,-1.59,0.92
380,-9.75,-0.34,-1.63,-0.92,-1.10,0.85
390,-9.65,-0.49,0.29,2.38,0.18,0.85
400,-9.62,-0.35,1.61,2.01,0.49,0.92
410,-9.80,-0.21,-1.73,-2.56,-1.53,0.79
420,-10.10,0.11,-1.10,0.49,-0.67,0.98
430,-9.76,-0.62,1.07,2.99,0.49,0.92
440,-10.06,-0.21,1.31,0.67,-0.12,0.79
450,-9.70,-0.07,-0.75,-2.62,-1.53,0.67
460,-9.94,-0.05,-1.80,-1.65,-1.46,0.79
470,-9.52,-0.47,-0.33,2.14,0.61,0.85
480,-9.93,-0.07,0.57,-0.92,-0.49,0.61
490,-9.90,-0.21,-1.66,-2.81,-1.59,0.85
500,-9.69,-0.25,-1.52,-0.24,-0.98,0.79
510,-9.76,-0.64,0.81,2.87,0.31,0.79
520,-9.90,-0.30,1.50,1.53,0.31,0.98
530,-9.33,-0.27,-0.34,-2.08,-1.16,0.92
540,-9.76,-0.09,-1.85,1.28,-0.49,0.92
550,-9.71,-0.66,1.40,3.05,0.43,0.92
560,-10.12,-0.03,1.02,-0.18,-0.12,0.67
570,-9.86,-0.08,-1.15,-2.87,-1.40,0.92
580,-9.79,-0.39,-1.71,-1.04,-1.28,0.85
590,-9.78,-0.50,0.18,2.62,0.12,0.85
600,-9.66,-0.32,1.64,2.44,0.55,0.92
610,-9.56,-0.19,-1.64,-2.62,-1.83,0.73
620,-10.15,-0.09,-1.26,0.43,-0.79,0.85
630,-9.81,-0.59,0.92,2.81,0.61,0.98
640,-9.97,-0.07,1.43,0.92,0.12,1.04
650,-9.81,0.00,-0.55,-2.38,-1.34,0.85
660,-9.77,-0.19,-1.94,-1.83,-1.59,0.79
670,-9.52,-0.53,-0.41,1.77,-0.31,1.04
680,-9.96,-0.02,0.70,-0.55,-0.49,0.85
690,-9.71,-0.24,-1.56,-2.62,-1.53,0.92
700,-9.70,-0.26,-1.46,-0.37,-0.92,0.92
710,-9.75,-0.72,0.62,2.69,0.24,0.85
720,-9.90,-0.37,1.41,1.65,0.24,0.98
730,-9.23,-0.23,-0.20,-1.89,-1.10,0.85
740,-9.90,-0.02,-1.64,-2.26,-0.49,0.92
750,-9.75,-0.68,1.26,2.93,0.31,0.85
760,-9.99,-0.02,0.99,0.12,-0.12,0.85
770,-9.93,-0.06,-0.97,-2.32,-1.34,0.92
780,-9.83,-0.35,-1.70,-0.92,-1.22,0.98
790,-9.82,-0.45,0.17,2.20,0.00,0.98
800,-9.59,-0.37,1.57,2.14,0.24,1.04
810,-9.76,-0.18,0.19,-2.38,-1.53,0.67
820,-10.08,0.04,-1.12,0.37,-0.73,0.85
830,-9.77,-0.76,0.92,2.75,0.43,1.04
840,-10.02,-0.22,1.28,0.79,0.00,0.92
850,-9.77,0.08,-0.65,-2.26,-1.40,0.79
860,-9.72,-0.09,-1.66,-1.46,-1.28,0.73
870,-9.40,-0.49,-0.32,1.95,-0.06,0.85
880,-9.71,-0.66,0.60,-0.85,-0.49,0.92
890,-9.88,-0.16,-1.43,-2.44,-1.34,0.92
900,-9.64,-0.44,-1.45,-0.06,-0.92,0.79
910,-9.90,-0.52,0.66,2.75,0.43,0.85
920,-9.84,-0.38,1.40,1.59,0.31,0.98
930,-9.28,-0.39,-0.27,-2.01,-1.28,0.79
940,-9.71,-0.11,-1.73,-2.08,-1.65,0.98
950,-9.57,-0.60,1.33,2.87,0.67,0.98
960,-9.95,-0.15,1.02,0.00,-0.43,0.92
970,-9.93,0.01,-1.08,-2.56,-1.65,0.79
980,-9.78,-0.34,-1.69,-0.85,-1.04,0.98
990,-9.65,-0.51,0.19,2.32,0.18,0.92
