timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.53,-0.20,0.63,-0.73,-0.49,0.85
10,-9.67,-0.14,-1.40,-2.62,-1.77,0.98
20,-9.82,-0.24,-1.35,2.87,0.31,0.79
30,-10.03,-0.46,1.41,1.53,0.00,0.98
40,-9.78,0.04,-0.18,-1.95,-1.22,0.79
50,-9.87,-0.09,-1.72,-2.08,-1.65,0.92
60,-9.67,-0.48,-0.87,1.16,-0.67,0.98
70,-9.47,-0.46,1.34,2.93,0.12,1.04
80,-9.83,-0.25,1.02,0.37,-0.37,0.98
90,-9.80,-0.08,-1.12,-1.10,-1.10,0.98
100,-9.73,-0.49,0.18,2.44,0.06,1.16
110,-9.65,-0.40,1.60,2.32,0.49,1.10
120,-9.66,-0.20,0.17,-1.28,-0.92,0.85
130,-9.58,0.01,-1.53,-2.56,-1.53,0.92
140,-9.81,-0.12,-1.11,0.31,-0.79,1.10
150,-10.07,-0.60,0.89,2.81,0.31,1.16
160,-9.96,-0.04,-0.58,-2.38,-1.28,0.92
170,-9.90,-0.18,-1.72,-1.71,-1.46,1.04
180,-9.37,-0.50,-0.38,1.83,-0.18,0.92
190,-10.01,-0.42,1.49,2.50,0.55,0.92
200,-9.46,-0.22,0.64,-0.55,-0.43,0.79
210,-9.75,-0.04,-1.35,-2.62,-1.46,0.85
220,-9.77,-0.13,-1.38,-0.12,14.83,1.04
230,-10.02,-0.46,1.43,1.46,0.31,0.98
240,-9.78,-0.01,-0.15,-2.01,-1.28,0.85
250,-9.82,-0.06,-1.76,-2.26,-1.65,0.92
260,-9.69,-0.34,-0.75,1.16,-0.49,1.10
270,-9.66,-0.52,1.35,2.93,0.31,1.16
280,-9.94,-0.28,0.99,0.31,-0.24,0.98
290,-9.77,-0.10,-1.13,-0.98,-1.34,0.85
300,-9.80,-0.46,0.20,2.26,-0.06,0.98
310,-9.67,-0.42,1.58,2.26,0.43,0.98
320,-9.64,-0.13,0.11,-1.16,-0.73,0.85
330,-9.58,-0.01,-1.52,-2.50,-1.34,0.92
340,-9.79,-0.28,-1.04,0.55,-0.67,1.04
350,-9.79,-0.70,0.83,2.87,0.37,1.10
360,-9.87,-0.28,1.28,-2.44,-1.40,0.85
370,-9.76,-0.21,-1.68,-1.65,-1.46,1.04
