timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.60,4.87,0.08,-0.09,0.06,-1.11
9,0.50,3.17,-2.45,-0.05,0.07,-1.08
18,-1.61,4.16,-1.34,-0.07,0.05,-1.10
27,-0.56,4.00,-1.23,-0.10,0.01,-1.11
36,0.35,3.45,-1.37,-0.07,0.03,-1.09
45,-1.70,4.23,0.40,-0.07,0.07,-1.09
54,-0.81,4.38,-2.14,-0.08,0.07,-1.12
63,0.32,4.25,-2.85,-0.08,0.01,-1.09
72,-1.67,4.47,-0.00,-0.09,0.01,-1.11
81,-0.79,4.38,-0.72,-0.08,0.07,-1.11
90,-0.21,3.80,-2.15,-0.05,0.06,-1.08
99,-1.40,4.12,-1.45,-0.08,0.04,-1.10
108,-0.09,3.56,-1.71,-0.10,-0.00,-1.10
117,-0.52,3.77,-0.89,-0.07,0.03,-1.09
126,-1.74,4.33,-0.16,-0.07,0.08,-1.10
135,-0.47,4.00,-2.52,-0.07,0.06,-1.11
144,-0.16,4.05,-2.33,-0.08,0.01,-1.09
153,-1.42,4.78,-0.28,-0.09,0.01,-1.11
162,-1.05,4.52,-0.71,-0.07,0.06,-1.10
171,-0.87,4.29,-1.49,-0.06,0.07,-1.10
180,-0.47,3.61,-2.10,-0.08,0.04,-1.10
189,-0.42,3.64,-1.40,-0.09,-0.00,-1.10
198,-1.26,4.46,-0.13,-0.08,0.05,-1.11
207,-0.68,3.73,-0.96,-0.07,0.07,-1.10
216,-0.78,4.03,-1.99,-0.07,0.06,-1.09
225,-0.96,4.50,-1.89,-0.09,0.01,-1.11
234,-0.91,4.71,-0.94,-0.08,0.02,-1.08
243,-1.07,4.28,-0.31,-0.07,0.06,-1.11
252,-0.93,4.47,-1.46,-0.07,0.07,-1.10
261,-0.03,3.68,-2.77,-0.08,0.02,-1.10
270,-1.16,3.84,-0.92,-0.09,0.01,-1.10
279,-1.23,4.52,-0.10,-0.08,0.05,-1.12
288,0.14,3.21,-1.67,-0.06,0.07,-1.08
297,-1.39,4.48,-1.58,-0.08,0.05,-1.09
306,-1.17,5.11,-1.80,-0.09,0.01,-1.11
315,-0.26,4.24,-1.26,-0.07,0.02,-1.09
324,-1.45,4.03,0.35,-0.07,0.07,-1.09
333,-0.41,3.95,-1.84,-0.07,0.07,-1.09
342,0.15,3.84,-2.72,-0.07,0.02,-1.09
351,-1.52,3.60,0.01,-0.10,0.01,-1.10
360,-0.70,4.16,-0.34,-0.08,0.05,-1.10
369,0.33,3.15,-2.05,-0.05,0.06,-1.08
378,-2.08,5.03,-1.10,-0.08,0.06,-1.12
387,-0.23,4.71,-2.17,-0.09,0.01,-1.10
396,0.16,3.73,-1.47,-0.07,0.02,-1.09
405,-1.92,4.16,0.61,-0.08,0.07,-1.09
414,-0.16,4.15,-2.70,-0.07,0.08,-1.10
423,0.26,3.95,-2.64,-0.07,0.01,-1.08
432,-1.60,3.71,0.34,-0.10,0.01,-1.11
441,0.09,3.71,-1.09,-0.08,0.05,-1.09
450,-0.38,3.82,-1.82,-0.05,0.07,-1.08
459,-1.92,4.26,-1.09,-0.09,0.05,-1.10
468,0.53,3.90,-2.21,-0.09,-0.00,-1.10
477,-0.50,4.25,-0.83,-0.07,0.02,-1.10
486,-1.95,4.74,0.75,-0.08,0.07,-1.12
495,-0.01,4.17,-3.05,-0.06,0.07,-1.10
504,0.06,3.68,-2.33,-0.08,-0.00,-1.08
513,-1.76,4.10,0.57,-0.10,0.02,-1.10
522,0.37,3.53,-1.34,-0.07,0.05,-1.09
