timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.26,3.47,-2.08,-0.08,0.02,-1.10
9,-1.16,4.33,-0.13,-0.07,0.06,-1.09
18,-2.56,6.41,-0.86,-0.07,0.10,-1.12
27,0.79,3.70,-2.98,-0.08,-0.00,-1.10
36,-1.06,3.71,-0.89,-0.08,-0.01,-1.09
45,-1.26,4.00,-0.12,-0.08,0.05,-1.11
54,-0.13,4.14,-1.60,-0.06,0.06,-1.08
63,-0.89,3.53,-0.89,-0.08,0.03,-1.10
72,-0.65,4.24,-2.12,-0.10,0.01,-1.11
81,-0.92,3.93,-1.46,-0.07,0.04,-1.10
90,-2.56,5.24,-0.15,-0.07,0.06,-1.09
99,0.80,3.76,-2.62,-0.07,0.08,-1.11
108,-0.69,4.61,-2.44,-0.07,0.00,-1.07
117,-2.13,4.82,-0.20,-0.09,0.02,-1.11
126,0.11,3.06,-1.47,-0.07,0.06,-1.10
135,-0.08,2.58,-1.69,-0.05,0.10,-1.08
144,-1.68,4.30,-0.93,-0.09,0.03,-1.10
153,-0.14,4.50,-2.23,-0.10,0.01,-1.12
162,-1.27,5.17,-0.13,-0.06,0.03,-1.10
171,-1.81,4.65,-0.06,-0.07,0.10,-1.12
180,1.06,3.46,-2.87,-0.07,0.04,-1.09
189,-1.09,4.33,-2.36,-0.07,0.02,-1.10
198,-1.40,3.98,0.80,-0.10,0.03,-1.12
207,0.44,2.59,-1.53,-0.07,0.05,-1.09
216,-0.53,2.38,-1.18,-0.06,0.08,-1.09
225,-1.86,5.07,-2.09,-0.09,0.06,-1.11
234,1.08,3.77,-2.96,-0.09,0.02,-1.10
243,-2.01,5.80,0.72,-0.08,0.00,-1.09
252,-0.76,4.36,-0.95,-0.07,0.09,-1.10
261,-0.03,4.44,-3.37,-0.06,0.05,-1.09
270,-1.34,3.68,-0.96,-0.08,0.02,-1.11
279,0.26,3.02,-0.55,-0.10,-0.01,-1.10
288,0.08,3.36,-1.04,-0.06,0.06,-1.09
297,-2.43,5.12,0.00,-0.07,0.07,-1.09
306,-0.15,4.14,-2.82,-0.08,0.05,-1.12
315,0.91,3.49,-2.49,-0.08,-0.02,-1.09
324,-2.02,5.43,0.77,-0.09,0.04,-1.10
333,-0.26,4.31,-1.43,-0.07,0.07,-1.08
342,-0.58,3.82,-2.35,-0.06,0.07,-1.09
351,-1.29,3.67,-0.92,-0.09,0.01,-1.10
360,-0.38,3.50,-1.44,-0.09,0.01,-1.10
369,-1.28,4.57,-0.56,-0.06,0.07,-1.10
378,-2.14,5.24,-0.86,-0.08,0.09,-1.11
387,0.13,4.44,-3.21,-0.08,0.03,-1.11
396,-1.29,4.30,-1.44,-0.08,-0.03,-1.08
405,-2.07,4.70,0.16,-0.08,0.06,-1.10
414,-0.38,4.75,-1.85,-0.06,0.07,-1.10
423,-0.03,3.21,-1.43,-0.07,0.03,-1.10
432,-1.35,4.18,-1.35,-0.10,0.01,-1.10
441,-0.43,3.79,-1.80,-0.07,0.03,-1.11
450,-1.69,5.11,-0.10,-0.06,0.06,-1.09
459,-0.11,3.59,-1.59,-0.08,0.08,-1.11
468,-0.82,5.30,-2.41,-0.08,0.02,-1.09
477,-2.02,4.66,-0.67,-0.09,0.02,-1.12
486,-1.25,4.10,-0.43,-0.07,0.06,-1.10
495,-0.53,4.01,-1.55,-0.05,0.09,-1.09
504,-0.52,3.55,-1.32,-0.08,0.03,-1.10
513,-0.90,4.21,-1.99,-0.10,0.00,-1.12
522,-1.34,4.48,-0.83,-0.07,0.04,-1.09
531,-1.75,4.56,-0.46,-0.07,0.09,-1.10
540,0.63,3.02,-2.33,-0.07,0.04,-1.08
549,-1.15,4.87,-2.37,-0.08,0.02,-1.09
558,-1.64,4.71,-0.40,-0.09,0.03,-1.12
567,-0.36,3.44,-1.09,-0.07,0.04,-1.09
576,0.21,2.21,-1.58,-0.06,0.08,-1.08
585,-1.47,4.88,-2.09,-0.09,0.06,-1.10
594,0.07,4.27,-2.04,-0.08,0.00,-1.10
603,-1.56,4.97,0.43,-0.08,0.01,-1.10
612,-1.10,4.15,-0.63,-0.07,0.09,-1.09
621,0.17,4.10,-2.82,-0.05,0.06,-1.07
630,-0.88,3.56,-1.54,-0.08,0.02,-1.12
639,-1.20,4.34,0.24,-0.10,0.02,-1.11
648,-0.10,3.42,-1.19,-0.06,0.06,-1.09
657,-0.61,2.64,-0.92,-0.06,0.06,-1.09
666,-1.26,4.87,-2.43,-0.08,0.06,-1.11
675,0.67,4.03,-2.69,-0.08,0.01,-1.09
684,-2.05,5.58,1.02,-0.09,0.02,-1.10
693,-0.25,3.55,-1.10,-0.07,0.08,-1.11
702,-0.13,4.41,-3.43,-0.06,0.07,-1.09
711,-1.22,3.32,-0.83,-0.09,0.01,-1.11
720,0.27,3.18,-0.73,-0.10,-0.01,-1.11
729,0.10,3.44,-0.81,-0.06,0.07,-1.09
738,-2.33,5.51,0.01,-0.08,0.08,-1.10
747,-0.11,4.03,-2.89,-0.08,0.04,-1.10
756,0.36,3.78,-2.15,-0.08,-0.04,-1.07
765,-1.94,5.51,0.75,-0.09,0.06,-1.11
774,0.28,4.11,-1.40,-0.07,0.05,-1.08
783,-0.38,3.20,-2.20,-0.06,0.06,-1.08
792,-1.43,3.66,-0.79,-0.10,0.01,-1.11
801,-0.29,3.35,-1.47,-0.08,0.03,-1.10
810,-1.23,4.50,0.05,-0.07,0.05,-1.09
819,-2.42,6.14,-0.74,-0.08,0.09,-1.11
828,0.79,4.31,-3.45,-0.07,0.01,-1.11
837,-1.64,4.39,-1.12,-0.08,0.00,-1.09
846,-2.20,4.81,0.20,-0.09,0.06,-1.11
855,-0.07,4.13,-2.02,-0.05,0.08,-1.08
864,-1.57,3.96,-0.98,-0.08,0.04,-1.10
873,-0.80,4.23,-1.68,-0.10,0.01,-1.11
882,-0.24,3.92,-1.21,-0.07,0.04,-1.10
891,-1.82,4.39,0.24,-0.07,0.07,-1.10
900,-0.15,4.55,-2.47,-0.07,0.06,-1.10
909,-0.12,4.28,-2.81,-0.07,0.01,-1.09
918,-2.06,4.76,0.42,-0.09,0.03,-1.12
927,0.10,2.80,-1.21,-0.08,0.04,-1.09
936,0.00,2.58,-1.94,-0.05,0.08,-1.09
945,-1.74,4.50,-1.54,-0.08,0.05,-1.10
954,0.43,4.01,-2.28,-0.09,0.01,-1.10
963,-0.80,4.40,-0.04,-0.07,0.01,-1.09
972,-1.21,4.03,-0.18,-0.07,0.09,-1.11
981,-0.15,4.70,-3.16,-0.06,0.07,-1.09
990,-0.33,3.74,-1.68,-0.08,0.02,-1.10
999,-0.72,4.05,0.13,-0.10,0.03,-1.11
1008,0.41,2.77,-1.00,-0.07,0.05,-1.10
1017,-1.03,3.62,-0.88,-0.06,0.07,-1.08
1026,-1.19,4.32,-2.18,-0.08,0.06,-1.10
1035,0.68,3.45,-2.22,-0.08,0.02,-1.09
1044,-1.14,4.47,0.17,-0.08,0.02,-1.11
1053,-0.80,4.35,-0.92,-0.07,0.07,-1.10
1062,-0.61,4.28,-2.73,-0.06,0.07,-1.07
1071,-0.81,3.87,-1.49,-0.09,0.01,-1.11
1080,-0.14,3.48,-0.85,-0.10,-0.01,-1.09
1089,-0.47,3.75,-0.63,-0.06,0.06,-1.11
1098,-2.35,6.09,-0.89,-0.07,0.07,-1.10
1107,0.26,3.52,-2.72,-0.08,0.03,-1.10
1116,-0.39,3.71,-1.60,-0.08,-0.01,-1.09
1125,-0.99,4.27,0.03,-0.09,0.05,-1.11
1134,-0.45,4.39,-1.23,-0.07,0.06,-1.09
1143,-0.91,3.34,-1.38,-0.07,0.06,-1.09
1152,-1.12,4.26,-1.65,-0.09,0.01,-1.11
1161,-0.17,3.45,-1.19,-0.09,0.01,-1.09
1170,-1.12,4.55,-0.05,-0.07,0.06,-1.09
1179,-1.96,5.95,-1.28,-0.07,0.09,-1.12
1188,0.48,4.04,-2.86,-0.08,0.02,-1.10
1197,-1.62,3.96,-0.86,-0.09,-0.01,-1.09
1206,-1.31,3.80,-0.32,-0.08,0.06,-1.11
1215,-0.84,4.78,-1.63,-0.07,0.06,-1.08
1224,-0.55,2.99,-1.12,-0.08,0.04,-1.10
1233,-1.12,4.36,-1.90,-0.09,0.01,-1.10
1242,-0.61,3.85,-2.32,-0.06,0.05,-1.09
1251,-2.23,5.33,0.04,-0.07,0.05,-1.09
1260,-0.43,4.21,-2.10,-0.08,0.08,-1.11
1269,-0.26,4.89,-2.59,-0.08,0.00,-1.08
1278,-1.92,4.97,-0.77,-0.08,0.03,-1.11
1287,-0.29,2.85,-1.00,-0.08,0.04,-1.09
1296,-0.57,3.45,-1.55,-0.05,0.10,-1.10
1305,-1.31,4.09,-1.09,-0.09,0.02,-1.10
1314,-0.57,4.45,-1.88,-0.09,0.01,-1.11
1323,-0.46,3.95,-1.10,-0.06,0.02,-1.08
1332,-2.13,4.89,-0.29,-0.07,0.09,-1.11
1341,0.43,4.12,-2.54,-0.07,0.05,-1.09
1350,-0.43,4.31,-2.42,-0.08,0.02,-1.10
1359,-2.17,4.85,0.62,-0.10,0.03,-1.12
1368,0.11,2.66,-1.46,-0.06,0.06,-1.09
1377,-0.21,2.32,-1.58,-0.06,0.08,-1.10
1386,-1.98,4.75,-1.63,-0.09,0.05,-1.11
1395,0.11,4.44,-2.37,-0.08,0.02,-1.10
1404,-0.94,4.38,-0.04,-0.08,0.00,-1.08
1413,-1.65,4.73,-0.47,-0.07,0.09,-1.11
1422,0.27,4.70,-3.68,-0.06,0.06,-1.09
1431,-0.57,3.53,-1.36,-0.08,0.01,-1.11
1440,-0.47,3.55,0.21,-0.11,-0.01,-1.10
1449,0.52,2.92,-1.54,-0.06,0.07,-1.10
1458,-2.02,4.61,-0.29,-0.07,0.07,-1.08
1467,-1.17,4.34,-1.91,-0.09,0.05,-1.11
1476,1.05,3.50,-2.67,-0.08,-0.01,-1.08
1485,-1.66,4.97,0.45,-0.08,0.04,-1.09
1494,-0.95,4.52,-0.84,-0.07,0.08,-1.10
1503,0.04,3.66,-2.90,-0.06,0.05,-1.10
1512,-1.37,3.99,-1.00,-0.09,0.01,-1.10
1521,-0.10,3.21,-0.76,-0.10,0.00,-1.10
1530,0.00,3.63,-0.91,-0.06,0.06,-1.08
1539,-2.50,5.66,-0.51,-0.07,0.09,-1.10
