timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.13,4.34,-0.36,-0.06,0.05,-1.09
9,-2.55,5.71,-0.18,-0.08,0.08,-1.11
18,0.82,4.05,-3.70,-0.08,0.04,-1.11
27,-0.51,3.89,-1.75,-0.07,-0.02,-1.07
36,-2.95,5.54,0.78,-0.10,0.05,-1.12
45,0.34,3.82,-2.20,-0.07,0.07,-1.10
54,-1.13,3.84,-1.65,-0.06,0.05,-1.09
63,-1.87,3.68,-0.81,-0.10,0.02,-1.12
72,0.06,3.53,-2.51,-0.08,0.03,-1.11
81,-1.42,4.19,-0.19,-0.06,0.06,-1.08
90,-2.05,5.50,-0.47,-0.09,0.08,-1.11
99,1.01,4.37,-3.73,-0.08,0.02,-1.10
108,-1.35,4.71,-1.37,-0.07,-0.00,-1.10
117,-2.09,4.79,0.36,-0.09,0.06,-1.12
126,0.96,3.30,-2.44,-0.06,0.07,-1.09
135,-1.20,3.77,-0.92,-0.07,0.03,-1.10
144,-1.57,3.68,-0.64,-0.11,0.01,-1.11
153,0.39,3.46,-2.02,-0.06,0.03,-1.10
162,-1.31,3.84,0.07,-0.06,0.07,-1.10
171,-1.03,4.59,-1.17,-0.09,0.07,-1.12
180,0.79,4.52,-3.29,-0.07,0.00,-1.08
189,-2.24,5.38,-0.13,-0.08,0.02,-1.09
198,-1.00,3.95,-0.19,-0.08,0.06,-1.10
207,0.90,2.69,-2.37,-0.05,0.08,-1.09
216,-1.36,3.66,-1.04,-0.09,0.04,-1.10
225,-1.31,4.44,-1.38,-0.11,0.03,-1.12
234,0.35,3.78,-1.39,-0.07,0.01,-1.07
243,-1.29,3.95,0.19,-0.07,0.08,-1.11
252,0.02,3.85,-2.29,-0.07,0.06,-1.10
261,0.05,4.71,-3.08,-0.07,0.02,-1.10
270,-1.60,4.64,0.35,-0.10,-0.00,-1.10
279,-0.23,3.59,-0.52,-0.07,0.06,-1.10
288,0.73,2.57,-2.26,-0.06,0.06,-1.08
297,-1.57,4.14,-1.53,-0.08,0.06,-1.11
306,-0.45,4.45,-1.66,-0.10,0.00,-1.10
315,-0.18,3.77,-0.33,-0.08,0.02,-1.10
324,-1.43,4.59,0.00,-0.07,0.07,-1.10
333,-0.40,4.31,-2.87,-0.06,0.07,-1.08
342,-0.48,4.37,-2.35,-0.07,0.01,-1.11
351,-0.87,3.56,0.00,-0.10,0.00,-1.11
360,-0.89,4.31,-0.58,-0.07,0.06,-1.10
369,-0.97,4.14,-1.18,-0.06,0.07,-1.11
378,-0.99,4.00,-2.11,-0.08,0.05,-1.11
387,-0.26,3.34,-1.77,-0.09,-0.01,-1.08
396,-1.52,4.89,-0.24,-0.08,0.05,-1.10
405,-0.87,4.42,-1.08,-0.07,0.07,-1.09
