timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.29,5.20,-1.70,-0.07,0.02,-1.09
9,-0.61,4.15,-1.37,-0.09,0.02,-1.11
18,1.78,1.70,-1.78,-0.07,0.03,-1.09
27,-2.11,5.13,0.03,-0.07,0.07,-1.09
36,-0.59,3.36,-1.67,-0.09,0.05,-1.11
45,0.10,3.18,-2.49,-0.08,0.01,-1.10
54,-0.71,2.44,-0.26,-0.08,0.03,-1.11
63,-1.33,5.29,-0.84,-0.08,0.07,-1.10
72,-0.12,4.98,-2.22,-0.06,0.05,-1.09
81,-1.68,5.73,-1.38,-0.09,0.02,-1.12
90,-0.28,4.19,-1.26,-0.09,0.00,-1.10
99,0.21,2.93,-1.28,-0.05,0.04,-1.08
108,-1.40,3.46,-0.49,-0.07,0.09,-1.11
117,0.00,2.96,-2.07,-0.09,0.04,-1.11
126,-0.32,3.33,-1.67,-0.09,-0.00,-1.10
135,-1.45,3.61,-0.03,-0.08,0.03,-1.08
144,-1.06,5.09,-1.98,-0.06,0.10,-1.10
153,-0.32,4.96,-2.34,-0.06,0.05,-1.09
162,-1.75,5.43,-1.60,-0.09,0.01,-1.10
171,-0.45,4.51,-1.26,-0.09,0.00,-1.10
180,-1.57,4.25,-0.53,-0.06,0.06,-1.09
189,-1.14,2.96,-0.57,-0.07,0.08,-1.10
198,0.42,2.67,-2.90,-0.08,0.04,-1.11
207,-0.60,3.91,-1.10,-0.09,-0.00,-1.09
216,-2.29,5.90,0.50,-0.09,0.04,-1.12
225,-0.17,4.25,-1.90,-0.05,0.08,-1.10
234,-0.75,4.69,-2.13,-0.06,0.06,-1.10
243,-0.90,4.41,-2.02,-0.09,0.01,-1.10
252,-0.54,3.98,-0.90,-0.08,0.01,-1.11
261,-1.39,3.58,0.42,-0.08,0.06,-1.10
270,-0.82,3.53,-1.41,-0.07,0.07,-1.11
279,-0.20,3.30,-2.71,-0.07,0.03,-1.10
288,-1.16,4.40,-1.05,-0.09,0.02,-1.12
297,-0.50,5.24,-0.83,-0.08,0.04,-1.10
306,-0.76,4.88,-0.93,-0.06,0.06,-1.10
315,-1.31,4.45,-1.52,-0.08,0.07,-1.10
324,-0.20,3.85,-3.01,-0.07,0.02,-1.10
333,-0.98,3.73,-0.57,-0.08,0.02,-1.09
342,-0.90,3.04,0.45,-0.09,0.05,-1.10
351,-0.22,3.90,-2.53,-0.07,0.07,-1.10
360,-1.36,4.82,-1.62,-0.08,0.02,-1.11
369,-0.94,4.59,-1.42,-0.09,0.02,-1.10
378,1.23,2.91,-1.64,-0.06,0.02,-1.09
387,-1.77,5.23,-0.17,-0.07,0.08,-1.10
396,-0.84,4.12,-1.42,-0.09,0.03,-1.12
405,-0.08,3.56,-2.66,-0.07,0.01,-1.10
