timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.23,4.23,-0.78,-0.08,0.07,-1.11
9,0.62,3.72,-3.08,-0.08,0.02,-1.09
18,-0.80,3.92,-1.01,-0.08,0.00,-1.09
27,-2.04,4.93,0.47,-0.08,0.06,-1.11
36,0.46,3.36,-2.16,-0.07,0.07,-1.09
45,-0.69,4.14,-1.86,-0.07,0.04,-1.08
54,-1.16,4.25,-0.99,-0.10,0.01,-1.11
63,-0.22,3.99,-1.17,-0.08,0.03,-1.11
72,-1.11,3.96,-0.30,-0.06,0.07,-1.10
81,-1.22,4.39,-1.30,-0.08,0.07,-1.12
90,0.52,3.61,-2.82,-0.08,0.01,-1.08
99,-1.29,4.26,-0.64,-0.08,0.01,-1.10
108,-1.44,4.34,-0.03,-0.08,0.06,-1.11
117,-0.06,3.94,-2.20,-0.06,0.07,-1.09
126,-0.79,4.24,-1.95,-0.07,0.04,-1.09
135,-1.27,4.48,-1.29,-0.09,0.02,-1.10
144,-0.40,3.93,-1.01,-0.08,0.03,-1.09
153,-1.10,4.15,-0.69,-0.06,0.07,-1.09
162,-1.16,4.24,-1.68,-0.08,0.05,-1.11
171,-0.26,4.08,-2.46,-0.08,0.02,-1.09
180,-0.97,4.19,-0.72,-0.08,0.01,-1.09
189,-1.18,4.04,-0.24,-0.07,0.06,-1.11
198,-0.59,4.32,-1.74,-0.07,0.07,-1.09
207,-0.48,4.27,-2.40,-0.08,0.03,-1.10
216,-0.96,4.17,-0.99,-0.09,0.01,-1.11
225,-0.73,3.90,-0.57,-0.07,0.04,-1.09
234,-0.87,4.04,-1.19,-0.06,0.08,-1.10
243,-1.28,4.21,-1.54,-0.08,0.06,-1.10
252,-0.76,4.32,-2.03,-0.09,0.02,-1.09
261,-0.30,4.02,-1.13,-0.08,0.01,-1.09
270,-1.37,4.38,-0.34,-0.07,0.07,-1.12
279,-0.75,4.28,-1.64,-0.07,0.07,-1.08
288,-0.17,4.08,-2.66,-0.08,0.03,-1.10
297,-0.64,3.62,-0.92,-0.09,-0.00,-1.11
306,-1.10,4.27,-0.22,-0.08,0.06,-1.11
315,0.10,3.42,-1.62,-0.06,0.07,-1.09
324,-1.37,4.50,-1.72,-0.08,0.06,-1.10
333,-0.82,4.48,-1.58,-0.10,-0.00,-1.12
342,0.03,4.10,-1.27,-0.08,0.02,-1.10
351,-1.16,4.38,-0.06,-0.07,0.06,-1.08
360,-0.60,4.13,-1.42,-0.07,0.08,-1.11
369,0.34,3.79,-2.73,-0.08,0.01,-1.09
378,-1.33,3.61,-0.42,-0.09,0.01,-1.10
