timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.31,4.73,-2.43,-0.07,0.05,-1.09
9,-0.66,4.79,-2.10,-0.08,0.01,-1.09
18,-1.28,4.64,-0.74,-0.09,0.01,-1.11
27,-0.96,3.72,-0.74,-0.07,0.06,-1.10
36,-0.86,3.55,-1.23,-0.06,0.08,-1.09
45,-0.14,2.80,-2.21,-0.08,0.04,-1.10
54,-0.57,3.93,-1.50,-0.09,0.00,-1.11
63,-1.46,5.13,-0.30,-0.08,0.04,-1.09
72,-0.96,4.19,-0.88,-0.06,0.07,-1.10
81,-0.67,4.56,-2.37,-0.07,0.07,-1.10
90,-0.25,4.31,-2.41,-0.08,0.00,-1.10
99,-0.86,4.49,-0.80,-0.09,0.01,-1.09
108,-1.33,4.04,0.01,-0.08,0.06,-1.08
117,-0.48,3.55,-1.50,-0.07,0.07,-1.10
126,-0.07,3.12,-2.31,-0.07,0.03,-1.10
135,-0.68,3.79,-1.03,-0.10,0.01,-1.11
144,-0.84,5.09,-0.51,-0.08,0.04,-1.11
153,-1.37,4.92,-0.65,-0.07,0.06,-1.09
162,-0.76,4.20,-1.80,-0.08,0.06,-1.09
171,-0.53,4.07,-2.36,-0.07,0.01,-1.09
180,-0.99,3.45,-0.28,-0.08,0.02,-1.08
189,-0.56,3.66,-0.42,-0.08,0.06,-1.11
198,-0.52,4.53,-2.04,-0.07,0.08,-1.10
207,-1.45,4.92,-1.46,-0.08,0.02,-1.09
216,-0.70,4.33,-1.36,-0.09,0.03,-1.11
225,0.59,2.92,-1.00,-0.07,0.04,-1.10
234,-1.67,4.74,-0.47,-0.07,0.07,-1.10
243,-0.68,3.92,-1.92,-0.08,0.05,-1.11
252,-0.69,4.07,-2.20,-0.08,0.01,-1.09
261,-1.08,3.09,-0.13,-0.08,0.03,-1.09
270,-0.99,4.58,-1.09,-0.08,0.07,-1.10
279,-0.54,4.58,-2.42,-0.06,0.06,-1.09
288,-2.07,5.20,-1.38,-0.09,0.02,-1.09
297,-0.42,3.87,-1.34,-0.09,0.02,-1.10
306,0.28,2.64,-1.26,-0.06,0.03,-1.09
315,-1.76,4.51,-0.47,-0.07,0.08,-1.10
324,-0.20,3.64,-2.38,-0.08,0.04,-1.10
333,-0.60,4.13,-1.78,-0.08,0.01,-1.09
342,-1.21,3.69,-0.16,-0.08,0.03,-1.09
351,-0.84,5.09,-1.60,-0.07,0.09,-1.10
360,-0.34,4.65,-2.20,-0.06,0.05,-1.09
369,-1.88,4.89,-1.23,-0.09,0.02,-1.11
378,-0.22,3.86,-1.21,-0.09,0.01,-1.10
387,-0.76,3.43,-0.98,-0.06,0.05,-1.09
396,-1.69,3.92,-0.52,-0.07,0.09,-1.10
405,-0.06,3.56,-2.63,-0.09,0.03,-1.11
414,-0.78,4.22,-1.48,-0.09,-0.01,-1.10
423,-1.96,4.81,0.35,-0.08,0.03,-1.10
432,-0.65,4.51,-2.01,-0.06,0.09,-1.10
441,-0.36,4.38,-2.29,-0.06,0.04,-1.09
450,-1.77,4.65,-1.48,-0.10,0.01,-1.11
459,-0.43,4.15,-1.04,-0.09,0.01,-1.11
468,-1.39,4.03,-0.69,-0.05,0.06,-1.09
477,-1.35,3.62,-0.77,-0.08,0.08,-1.10
486,-0.41,4.61,-2.94,-0.08,0.03,-1.11
495,-0.59,4.23,-1.42,-0.08,0.00,-1.10
504,-2.20,5.70,0.66,-0.08,0.04,-1.10
513,-0.10,3.94,-1.86,-0.06,0.08,-1.08
522,-0.51,4.23,-2.08,-0.06,0.05,-1.10
531,-1.38,4.01,-1.28,-0.10,0.02,-1.10
540,-0.33,3.60,-1.02,-0.09,0.02,-1.10
549,-1.12,3.82,-0.23,-0.07,0.07,-1.09
558,-1.22,4.10,-1.32,-0.07,0.08,-1.09
567,-0.62,4.89,-2.70,-0.08,0.04,-1.11
576,-0.80,4.27,-1.33,-0.09,0.00,-1.11
585,-0.92,4.51,-0.39,-0.08,0.05,-1.11
594,-0.57,4.27,-1.35,-0.06,0.07,-1.09
603,-0.64,4.06,-1.87,-0.08,0.05,-1.09
612,-0.74,3.83,-1.89,-0.09,0.00,-1.10
621,-0.68,3.33,-0.64,-0.08,0.02,-1.11
630,-0.98,3.90,-0.32,-0.07,0.06,-1.10
639,-0.80,4.35,-2.01,-0.07,0.07,-1.10
648,-1.13,5.17,-1.85,-0.08,0.02,-1.10
657,-0.77,4.48,-1.26,-0.08,0.01,-1.11
666,-0.25,3.67,-0.79,-0.07,0.04,-1.08
675,-1.01,4.32,-0.91,-0.07,0.08,-1.10
684,-0.43,3.76,-1.97,-0.08,0.04,-1.10
693,-0.79,3.85,-1.67,-0.09,0.01,-1.10
702,-0.94,3.19,-0.35,-0.08,0.03,-1.10
