timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.44,3.55,-2.38,-0.08,0.04,-1.10
9,-0.61,3.58,-1.17,-0.09,-0.00,-1.12
18,-1.29,4.59,-0.28,-0.08,0.04,-1.10
27,-0.61,3.99,-1.15,-0.06,0.08,-1.10
36,-1.09,4.55,-1.79,-0.07,0.05,-1.09
45,-0.80,4.70,-1.92,-0.09,0.01,-1.11
54,-0.66,4.59,-1.00,-0.08,0.02,-1.10
63,-1.22,4.34,0.04,-0.07,0.06,-1.10
72,-0.60,4.03,-1.48,-0.07,0.07,-1.08
81,0.08,3.37,-2.46,-0.08,0.02,-1.09
90,-1.12,3.45,-0.52,-0.09,0.01,-1.10
99,-0.94,4.56,-0.30,-0.08,0.06,-1.11
108,0.24,3.37,-1.78,-0.05,0.06,-1.09
117,-1.71,4.99,-1.46,-0.08,0.06,-1.11
126,-0.73,4.98,-2.07,-0.09,0.01,-1.11
135,-0.35,4.23,-1.36,-0.07,0.03,-1.09
144,-1.49,3.87,0.31,-0.07,0.07,-1.09
153,-0.43,4.33,-2.10,-0.07,0.08,-1.11
162,0.21,3.69,-2.54,-0.07,0.01,-1.10
171,-1.66,3.60,0.06,-0.10,0.02,-1.10
180,-0.17,3.68,-0.75,-0.08,0.05,-1.10
189,0.08,3.55,-1.91,-0.05,0.07,-1.08
198,-1.99,5.02,-0.95,-0.08,0.05,-1.11
207,0.02,4.60,-2.26,-0.09,0.00,-1.10
216,-0.16,4.08,-1.05,-0.07,0.02,-1.08
225,-1.81,4.24,0.71,-0.08,0.07,-1.11
234,-0.06,4.04,-2.82,-0.06,0.07,-1.10
243,0.12,3.62,-2.33,-0.07,0.01,-1.10
252,-1.71,3.60,0.47,-0.10,0.01,-1.12
261,0.53,3.17,-1.20,-0.07,0.05,-1.10
270,-0.94,4.51,-1.60,-0.06,0.08,-1.07
279,-2.00,4.61,-1.18,-0.09,0.04,-1.12
288,0.42,4.19,-2.68,-0.08,-0.00,-1.10
297,-0.56,4.06,-0.72,-0.07,0.03,-1.08
306,-2.26,5.17,0.46,-0.08,0.08,-1.12
315,0.17,4.03,-3.23,-0.06,0.06,-1.09
324,-0.56,3.90,-1.87,-0.08,0.00,-1.11
333,-1.79,4.05,0.27,-0.10,0.03,-1.11
342,0.44,3.42,-1.36,-0.06,0.05,-1.10
351,-1.12,4.39,-1.25,-0.06,0.08,-1.10
360,-0.39,3.61,-2.30,-0.10,0.03,-1.11
369,0.02,3.96,-2.33,-0.08,0.01,-1.10
378,-2.17,4.80,0.41,-0.07,0.03,-1.09
387,-0.91,4.64,-1.22,-0.07,0.09,-1.11
396,0.37,4.05,-2.90,-0.07,0.04,-1.09
405,-2.13,4.84,-1.11,-0.09,0.01,-1.10
414,-1.03,4.39,-0.82,-0.10,0.02,-1.10
423,-0.17,3.48,-1.24,-0.06,0.06,-1.09
432,-1.21,4.00,-0.59,-0.07,0.07,-1.11
441,-0.22,3.61,-2.46,-0.09,0.03,-1.12
450,-0.29,3.71,-1.64,-0.08,0.00,-1.09
459,-1.72,4.59,0.38,-0.08,0.05,-1.09
468,-0.28,3.99,-1.29,-0.07,0.08,-1.11
477,-0.28,4.45,-2.38,-0.07,0.05,-1.10
486,-1.41,4.66,-1.35,-0.09,0.01,-1.10
495,-0.80,4.02,-0.91,-0.09,0.03,-1.10
504,-0.31,3.43,-0.84,-0.07,0.06,-1.09
513,-1.11,4.23,-1.41,-0.07,0.07,-1.10
522,-0.51,3.96,-2.31,-0.09,0.03,-1.09
531,-0.77,3.98,-1.21,-0.09,0.01,-1.11
540,-0.65,3.83,-0.49,-0.07,0.05,-1.10
549,-0.80,4.28,-1.33,-0.06,0.08,-1.09
558,-0.51,4.52,-2.16,-0.08,0.04,-1.10
567,-0.88,4.46,-1.85,-0.09,0.01,-1.08
576,-0.96,3.60,-0.40,-0.08,0.02,-1.12
585,-0.89,3.95,-0.74,-0.07,0.07,-1.10
594,-0.29,3.60,-2.18,-0.06,0.07,-1.10
603,-1.29,4.31,-1.57,-0.09,0.02,-1.10
612,-0.73,4.18,-0.90,-0.09,0.02,-1.10
621,-0.46,3.83,-0.95,-0.07,0.05,-1.10
630,-1.49,4.66,-0.83,-0.06,0.09,-1.10
639,-0.18,4.15,-2.50,-0.08,0.04,-1.11
648,-0.12,3.97,-1.96,-0.08,0.00,-1.09
657,-1.82,4.06,0.36,-0.09,0.03,-1.09
666,-1.20,4.55,-1.28,-0.07,0.09,-1.11
675,0.02,3.53,-2.48,-0.06,0.05,-1.09
684,-1.69,4.24,-1.27,-0.09,0.02,-1.10
693,-0.48,4.15,-1.31,-0.09,0.02,-1.11
702,-0.70,4.10,-1.25,-0.05,0.05,-1.09
711,-1.79,4.52,-0.55,-0.07,0.08,-1.11
720,0.12,3.76,-3.11,-0.08,0.04,-1.11
729,-0.26,3.95,-1.94,-0.07,-0.01,-1.08
738,-2.62,4.93,0.73,-0.09,0.04,-1.11
747,-0.45,4.37,-1.60,-0.07,0.09,-1.11
756,0.00,3.70,-2.38,-0.06,0.04,-1.09
765,-2.08,4.41,-0.75,-0.10,0.02,-1.11
774,-0.35,4.09,-1.40,-0.09,0.03,-1.10
783,-0.74,4.05,-1.06,-0.05,0.06,-1.09
792,-1.64,4.36,-0.17,-0.08,0.07,-1.11
801,0.43,3.76,-3.29,-0.08,0.03,-1.10
810,-0.62,4.13,-1.68,-0.07,-0.00,-1.10
819,-2.87,5.43,0.91,-0.09,0.06,-1.11
828,0.48,3.41,-2.26,-0.06,0.08,-1.09
837,-0.37,4.10,-2.34,-0.06,0.04,-1.09
846,-2.15,4.64,-0.90,-0.10,0.02,-1.13
855,-0.05,3.88,-1.64,-0.08,0.02,-1.10
864,-0.99,3.61,-0.86,-0.05,0.07,-1.09
873,-1.52,4.24,-0.53,-0.08,0.07,-1.10
882,0.51,3.92,-3.22,-0.08,0.03,-1.10
891,-0.68,3.91,-1.17,-0.08,-0.00,-1.10
900,-2.30,4.81,0.71,-0.09,0.05,-1.10
909,0.64,3.39,-2.26,-0.06,0.07,-1.10
918,-0.75,4.48,-2.00,-0.06,0.05,-1.10
927,-1.78,4.88,-1.02,-0.10,0.01,-1.10
936,0.13,3.67,-1.44,-0.08,0.02,-1.10
945,-0.92,3.58,-0.34,-0.06,0.07,-1.09
954,-1.28,4.03,-1.09,-0.08,0.08,-1.09
963,0.15,4.17,-2.93,-0.08,0.02,-1.09
972,-0.98,3.99,-0.80,-0.09,0.01,-1.10
981,-1.19,4.13,0.01,-0.08,0.05,-1.11
990,0.01,3.98,-2.16,-0.06,0.07,-1.08
999,-0.74,4.30,-1.90,-0.08,0.04,-1.09
1008,-1.16,4.27,-1.34,-0.09,0.01,-1.10
1017,0.02,3.21,-1.07,-0.08,0.03,-1.10
1026,-1.10,3.85,-0.46,-0.07,0.07,-1.09
1035,-0.99,4.29,-1.85,-0.07,0.07,-1.11
1044,-0.33,4.35,-2.38,-0.08,0.01,-1.10
1053,-0.92,4.19,-0.69,-0.09,0.01,-1.09
1062,-0.98,4.17,-0.36,-0.07,0.06,-1.09
1071,-0.49,4.09,-1.65,-0.06,0.07,-1.09
1080,-0.45,4.05,-2.02,-0.08,0.04,-1.08
1089,-0.58,3.92,-1.16,-0.09,-0.00,-1.08
1098,-0.79,3.73,-0.36,-0.08,0.03,-1.10
1107,-1.24,4.28,-0.88,-0.06,0.09,-1.08
1116,-0.98,4.24,-1.92,-0.07,0.06,-1.09
1125,-0.85,4.61,-1.94,-0.09,0.02,-1.10
1134,-0.50,4.31,-1.15,-0.09,0.01,-1.10
1143,-1.53,4.70,-0.59,-0.07,0.07,-1.09
1152,-0.78,3.99,-1.37,-0.07,0.07,-1.09
1161,0.11,3.50,-2.73,-0.08,0.04,-1.09
1170,-1.01,3.37,-0.66,-0.09,-0.00,-1.11
1179,-0.66,4.09,-0.35,-0.08,0.06,-1.10
1188,-0.10,3.47,-1.29,-0.06,0.06,-1.10
1197,-1.50,4.70,-1.57,-0.07,0.06,-1.10
1206,-0.59,4.87,-2.14,-0.09,0.01,-1.09
1215,-0.58,4.54,-1.17,-0.07,0.02,-1.09
1224,-1.41,4.06,0.29,-0.07,0.06,-1.10
1233,-0.33,4.22,-2.28,-0.08,0.07,-1.11
1242,0.08,3.68,-2.44,-0.07,0.02,-1.08
1251,-1.70,3.71,-0.17,-0.09,0.01,-1.11
1260,-0.03,3.61,-0.74,-0.08,0.05,-1.11
1269,-0.15,3.73,-1.59,-0.05,0.06,-1.08
1278,-1.86,4.86,-1.04,-0.08,0.06,-1.10
1287,-0.20,4.76,-2.32,-0.10,0.01,-1.11
1296,-0.42,4.27,-0.90,-0.07,0.02,-1.09
1305,-1.76,4.22,0.53,-0.07,0.07,-1.11
1314,-0.01,3.96,-2.60,-0.07,0.08,-1.11
1323,-0.14,3.75,-2.38,-0.07,0.02,-1.09
1332,-1.54,3.68,0.14,-0.10,0.01,-1.12
1341,0.52,3.04,-1.19,-0.08,0.05,-1.10
1350,-0.89,4.21,-1.49,-0.05,0.07,-1.09
1359,-1.91,4.54,-1.11,-0.09,0.05,-1.11
1368,0.35,4.27,-2.54,-0.09,0.01,-1.11
1377,-0.38,4.21,-0.81,-0.07,0.02,-1.08
1386,-2.21,4.93,0.56,-0.08,0.07,-1.10
1395,0.01,3.96,-3.10,-0.07,0.07,-1.09
1404,-0.42,3.85,-2.16,-0.07,0.01,-1.10
1413,-1.67,3.99,0.18,-0.10,0.01,-1.10
1422,0.35,3.46,-1.36,-0.07,0.06,-1.09
1431,-0.91,4.27,-1.41,-0.05,0.07,-1.08
1440,-1.52,4.02,-1.07,-0.09,0.04,-1.11
1449,0.51,3.74,-2.41,-0.09,0.00,-1.09
1458,-0.92,4.27,-0.53,-0.07,0.03,-1.08
1467,-2.03,5.06,0.17,-0.08,0.08,-1.10
1476,0.16,4.11,-3.03,-0.07,0.06,-1.08
1485,-0.74,4.10,-1.89,-0.08,0.01,-1.09
1494,-1.58,4.49,-0.06,-0.10,0.02,-1.10
1503,-0.14,3.91,-1.37,-0.07,0.06,-1.09
1512,-1.07,3.96,-1.22,-0.06,0.08,-1.08
1521,-1.02,3.52,-1.72,-0.09,0.04,-1.09
1530,-0.00,3.71,-2.02,-0.09,0.00,-1.10
1539,-1.43,4.48,-0.22,-0.07,0.03,-1.09
1548,-1.65,4.94,-0.57,-0.07,0.08,-1.10
1557,0.06,4.29,-2.89,-0.07,0.05,-1.09
1566,-1.14,4.55,-1.76,-0.08,0.00,-1.08
1575,-1.38,4.77,-0.38,-0.09,0.02,-1.10
1584,-0.40,3.89,-1.08,-0.07,0.06,-1.10
1593,-1.02,4.13,-1.15,-0.06,0.07,-1.10
1602,-0.41,3.36,-1.98,-0.09,0.03,-1.10
1611,-0.28,3.50,-1.54,-0.09,0.01,-1.09
1620,-1.34,4.51,-0.02,-0.08,0.05,-1.08
1629,-0.86,4.20,-0.93,-0.07,0.07,-1.09
1638,-0.36,4.37,-2.33,-0.07,0.05,-1.08
