timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.88,3.86,-1.75,-0.09,0.04,-1.11
9,-0.25,4.61,-2.52,-0.08,0.01,-1.11
18,-1.24,3.84,-0.11,-0.08,0.03,-1.10
27,-1.54,5.32,-0.81,-0.07,0.09,-1.10
36,0.20,4.18,-2.74,-0.06,0.05,-1.09
45,-1.94,4.34,-1.16,-0.09,0.02,-1.11
54,-1.04,4.02,-0.73,-0.10,0.02,-1.09
63,-0.25,3.49,-1.52,-0.06,0.06,-1.09
72,-1.53,3.79,-0.45,-0.07,0.08,-1.11
81,-0.45,3.41,-2.58,-0.09,0.04,-1.11
90,-0.39,4.25,-2.12,-0.08,-0.00,-1.10
99,-1.87,4.82,0.14,-0.08,0.03,-1.10
108,-0.83,4.79,-1.47,-0.06,0.08,-1.10
117,0.13,4.37,-2.56,-0.06,0.04,-1.09
126,-1.71,4.65,-1.37,-0.09,0.02,-1.11
135,-0.89,4.32,-0.79,-0.09,0.02,-1.11
144,-0.68,3.79,-0.92,-0.06,0.07,-1.10
153,-1.38,3.94,-0.69,-0.07,0.07,-1.10
162,-0.75,4.02,-2.43,-0.08,0.04,-1.10
171,-0.60,4.13,-1.62,-0.08,0.00,-1.11
180,-1.98,5.15,0.18,-0.08,0.05,-1.09
189,-0.66,4.23,-1.39,-0.06,0.07,-1.10
198,-0.48,4.30,-2.37,-0.07,0.06,-1.10
207,-1.37,4.40,-1.71,-0.09,0.02,-1.10
216,-0.74,3.96,-0.93,-0.09,0.03,-1.11
225,-0.67,3.59,-0.59,-0.07,0.06,-1.08
234,-1.30,4.32,-1.41,-0.07,0.08,-1.11
243,-0.74,4.58,-2.32,-0.08,0.03,-1.10
252,-0.51,4.06,-1.50,-0.09,0.01,-1.10
261,-0.68,3.94,-0.34,-0.07,0.04,-1.10
270,-0.71,4.26,-1.04,-0.06,0.08,-1.10
279,-0.55,4.23,-1.87,-0.08,0.04,-1.11
288,-0.89,4.10,-1.65,-0.09,0.01,-1.09
297,-0.62,3.45,-0.61,-0.09,0.02,-1.08
306,-0.56,4.03,-0.81,-0.06,0.07,-1.10
315,-0.85,4.63,-1.65,-0.07,0.06,-1.10
324,-1.58,4.98,-1.70,-0.09,0.02,-1.11
333,-0.35,4.08,-1.26,-0.08,0.01,-1.09
342,-0.41,3.38,-0.90,-0.07,0.04,-1.09
351,-0.60,3.63,-1.19,-0.07,0.09,-1.10
360,0.41,3.31,-2.89,-0.08,0.04,-1.11
369,-0.93,3.68,-0.71,-0.09,0.00,-1.11
378,-1.57,4.73,0.10,-0.09,0.02,-1.11
387,-0.15,3.82,-1.69,-0.06,0.09,-1.10
396,-0.99,4.54,-1.67,-0.07,0.05,-1.10
405,-0.61,4.53,-1.97,-0.10,0.02,-1.11
414,-0.21,4.27,-1.42,-0.09,-0.01,-1.11
423,-2.33,4.92,0.36,-0.06,0.07,-1.10
432,-0.50,3.46,-1.51,-0.07,0.08,-1.09
441,0.41,3.41,-3.19,-0.07,0.04,-1.09
450,-0.96,3.75,-0.59,-0.09,-0.01,-1.10
459,-2.19,5.61,-0.00,-0.09,0.03,-1.11
468,-0.17,3.78,-1.74,-0.05,0.08,-1.09
477,-1.13,4.05,-1.69,-0.06,0.06,-1.10
486,-0.54,3.97,-2.03,-0.10,0.02,-1.11
495,-0.58,4.53,-1.19,-0.09,0.00,-1.09
504,-1.97,4.50,0.42,-0.07,0.08,-1.10
513,-0.74,3.95,-1.54,-0.07,0.08,-1.10
522,0.33,4.19,-2.90,-0.07,0.04,-1.10
531,-0.83,3.73,-0.57,-0.09,-0.00,-1.09
540,-1.97,5.72,0.23,-0.09,0.06,-1.11
549,0.35,3.18,-1.77,-0.06,0.07,-1.08
558,-1.35,3.94,-1.37,-0.06,0.06,-1.10
