timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-2.01,3.61,-0.03,-0.09,0.01,-1.10
9,0.51,2.56,-0.94,-0.11,-0.00,-1.09
18,0.30,3.29,-0.53,-0.06,0.06,-1.09
27,-2.97,5.80,0.06,-0.08,0.06,-1.09
36,-0.37,5.03,-2.88,-0.08,0.04,-1.13
45,0.58,3.00,-2.15,-0.07,-0.03,-1.07
54,-1.92,4.75,0.88,-0.09,0.05,-1.11
63,0.20,4.35,-1.80,-0.07,0.06,-1.08
72,-0.99,3.91,-1.74,-0.07,0.06,-1.11
81,-1.14,3.20,-1.07,-0.10,0.01,-1.10
90,0.30,2.52,-1.98,-0.08,0.03,-1.11
99,-1.64,5.17,-0.41,-0.06,0.06,-1.11
108,-2.37,5.97,-1.04,-0.08,0.09,-1.12
117,0.87,3.99,-3.21,-0.08,0.00,-1.10
126,-1.64,4.02,-0.62,-0.08,-0.02,-1.10
135,-2.08,4.21,-0.19,-0.08,0.07,-1.10
144,-0.61,4.74,-2.15,-0.06,0.08,-1.10
153,-0.22,3.25,-1.39,-0.08,0.02,-1.11
162,-1.35,4.08,-0.90,-0.10,0.01,-1.13
171,-0.42,3.24,-2.34,-0.06,0.04,-1.08
180,-2.63,5.87,-0.21,-0.06,0.08,-1.11
189,0.38,3.10,-1.94,-0.07,0.06,-1.11
198,-0.74,4.84,-2.14,-0.08,0.01,-1.08
207,-2.21,5.43,-0.52,-0.09,0.03,-1.12
216,-1.03,4.11,-0.98,-0.06,0.06,-1.10
225,-0.05,2.84,-1.59,-0.05,0.10,-1.10
234,-0.86,3.89,-1.68,-0.09,0.04,-1.11
243,-0.64,4.80,-1.68,-0.09,-0.01,-1.10
252,-2.13,5.09,0.04,-0.07,0.02,-1.10
261,-1.98,4.59,-0.50,-0.06,0.11,-1.12
270,1.73,2.01,-2.99,-0.06,0.03,-1.08
279,-1.26,4.41,-2.09,-0.09,0.02,-1.10
288,-1.69,4.88,0.67,-0.10,0.01,-1.12
297,-0.44,3.92,-1.17,-0.06,0.07,-1.09
306,0.02,2.27,-1.16,-0.07,0.05,-1.09
315,-0.91,4.93,-2.74,-0.08,0.07,-1.11
324,0.33,4.41,-2.38,-0.08,0.01,-1.10
333,-2.76,6.27,1.43,-0.09,0.02,-1.12
342,-0.09,3.31,-1.09,-0.07,0.08,-1.11
351,0.55,3.19,-3.31,-0.05,0.06,-1.08
360,-2.06,4.40,-0.68,-0.09,0.01,-1.10
369,0.59,3.63,-0.79,-0.10,-0.01,-1.11
378,0.51,3.22,-0.66,-0.06,0.06,-1.10
387,-2.30,4.73,0.34,-0.08,0.06,-1.11
396,-0.25,4.66,-3.32,-0.07,0.04,-1.10
405,1.10,3.23,-2.38,-0.07,-0.02,-1.08
414,-2.23,5.30,1.66,-0.10,0.04,-1.12
423,0.72,3.05,-1.68,-0.07,0.06,-1.09
432,-0.68,4.21,-2.87,-0.06,0.07,-1.10
441,-1.98,4.24,-0.04,-0.10,0.02,-1.12
450,1.28,2.71,-1.75,-0.08,0.01,-1.11
459,0.17,3.33,-0.32,-0.06,0.05,-1.10
468,-3.37,6.87,-0.02,-0.09,0.09,-1.13
477,0.70,4.58,-3.53,-0.07,0.01,-1.08
486,-0.33,3.00,-1.29,-0.07,-0.03,-1.09
495,-1.61,3.86,0.78,-0.09,0.07,-1.13
504,-0.29,3.88,-2.55,-0.06,0.06,-1.10
513,-1.34,3.22,-0.42,-0.08,0.04,-1.10
522,-0.97,4.42,-1.61,-0.11,0.01,-1.11
531,-0.29,3.85,-2.23,-0.05,0.05,-1.10
540,-3.38,5.92,-0.04,-0.07,0.06,-1.10
549,0.83,3.58,-2.77,-0.08,0.09,-1.11
558,-0.12,4.24,-2.54,-0.08,-0.02,-1.09
567,-3.06,5.69,0.69,-0.08,0.03,-1.12
576,-0.07,3.00,-1.39,-0.08,0.06,-1.11
585,0.15,2.26,-1.62,-0.04,0.10,-1.10
594,-1.49,3.63,-1.10,-0.09,0.02,-1.09
603,-0.68,5.38,-1.99,-0.10,0.01,-1.12
612,-1.56,5.95,0.21,-0.06,0.03,-1.09
621,-1.73,4.24,0.05,-0.07,0.11,-1.12
630,1.07,3.51,-3.26,-0.07,0.04,-1.09
639,-0.98,4.75,-2.59,-0.08,0.01,-1.09
648,-1.99,4.95,1.25,-0.10,0.03,-1.12
657,0.72,2.38,-1.28,-0.07,0.06,-1.11
666,-0.48,2.53,-1.24,-0.05,0.06,-1.08
675,-1.95,4.82,-1.96,-0.09,0.06,-1.12
684,1.10,3.48,-2.87,-0.09,0.02,-1.10
693,-1.36,5.37,0.75,-0.08,0.01,-1.10
702,-0.59,4.02,-0.63,-0.07,0.07,-1.12
711,-0.62,5.23,-3.38,-0.05,0.06,-1.09
720,-1.25,4.11,-1.11,-0.08,0.01,-1.09
729,0.35,2.94,-0.84,-0.10,-0.00,-1.10
738,0.65,2.80,-0.54,-0.07,0.05,-1.08
747,-2.40,5.31,-0.20,-0.07,0.05,-1.09
756,-0.54,4.31,-2.65,-0.08,0.06,-1.12
765,0.77,2.60,-2.16,-0.08,-0.01,-1.09
774,-0.59,3.68,0.45,-0.09,0.04,-1.10
783,-0.38,4.58,-1.37,-0.07,0.06,-1.10
792,-1.81,5.39,-2.25,-0.06,0.08,-1.11
801,-0.80,4.02,-1.26,-0.09,0.01,-1.10
810,0.15,2.93,-1.98,-0.08,0.02,-1.10
819,-1.80,4.93,0.26,-0.07,0.05,-1.09
828,-2.29,6.35,-1.59,-0.08,0.10,-1.11
837,0.94,3.30,-2.90,-0.07,0.01,-1.10
846,-2.04,3.68,0.00,-0.08,-0.01,-1.10
855,-0.40,2.77,-1.01,-0.08,0.05,-1.11
864,-0.79,4.76,-2.13,-0.06,0.07,-1.09
873,-1.53,4.21,-0.47,-0.09,0.03,-1.11
882,-0.18,3.62,-1.97,-0.09,0.01,-1.11
891,-0.08,2.97,-2.61,-0.06,0.03,-1.09
900,-2.88,5.81,0.18,-0.07,0.07,-1.11
909,0.27,4.32,-2.53,-0.08,0.08,-1.10
918,-0.10,3.77,-2.21,-0.08,-0.00,-1.10
927,-2.76,4.90,0.02,-0.10,0.03,-1.12
936,-0.19,3.26,-1.95,-0.07,0.06,-1.10
945,-0.88,4.13,-1.79,-0.05,0.10,-1.10
954,-1.47,3.92,-0.57,-0.10,0.02,-1.10
963,-0.38,4.74,-2.46,-0.10,-0.01,-1.09
972,-1.65,4.82,-1.01,-0.06,0.04,-1.09
981,-3.09,5.45,-0.16,-0.07,0.11,-1.11
990,1.84,2.60,-3.21,-0.07,0.03,-1.10
999,-0.88,3.83,-2.09,-0.07,0.01,-1.09
1008,-3.09,5.14,1.15,-0.10,0.04,-1.13
1017,0.20,3.00,-2.04,-0.06,0.06,-1.08
1026,-0.21,2.17,-1.20,-0.05,0.08,-1.09
1035,-1.56,4.59,-1.53,-0.10,0.05,-1.12
1044,0.20,5.37,-2.79,-0.08,0.02,-1.09
1053,-2.55,6.97,1.06,-0.08,0.00,-1.10
1062,-1.35,4.33,-0.33,-0.07,0.10,-1.10
1071,1.56,3.03,-3.61,-0.05,0.03,-1.09
1080,-1.75,4.23,-1.50,-0.08,0.02,-1.12
1089,-0.63,3.75,0.57,-0.11,0.00,-1.11
1098,1.05,2.50,-1.46,-0.06,0.06,-1.08
1107,-1.38,2.94,-0.28,-0.07,0.05,-1.09
1116,-1.83,5.42,-2.74,-0.09,0.07,-1.12
1125,1.61,3.35,-3.51,-0.07,-0.01,-1.08
1134,-1.97,5.67,1.29,-0.09,0.04,-1.12
1143,-0.34,4.08,-1.19,-0.08,0.06,-1.11
1152,-0.40,4.94,-3.56,-0.05,0.07,-1.09
1161,-1.75,3.74,-0.37,-0.09,0.01,-1.11
1170,0.70,2.32,-1.00,-0.10,0.01,-1.11
1179,0.38,3.23,-0.80,-0.06,0.06,-1.09
1188,-3.16,6.40,-0.09,-0.08,0.09,-1.11
1197,0.27,4.21,-2.93,-0.08,0.02,-1.11
1206,0.50,3.04,-2.29,-0.08,-0.03,-1.08
1215,-1.43,4.17,0.53,-0.09,0.06,-1.12
1224,-0.37,4.77,-1.51,-0.06,0.07,-1.09
1233,-0.86,4.15,-1.87,-0.07,0.04,-1.09
1242,-1.11,3.23,-1.11,-0.10,0.00,-1.12
1251,0.23,2.35,-2.26,-0.07,0.04,-1.09
1260,-1.62,5.12,-0.36,-0.06,0.07,-1.09
1269,-1.98,5.93,-1.44,-0.08,0.10,-1.11
1278,0.57,3.99,-2.77,-0.09,-0.01,-1.10
1287,-1.95,4.70,-0.61,-0.09,0.02,-1.10
1296,-1.56,3.95,-0.78,-0.06,0.06,-1.11
1305,-0.68,4.23,-2.21,-0.05,0.10,-1.11
1314,-0.34,3.30,-1.83,-0.09,0.02,-1.10
1323,-0.91,4.80,-1.51,-0.10,0.00,-1.12
1332,-2.00,5.84,0.64,-0.07,0.03,-1.09
1341,-0.97,3.86,-0.48,-0.07,0.11,-1.10
1350,1.00,2.77,-2.82,-0.07,0.03,-1.09
1359,-1.32,4.97,-2.17,-0.09,0.03,-1.11
1368,-0.97,4.65,0.09,-0.10,0.03,-1.11
1377,-0.25,3.50,-0.81,-0.06,0.06,-1.10
1386,-0.33,2.58,-0.85,-0.06,0.08,-1.09
1395,-0.82,4.51,-2.97,-0.09,0.06,-1.11
1404,0.43,3.79,-2.36,-0.08,0.01,-1.11
1413,-2.49,6.16,1.27,-0.09,0.01,-1.09
1422,0.39,3.20,-1.15,-0.07,0.08,-1.12
1431,-0.57,4.27,-2.94,-0.05,0.04,-1.09
1440,-1.75,4.39,-0.58,-0.09,0.02,-1.11
1449,1.32,3.25,-1.30,-0.10,0.01,-1.12
1458,0.56,3.01,-0.14,-0.06,0.06,-1.10
1467,-2.20,4.81,0.10,-0.08,0.04,-1.08
1476,-0.39,4.74,-3.26,-0.08,0.06,-1.09
1485,1.16,2.44,-2.30,-0.07,-0.01,-1.09
