timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.40,3.55,-2.32,-0.07,0.05,-1.11
9,-1.00,3.00,-1.33,-0.09,0.02,-1.11
18,-0.74,3.65,-0.63,-0.09,0.02,-1.11
27,-0.66,3.95,-0.54,-0.06,0.06,-1.09
36,-1.37,4.92,-1.41,-0.07,0.08,-1.10
45,-1.10,6.02,-2.73,-0.08,0.04,-1.11
54,-0.60,4.80,-1.74,-0.08,-0.01,-1.10
63,-1.25,4.83,-0.03,-0.08,0.05,-1.11
72,-0.35,3.37,-0.91,-0.06,0.07,-1.08
81,-0.88,3.32,-1.62,-0.07,0.06,-1.11
90,-0.65,3.05,-1.47,-0.10,0.00,-1.11
99,-1.07,4.09,-0.99,-0.08,0.03,-1.11
108,-0.65,4.55,-0.19,-0.07,0.06,-1.10
117,-0.86,5.16,-2.18,-0.06,0.08,-1.09
126,-0.61,4.98,-2.19,-0.08,0.01,-1.11
135,-0.93,4.48,-1.42,-0.09,0.01,-1.11
144,0.41,2.19,-0.84,-0.07,0.03,-1.08
153,-1.28,3.90,-0.66,-0.07,0.09,-1.10
162,-0.21,2.77,-1.92,-0.08,0.05,-1.11
171,-0.84,4.74,-1.95,-0.09,0.01,-1.10
180,-0.42,3.48,-0.83,-0.08,0.02,-1.09
189,-1.39,5.52,-1.44,-0.07,0.08,-1.10
198,0.17,4.03,-1.92,-0.06,0.06,-1.10
207,-1.32,3.99,-1.69,-0.09,0.01,-1.10
216,-0.37,2.98,-0.80,-0.09,0.01,-1.11
225,-1.76,4.46,-1.03,-0.06,0.05,-1.09
234,-1.09,3.51,-0.78,-0.07,0.09,-1.10
243,-1.03,5.43,-2.41,-0.08,0.03,-1.10
252,-0.47,4.90,-1.99,-0.08,0.01,-1.10
261,-2.27,5.65,0.17,-0.08,0.01,-1.10
270,-0.33,3.74,-1.69,-0.06,0.10,-1.09
279,-0.19,3.57,-2.30,-0.06,0.04,-1.10
288,-1.60,3.93,-1.12,-0.09,0.03,-1.10
297,-0.18,3.57,-1.03,-0.09,0.00,-1.10
306,-1.18,4.22,-0.32,-0.06,0.08,-1.09
315,-1.32,4.46,-1.13,-0.07,0.07,-1.10
324,-0.56,5.68,-3.29,-0.08,0.05,-1.09
333,-0.81,4.52,-1.28,-0.08,-0.01,-1.10
342,-2.65,6.91,0.76,-0.09,0.05,-1.13
351,0.64,2.94,-1.62,-0.06,0.06,-1.09
360,-1.45,3.87,-1.18,-0.06,0.06,-1.09
369,-1.01,3.43,-1.31,-0.10,0.03,-1.13
378,-0.18,3.60,-1.53,-0.08,0.02,-1.10
387,-1.10,3.96,0.62,-0.07,0.06,-1.10
396,-1.38,5.07,-1.69,-0.07,0.08,-1.10
405,-0.80,5.81,-2.86,-0.07,0.03,-1.11
