timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.95,4.41,-1.81,-0.09,0.04,-1.10
9,0.09,4.19,-2.45,-0.09,0.01,-1.10
18,-1.38,4.28,-0.16,-0.08,0.02,-1.09
27,-1.56,4.89,-0.46,-0.08,0.08,-1.10
36,0.25,3.63,-2.72,-0.06,0.06,-1.09
45,-1.26,4.07,-1.58,-0.08,0.02,-1.09
54,-1.21,4.02,-0.50,-0.09,0.02,-1.12
63,-0.10,3.50,-1.29,-0.07,0.05,-1.09
72,-1.51,4.56,-0.93,-0.06,0.08,-1.08
81,-1.02,4.27,-2.26,-0.09,0.04,-1.11
90,-0.18,4.33,-2.21,-0.08,0.00,-1.09
99,-1.11,3.76,-0.42,-0.07,0.03,-1.09
108,-1.56,4.85,-0.56,-0.07,0.08,-1.10
117,-0.21,4.40,-2.71,-0.07,0.05,-1.10
126,-1.11,3.87,-1.42,-0.08,0.01,-1.09
135,-1.07,3.92,-0.46,-0.09,0.02,-1.12
144,0.05,3.37,-1.37,-0.06,0.06,-1.09
153,-1.14,4.08,-1.02,-0.07,0.07,-1.11
162,-0.96,4.10,-1.82,-0.09,0.04,-1.12
171,0.10,4.26,-2.21,-0.08,0.01,-1.10
180,-1.23,4.13,-0.06,-0.07,0.04,-1.10
189,-1.31,4.66,-0.73,-0.07,0.09,-1.09
198,0.08,4.28,-3.08,-0.06,0.05,-1.08
207,-1.11,4.24,-1.39,-0.08,0.01,-1.10
216,-1.15,3.94,-0.14,-0.09,0.02,-1.09
225,0.12,3.36,-1.47,-0.06,0.07,-1.08
234,-1.22,4.20,-1.13,-0.06,0.07,-1.09
243,-0.82,4.20,-1.88,-0.09,0.03,-1.10
252,0.04,3.97,-1.72,-0.08,-0.00,-1.09
261,-1.29,4.42,0.12,-0.08,0.04,-1.09
270,-1.06,4.41,-0.96,-0.07,0.08,-1.11
279,0.37,3.46,-2.71,-0.07,0.04,-1.10
288,-1.10,4.47,-1.27,-0.09,0.01,-1.11
297,-0.90,3.84,-0.34,-0.09,0.03,-1.11
306,-0.26,3.84,-0.90,-0.06,0.07,-1.09
315,-0.69,4.04,-1.57,-0.06,0.07,-1.10
324,-0.59,4.11,-2.07,-0.09,0.02,-1.11
333,-0.34,3.91,-1.08,-0.09,0.00,-1.10
342,-0.88,4.05,-0.34,-0.07,0.05,-1.09
351,-1.04,4.17,-0.98,-0.07,0.08,-1.09
360,-0.06,3.79,-2.60,-0.08,0.04,-1.09
369,-0.66,4.25,-1.77,-0.09,-0.00,-1.11
378,-1.48,4.51,-0.13,-0.09,0.03,-1.12
387,-0.78,4.48,-0.83,-0.07,0.07,-1.11
396,-0.21,3.64,-2.24,-0.06,0.06,-1.09
405,-1.16,4.14,-1.70,-0.09,0.02,-1.11
414,-0.66,3.96,-1.09,-0.09,0.01,-1.12
423,-0.79,3.87,-0.47,-0.07,0.05,-1.08
432,-1.34,4.38,-0.70,-0.07,0.08,-1.10
441,-0.33,4.31,-2.63,-0.08,0.04,-1.09
450,-0.54,4.34,-1.85,-0.08,0.00,-1.10
459,-1.65,4.49,0.02,-0.08,0.03,-1.11
468,-0.78,4.55,-1.02,-0.07,0.08,-1.10
477,-0.39,4.03,-2.02,-0.07,0.05,-1.09
486,-1.42,4.21,-1.50,-0.09,0.02,-1.11
495,-0.50,3.87,-1.31,-0.09,0.02,-1.10
504,-0.71,3.72,-0.81,-0.07,0.06,-1.10
513,-1.61,4.47,-0.67,-0.07,0.08,-1.10
522,-0.20,4.17,-2.98,-0.08,0.04,-1.11
531,-0.51,4.38,-1.97,-0.08,0.01,-1.09
540,-1.86,4.42,0.13,-0.08,0.04,-1.10
549,-0.71,4.28,-1.48,-0.07,0.08,-1.10
558,-0.59,4.25,-2.28,-0.07,0.05,-1.08
567,-1.69,4.30,-1.18,-0.09,0.02,-1.11
576,-0.17,3.83,-1.34,-0.08,0.02,-1.10
585,-0.54,3.87,-0.87,-0.06,0.07,-1.10
594,-1.51,4.55,-0.59,-0.08,0.07,-1.11
603,-0.06,3.92,-2.63,-0.08,0.03,-1.11
612,-0.23,3.89,-1.62,-0.08,-0.01,-1.09
621,-1.73,4.89,0.26,-0.08,0.05,-1.11
630,-0.45,4.12,-1.55,-0.06,0.07,-1.08
639,-0.37,4.15,-2.32,-0.07,0.05,-1.10
648,-1.75,4.42,-0.97,-0.10,0.01,-1.11
657,-0.13,4.01,-1.25,-0.08,0.02,-1.11
666,-1.31,4.11,-0.09,-0.06,0.06,-1.08
675,-0.77,4.06,-1.53,-0.07,0.08,-1.11
684,0.51,3.97,-3.11,-0.08,0.02,-1.11
693,-1.22,4.15,-0.52,-0.08,-0.00,-1.11
702,-1.76,4.86,0.23,-0.08,0.06,-1.12
711,0.22,3.66,-2.14,-0.06,0.08,-1.09
720,-0.98,4.10,-1.82,-0.07,0.04,-1.07
729,-0.80,3.92,-1.34,-0.10,0.01,-1.10
738,-0.19,3.95,-1.22,-0.08,0.03,-1.11
747,-1.33,4.15,-0.22,-0.06,0.07,-1.10
756,-1.02,4.02,-1.63,-0.08,0.07,-1.11
765,0.30,4.03,-3.00,-0.08,0.02,-1.11
774,-1.29,4.22,-0.73,-0.09,0.00,-1.10
783,-1.53,4.39,0.11,-0.09,0.06,-1.10
792,0.04,3.87,-2.23,-0.06,0.07,-1.10
801,-1.09,4.33,-1.84,-0.07,0.04,-1.10
810,-1.05,4.17,-1.26,-0.10,0.00,-1.11
819,-0.25,3.98,-1.18,-0.08,0.03,-1.09
828,-1.38,4.37,-0.48,-0.06,0.07,-1.11
837,-1.05,4.36,-1.58,-0.08,0.06,-1.10
846,-0.05,3.85,-2.57,-0.08,0.01,-1.09
855,-1.30,4.32,-0.59,-0.08,0.02,-1.10
864,-1.20,4.07,-0.31,-0.08,0.06,-1.11
873,-0.35,4.14,-1.74,-0.06,0.07,-1.09
882,-0.85,4.31,-1.95,-0.08,0.03,-1.09
891,-1.07,4.39,-1.24,-0.09,0.01,-1.11
900,-0.67,3.97,-0.88,-0.08,0.04,-1.11
909,-0.97,4.02,-1.02,-0.06,0.08,-1.10
918,-1.22,4.50,-1.76,-0.08,0.05,-1.11
927,-0.53,4.12,-2.15,-0.09,0.01,-1.10
936,-0.75,3.94,-1.00,-0.09,0.01,-1.11
945,-1.13,4.00,-0.49,-0.07,0.07,-1.08
954,-0.52,4.35,-1.77,-0.07,0.07,-1.10
963,-0.30,3.94,-2.21,-0.08,0.03,-1.10
972,-0.88,3.97,-0.97,-0.09,0.01,-1.09
981,-0.51,4.00,-0.52,-0.08,0.04,-1.11
990,-0.56,3.73,-1.21,-0.06,0.07,-1.08
999,-1.34,4.30,-1.54,-0.08,0.06,-1.12
1008,-0.40,4.25,-1.98,-0.09,0.01,-1.10
1017,-0.37,3.99,-0.94,-0.08,0.01,-1.08
1026,-1.28,4.29,-0.12,-0.07,0.07,-1.10
1035,-0.44,4.38,-1.92,-0.07,0.07,-1.10
1044,-0.09,3.85,-2.31,-0.08,0.01,-1.08
1053,-1.28,3.90,-0.26,-0.10,0.00,-1.11
1062,-0.39,3.95,-0.63,-0.07,0.05,-1.11
1071,-0.28,3.50,-1.56,-0.06,0.07,-1.08
1080,-1.43,4.25,-1.49,-0.08,0.05,-1.12
1089,-0.45,4.32,-2.09,-0.10,-0.01,-1.10
1098,-0.70,4.39,-0.89,-0.08,0.02,-1.09
1107,-1.58,4.47,-0.00,-0.07,0.06,-1.09
1116,0.05,3.84,-2.40,-0.07,0.07,-1.10
1125,0.06,3.84,-2.40,-0.08,0.01,-1.08
1134,-1.67,3.92,-0.18,-0.10,0.01,-1.11
1143,-0.43,3.99,-0.57,-0.08,0.05,-1.09
1152,-0.26,3.80,-1.60,-0.06,0.07,-1.09
1161,-1.47,4.45,-1.41,-0.08,0.04,-1.11
1170,-0.06,4.17,-2.14,-0.09,0.00,-1.11
1179,-0.78,4.26,-0.87,-0.07,0.03,-1.07
1188,-1.83,4.52,0.13,-0.07,0.08,-1.11
1197,-0.11,3.85,-2.56,-0.07,0.07,-1.10
1206,-0.15,3.90,-2.44,-0.08,0.01,-1.09
1215,-1.77,4.26,-0.08,-0.10,0.02,-1.09
1224,-0.36,3.90,-0.86,-0.08,0.06,-1.10
1233,-0.46,4.07,-1.88,-0.06,0.07,-1.08
1242,-1.82,4.61,-1.38,-0.08,0.04,-1.11
1251,-0.31,4.33,-2.12,-0.09,0.01,-1.10
1260,-0.50,4.00,-0.90,-0.07,0.03,-1.08
1269,-1.85,4.56,0.27,-0.08,0.07,-1.11
1278,-0.34,4.24,-2.56,-0.07,0.06,-1.10
1287,-0.23,4.09,-2.31,-0.08,0.00,-1.10
1296,-1.74,4.33,0.15,-0.10,0.02,-1.12
1305,-0.00,3.38,-0.99,-0.07,0.06,-1.11
1314,-0.58,4.03,-1.74,-0.06,0.07,-1.08
1323,-1.68,4.59,-1.38,-0.09,0.03,-1.10
1332,-0.24,4.37,-1.94,-0.08,0.01,-1.10
1341,-0.67,4.12,-0.74,-0.07,0.04,-1.10
1350,-1.94,4.63,-0.30,-0.08,0.09,-1.12
1359,-0.51,4.52,-2.62,-0.07,0.06,-1.10
1368,-0.64,4.27,-2.09,-0.08,0.01,-1.10
1377,-1.44,4.15,-0.11,-0.09,0.02,-1.09
1386,-0.36,3.66,-1.19,-0.06,0.07,-1.10
1395,-0.51,4.06,-2.00,-0.06,0.07,-1.10
1404,-1.19,4.35,-1.62,-0.09,0.03,-1.11
1413,-0.30,4.03,-1.65,-0.09,0.00,-1.10
1422,-0.62,3.90,-0.58,-0.07,0.04,-1.08
1431,-1.27,4.28,-0.76,-0.07,0.08,-1.09
1440,-0.45,4.27,-2.38,-0.07,0.05,-1.09
1449,-0.58,4.45,-1.85,-0.09,0.00,-1.10
1458,-1.35,4.46,-0.23,-0.09,0.02,-1.12
1467,-0.68,4.34,-1.03,-0.06,0.07,-1.09
1476,-0.57,3.78,-1.95,-0.06,0.07,-1.09
1485,-0.99,4.22,-1.96,-0.09,0.01,-1.10
1494,-0.57,3.91,-1.17,-0.09,-0.00,-1.09
1503,-1.13,4.20,-0.23,-0.07,0.05,-1.09
1512,-1.16,4.33,-1.00,-0.07,0.08,-1.10
1521,-0.12,4.12,-2.55,-0.08,0.04,-1.11
1530,-0.77,4.29,-1.66,-0.09,-0.01,-1.09
1539,-1.71,4.70,-0.03,-0.09,0.03,-1.10
1548,-0.71,4.31,-1.06,-0.07,0.07,-1.09
1557,-0.40,3.71,-2.09,-0.06,0.07,-1.09
1566,-1.18,3.96,-1.64,-0.09,0.02,-1.12
1575,-0.54,3.96,-1.47,-0.09,0.02,-1.11
1584,-0.82,3.78,-0.66,-0.07,0.05,-1.10
1593,-1.55,4.66,-0.80,-0.07,0.09,-1.10
1602,-0.23,4.44,-2.61,-0.08,0.03,-1.10
1611,-0.51,4.54,-2.12,-0.08,0.01,-1.09
1621,-1.33,4.21,0.14,-0.08,0.05,-1.11
1630,-0.06,3.62,-1.54,-0.06,0.08,-1.09
1639,-1.37,4.45,-1.80,-0.07,0.05,-1.09
1648,-1.36,4.34,-1.36,-0.09,0.03,-1.09
1657,0.00,3.88,-1.45,-0.08,0.02,-1.10
1666,-1.18,4.26,-0.42,-0.06,0.07,-1.10
1675,-1.05,4.29,-1.21,-0.07,0.07,-1.09
1684,0.33,3.96,-2.86,-0.08,0.03,-1.10
1693,-0.75,3.73,-0.87,-0.08,-0.01,-1.09
1702,-1.71,4.76,0.18,-0.08,0.06,-1.11
1712,0.15,3.46,-1.81,-0.06,0.07,-1.09
1721,-1.47,4.55,-1.31,-0.08,0.04,-1.11
1730,-0.26,4.24,-1.93,-0.10,0.00,-1.11
1739,-0.58,4.54,-0.88,-0.07,0.03,-1.10
1748,-1.62,4.13,0.17,-0.07,0.07,-1.10
1757,-0.47,4.02,-2.25,-0.07,0.07,-1.11
1766,0.14,3.75,-2.75,-0.07,0.01,-1.09
1775,-1.88,4.34,-0.11,-0.09,0.02,-1.10
1784,-0.70,4.07,-0.64,-0.09,0.06,-1.11
1793,-0.25,3.93,-2.07,-0.05,0.06,-1.09
