timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.92,4.33,-1.36,-0.09,-0.01,-1.10
9,-0.54,3.94,-0.56,-0.09,0.04,-1.10
18,-0.61,3.91,-0.74,-0.06,0.06,-1.09
27,-1.21,3.51,-1.50,-0.07,0.07,-1.11
36,0.13,2.89,-1.94,-0.09,0.00,-1.11
45,-0.70,3.98,-1.03,-0.08,0.03,-1.09
54,-0.85,4.81,0.21,-0.08,0.04,-1.10
63,-0.91,4.93,-1.92,-0.07,0.09,-1.10
72,0.08,4.44,-2.22,-0.08,0.02,-1.11
81,-0.73,3.94,-1.25,-0.09,0.01,-1.10
90,0.51,2.56,-0.62,-0.08,0.03,-1.11
99,-1.09,4.55,-0.58,-0.06,0.07,-1.10
108,-0.14,2.39,-1.76,-0.08,0.06,-1.10
117,-0.40,4.18,-1.98,-0.09,0.01,-1.09
126,-0.08,3.59,-1.31,-0.08,0.02,-1.09
135,-1.40,5.26,-0.10,-0.07,0.07,-1.09
144,-0.38,4.43,-1.78,-0.07,0.07,-1.09
153,0.15,3.49,-2.48,-0.08,0.00,-1.07
162,-1.10,3.76,-0.99,-0.09,0.02,-1.10
171,-0.77,3.02,-0.44,-0.08,0.04,-1.09
180,-0.72,3.83,-1.31,-0.06,0.09,-1.11
189,0.04,2.85,-2.30,-0.08,0.04,-1.10
198,-1.17,5.37,-1.75,-0.09,0.02,-1.09
207,-0.55,4.56,-0.89,-0.08,0.00,-1.09
216,-1.12,4.45,-0.75,-0.06,0.08,-1.09
225,-0.57,4.27,-1.54,-0.07,0.05,-1.08
234,-0.17,3.64,-2.62,-0.08,0.02,-1.09
243,-0.76,3.50,-0.77,-0.08,0.00,-1.10
252,-1.80,3.87,0.18,-0.08,0.06,-1.10
261,-0.60,3.89,-1.35,-0.06,0.07,-1.09
270,-0.72,4.33,-2.52,-0.07,0.04,-1.08
279,-1.40,5.36,-1.31,-0.09,0.01,-1.11
288,-1.12,5.75,-0.65,-0.08,0.02,-1.09
297,-0.30,3.23,-1.10,-0.06,0.07,-1.09
306,-1.27,4.01,-1.57,-0.07,0.07,-1.11
315,-0.15,3.17,-2.65,-0.09,0.02,-1.10
324,-0.72,3.45,-0.52,-0.09,0.00,-1.10
333,-1.53,3.95,0.26,-0.08,0.07,-1.10
342,-0.97,4.94,-1.76,-0.06,0.07,-1.09
351,-1.32,5.60,-2.73,-0.07,0.05,-1.10
360,-1.19,5.01,-1.25,-0.09,-0.01,-1.11
369,-1.06,5.22,-0.57,-0.08,0.05,-1.10
378,-0.26,3.36,-0.75,-0.07,0.06,-1.08
387,-1.76,4.22,-1.60,-0.07,0.08,-1.10
396,0.50,2.37,-2.30,-0.09,-0.01,-1.09
405,-0.88,3.64,-0.77,-0.09,0.03,-1.10
414,-0.58,3.99,0.33,-0.08,0.04,-1.10
423,-0.85,5.51,-2.20,-0.06,0.09,-1.09
432,-0.01,4.35,-2.28,-0.07,0.01,-1.09
441,-0.93,4.54,-1.52,-0.08,0.01,-1.11
450,0.18,2.89,-0.96,-0.08,0.03,-1.09
459,-1.10,4.26,-0.42,-0.07,0.08,-1.08
468,-0.15,3.26,-2.06,-0.08,0.05,-1.10
477,-0.97,4.97,-2.10,-0.09,0.02,-1.10
