timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.88,3.77,-0.91,-0.08,0.00,-1.11
7,-1.60,4.98,0.04,-0.08,0.04,-1.10
14,-1.44,4.93,-0.22,-0.07,0.07,-1.10
21,-1.10,4.40,-1.14,-0.07,0.07,-1.10
28,-0.37,3.20,-1.84,-0.08,0.04,-1.10
35,-1.24,4.24,-1.32,-0.09,0.01,-1.12
42,-1.20,4.20,-0.55,-0.09,0.02,-1.10
49,-0.80,3.64,-0.51,-0.08,0.05,-1.09
56,-0.94,4.27,-1.08,-0.07,0.07,-1.09
63,-0.68,4.56,-2.18,-0.07,0.07,-1.10
70,-0.76,4.91,-2.32,-0.08,0.02,-1.10
77,-0.38,4.16,-1.72,-0.09,-0.00,-1.11
85,-1.13,4.64,-0.30,-0.08,0.03,-1.09
92,-1.04,4.10,-0.35,-0.07,0.06,-1.10
99,-0.63,3.67,-1.08,-0.06,0.08,-1.10
106,-0.76,3.95,-1.72,-0.07,0.05,-1.11
113,-0.80,4.03,-1.90,-0.09,0.02,-1.10
120,-0.81,3.89,-1.01,-0.09,0.01,-1.10
127,-1.52,5.13,-0.07,-0.09,0.05,-1.09
134,-1.19,4.94,-0.74,-0.07,0.08,-1.09
141,-0.75,4.41,-1.67,-0.07,0.07,-1.10
148,-0.03,3.52,-2.37,-0.08,0.04,-1.10
155,-0.44,4.18,-2.04,-0.09,0.01,-1.10
162,-0.80,4.36,-1.00,-0.09,0.01,-1.10
169,-0.34,3.06,-0.71,-0.07,0.04,-1.09
176,-0.48,3.46,-1.00,-0.06,0.06,-1.10
183,-0.34,4.13,-2.07,-0.06,0.06,-1.09
191,-0.99,4.29,-1.52,-0.09,0.01,-1.10
198,-0.98,3.88,-0.97,-0.09,0.01,-1.09
205,-1.53,4.39,0.09,-0.08,0.02,-1.09
212,-1.19,4.23,0.11,-0.08,0.06,-1.09
219,-1.20,4.08,-0.86,-0.07,0.08,-1.10
226,-1.04,3.96,-1.47,-0.09,0.05,-1.12
233,-0.82,4.03,-1.76,-0.10,0.03,-1.11
240,-0.88,3.75,-0.57,-0.09,0.02,-1.11
247,-1.72,5.22,-0.00,-0.09,0.04,-1.11
254,-1.05,5.08,-1.14,-0.07,0.08,-1.09
261,-0.78,4.52,-2.14,-0.07,0.07,-1.11
268,0.06,4.09,-2.93,-0.08,0.03,-1.11
275,-0.18,4.29,-2.30,-0.09,0.00,-1.10
283,-0.48,4.50,-1.42,-0.08,0.02,-1.09
291,-1.72,4.58,-0.23,-0.06,0.07,-1.10
298,-1.18,4.21,-0.66,-0.06,0.07,-1.08
305,-1.22,3.85,-1.34,-0.06,0.06,-1.09
312,-1.47,3.84,-1.44,-0.08,0.01,-1.09
319,-1.24,3.92,-0.71,-0.09,-0.00,-1.11
326,-1.93,4.67,0.34,-0.08,0.02,-1.11
333,-1.63,4.75,0.77,-0.08,0.06,-1.10
340,-1.56,4.40,-0.47,-0.07,0.08,-1.10
347,-1.35,3.82,-1.23,-0.09,0.05,-1.11
354,-1.50,4.11,-1.26,-0.10,0.02,-1.12
