timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.43,3.14,-2.27,-0.08,0.03,-1.10
7,-0.44,4.17,-1.62,-0.09,0.00,-1.11
14,-1.25,5.11,-0.54,-0.08,0.01,-1.09
21,-0.35,4.03,-0.32,-0.07,0.05,-1.09
30,-0.96,4.76,-1.44,-0.06,0.08,-1.08
38,-0.28,4.24,-2.46,-0.07,0.03,-1.08
45,-0.57,5.14,-1.87,-0.09,0.01,-1.10
52,-0.44,4.37,-0.86,-0.09,0.02,-1.09
59,-1.94,5.30,-0.44,-0.07,0.08,-1.10
66,-1.74,5.13,-0.96,-0.07,0.09,-1.09
74,-1.09,3.58,-1.80,-0.07,0.06,-1.08
81,-0.86,3.22,-1.39,-0.10,0.02,-1.10
88,-0.88,3.00,-1.11,-0.09,0.03,-1.10
95,-3.02,6.41,0.69,-0.08,0.03,-1.11
102,-1.81,5.26,-0.37,-0.08,0.05,-1.09
110,-0.42,4.49,-1.62,-0.07,0.07,-1.11
117,-0.46,5.25,-2.70,-0.08,0.05,-1.09
126,-0.06,3.76,-1.66,-0.09,-0.01,-1.09
137,0.45,1.58,-0.66,-0.09,0.03,-1.10
145,-0.09,3.30,-0.96,-0.07,0.05,-1.09
153,-0.48,2.58,-1.85,-0.05,0.08,-1.08
161,-1.02,2.76,-1.29,-0.10,0.02,-1.10
168,-1.42,2.82,0.22,-0.09,0.01,-1.10
175,-3.56,6.74,1.04,-0.09,0.05,-1.11
183,-2.13,4.94,-0.40,-0.06,0.11,-1.11
192,0.53,3.36,-2.32,-0.07,0.05,-1.08
199,0.84,3.53,-3.24,-0.06,0.02,-1.07
206,0.01,4.92,-2.56,-0.09,-0.03,-1.09
213,0.87,3.79,-1.96,-0.08,-0.01,-1.08
220,0.28,3.47,-0.81,-0.07,0.04,-1.09
228,-0.85,3.86,-0.91,-0.06,0.08,-1.08
235,-1.82,4.11,-1.21,-0.07,0.05,-1.09
242,-1.11,2.49,-0.69,-0.10,0.01,-1.10
249,-1.30,2.51,0.30,-0.09,0.00,-1.09
256,-2.61,5.62,1.57,-0.09,0.05,-1.12
263,-2.88,5.80,-0.02,-0.07,0.10,-1.10
270,-2.12,5.99,-1.10,-0.07,0.09,-1.09
277,-1.89,6.40,-1.84,-0.09,0.06,-1.11
284,-1.58,5.71,-1.93,-0.10,0.02,-1.10
291,-1.12,4.21,-0.83,-0.11,0.02,-1.12
298,-0.21,2.26,-0.79,-0.08,0.05,-1.10
306,-0.63,4.26,-1.48,-0.06,0.08,-1.09
313,1.03,2.16,-3.03,-0.05,0.07,-1.08
320,0.66,3.06,-3.04,-0.07,0.01,-1.07
327,0.16,4.23,-2.26,-0.07,-0.01,-1.09
334,-0.08,4.05,-1.79,-0.06,0.01,-1.07
341,0.44,3.06,-0.35,-0.06,0.03,-1.08
348,-0.48,3.64,-1.16,-0.05,0.07,-1.08
355,-0.95,3.59,-1.50,-0.07,0.05,-1.09
362,-0.90,2.73,-1.00,-0.09,0.01,-1.10
369,-1.21,2.80,-0.03,-0.09,0.00,-1.09
376,-2.99,6.16,1.46,-0.09,0.04,-1.11
383,-3.08,5.95,0.08,-0.07,0.09,-1.10
390,-2.13,5.52,-0.63,-0.08,0.09,-1.10
398,0.56,3.81,-3.10,-0.07,0.03,-1.09
405,-0.09,5.01,-2.70,-0.09,-0.01,-1.09
412,-0.32,3.97,-1.29,-0.09,0.02,-1.09
419,-0.94,4.39,-1.13,-0.07,0.08,-1.09
426,-0.39,4.10,-2.07,-0.05,0.08,-1.09
434,-1.06,4.43,-1.71,-0.07,0.05,-1.10
443,-1.22,4.06,-1.24,-0.09,0.01,-1.10
450,-1.41,4.31,-0.58,-0.10,0.02,-1.11
457,-0.81,3.06,0.22,-0.09,0.03,-1.09
464,-1.39,3.99,-0.43,-0.07,0.07,-1.09
471,-0.91,4.48,-1.30,-0.07,0.07,-1.09
478,-0.55,4.54,-2.50,-0.08,0.03,-1.09
485,-0.91,5.13,-1.97,-0.09,0.01,-1.11
492,-0.56,4.00,-1.03,-0.09,0.03,-1.10
499,-1.32,4.49,-0.45,-0.07,0.07,-1.10
506,-1.19,4.25,-1.03,-0.07,0.09,-1.11
513,-0.27,2.78,-2.38,-0.07,0.08,-1.09
520,-0.20,3.25,-2.43,-0.08,0.02,-1.10
527,-0.45,4.42,-1.67,-0.09,0.01,-1.10
534,-0.99,4.84,-0.78,-0.08,0.02,-1.09
541,-0.14,3.88,-0.41,-0.07,0.05,-1.09
548,-0.72,4.43,-1.44,-0.06,0.07,-1.08
555,-1.08,5.09,-1.95,-0.08,0.05,-1.09
562,-0.46,3.71,-2.12,-0.09,0.01,-1.09
569,-0.35,2.76,-0.84,-0.09,-0.01,-1.10
576,-0.83,4.14,-0.18,-0.09,0.03,-1.11
583,-0.37,3.02,-0.83,-0.06,0.07,-1.08
591,0.19,2.87,-1.83,-0.07,0.05,-1.09
599,-0.23,3.45,-2.32,-0.08,0.03,-1.10
606,-0.62,4.17,-1.44,-0.09,0.00,-1.08
615,-0.94,4.08,-0.06,-0.09,0.04,-1.10
623,-0.19,2.87,-0.94,-0.06,0.08,-1.09
631,0.33,2.93,-1.93,-0.06,0.06,-1.09
639,-0.44,2.93,-2.15,-0.08,0.02,-1.09
647,-0.93,3.16,-0.99,-0.08,0.02,-1.09
655,-1.25,4.13,0.30,-0.09,0.05,-1.10
662,-1.80,5.16,-0.37,-0.07,0.09,-1.10
669,-1.48,5.03,-1.32,-0.07,0.08,-1.09
677,0.47,4.28,-2.95,-0.07,0.03,-1.10
684,-0.34,5.10,-2.64,-0.09,-0.01,-1.09
692,0.64,3.51,-1.69,-0.07,-0.00,-1.09
699,-0.03,3.75,-0.41,-0.07,0.06,-1.09
706,-1.29,4.74,-1.32,-0.07,0.09,-1.09
713,0.67,2.13,-2.55,-0.05,0.08,-1.08
720,-0.49,3.33,-2.58,-0.07,0.03,-1.10
727,-0.81,3.06,-1.15,-0.08,0.01,-1.08
734,-0.67,4.23,-1.43,-0.07,0.02,-1.09
741,-0.16,3.53,0.13,-0.08,0.04,-1.09
748,-0.73,3.71,-1.06,-0.06,0.07,-1.09
755,-1.79,4.05,-1.34,-0.09,0.04,-1.09
762,-0.75,2.54,-0.99,-0.10,0.01,-1.09
769,-1.17,2.55,0.05,-0.10,-0.01,-1.09
776,0.06,1.54,0.06,-0.10,0.03,-1.11
783,-0.49,2.82,-0.83,-0.07,0.10,-1.10
790,-0.84,4.95,-1.63,-0.08,0.07,-1.11
797,0.42,5.03,-3.10,-0.08,0.06,-1.11
