timestamp,accX,accY,accZ
0,-3448,12484,-6684
2,-3416,12280,-6728
3,-3420,12368,-6572
4,-3400,12436,-6544
5,-3372,12416,-6640
7,-3364,12456,-6564
8,-3400,12468,-6600
9,-3436,12500,-6660
10,-3316,12496,-6784
11,-3344,12448,-6792
13,-3428,12548,-6736
14,-3528,12328,-6740
15,-3560,12336,-6720
16,-3512,12376,-6708
18,-3512,12376,-6700
19,-3432,12188,-6852
20,-3536,12532,-7012
21,-3500,12584,-6960
22,-3504,12524,-6744
24,-3496,12444,-6780
25,-3624,12484,-6760
26,-3460,12548,-6852
27,-3440,12436,-6864
29,-3592,12388,-6800
30,-3432,12440,-6832
31,-3468,12424,-6912
32,-3504,12580,-6720
33,-3528,12560,-6784
35,-3588,12460,-6728
36,-3500,12268,-6752
37,-3472,12340,-6744
38,-3452,12616,-6896
40,-3556,12440,-6784
41,-3580,12432,-6744
42,-3568,12428,-6676
43,-3544,12404,-6724
44,-3552,12560,-6752
46,-3492,12436,-6812
47,-3480,12256,-6824
48,-3452,12276,-6764
49,-3336,12388,-6652
51,-3412,12540,-6800
52,-3584,12472,-6860
53,-3632,12212,-6872
54,-3628,12308,-6788
56,-3628,12352,-6824
57,-3552,12384,-6796
58,-3500,12540,-6764
59,-3504,12448,-6808
60,-3456,12464,-6796
62,-3416,12508,-6812
63,-3452,12484,-6756
64,-3456,12484,-6688
65,-3452,12556,-6724
67,-3468,12516,-6748
68,-3504,12364,-6748
69,-3452,12536,-6788
70,-3412,12384,-6788
72,-3476,12468,-6696
73,-3472,12484,-6632
74,-3364,12444,-6584
75,-3324,12476,-6604
77,-3392,12524,-6652
78,-3376,12568,-6692
79,-3360,12532,-6752
80,-3312,12500,-6812
81,-3256,12412,-6672
83,-3308,12368,-6692
84,-3392,12328,-6672
85,-3548,12212,-6612
86,-3516,12388,-6680
88,-3484,12404,-6732
89,-3488,12176,-6796
90,-3440,12536,-6808
91,-3292,12504,-6644
93,-3344,12332,-6696
94,-3444,12356,-6660
95,-3480,12356,-6644
96,-3376,12380,-6680
98,-3368,12364,-6800
99,-3448,12488,-6720
100,-3356,12464,-6700
101,-3436,12464,-6652
102,-3532,12360,-6600
104,-3448,12436,-6716
105,-3416,12432,-6712
106,-3404,12448,-6720
107,-3540,12488,-6692
109,-3524,12540,-6640
110,-3516,12556,-6672
111,-3576,12268,-6732
112,-3504,12336,-6780
114,-3512,12536,-6808
115,-3496,12536,-6776
116,-3512,12384,-6836
117,-3436,12432,-6796
119,-3472,12560,-6708
120,-3512,12468,-6604
121,-3500,12620,-6628
122,-3472,12548,-6636
124,-3492,12588,-6640
125,-3396,12460,-6660
126,-3408,12372,-6708
127,-3372,12432,-6648
129,-3412,12364,-6740
130,-3588,12376,-6756
131,-3608,12292,-6668
132,-3464,12268,-6780
133,-3516,12312,-6648
135,-3408,12376,-6660
136,-3296,12500,-6676
137,-3292,12676,-6764
138,-3388,12664,-6624
140,-3404,12464,-6720
141,-3404,12532,-6800
142,-3540,12408,-6708
143,-3476,12280,-6720
145,-3460,12276,-6720
146,-3560,12320,-6736
147,-3564,12292,-6640
148,-3500,12300,-6640
150,-3432,12356,-6652
151,-3456,12376,-6668
152,-3456,12372,-6756
153,-3520,12576,-6716
154,-3476,12468,-6768
156,-3480,12520,-6672
157,-3444,12684,-6608
158,-3516,12580,-6744
159,-3468,12408,-6784
161,-3436,12364,-6732
162,-3496,12500,-6672
163,-3608,12420,-6708
164,-3524,12372,-6676
166,-3492,12356,-6672
167,-3404,12352,-6740
168,-3412,12648,-6684
169,-3468,12540,-6784
171,-3464,12432,-6704
172,-3440,12428,-6700
173,-3428,12388,-6708
174,-3492,12356,-6792
176,-3404,12380,-6736
177,-3500,12404,-6816
178,-3508,12360,-6708
179,-3596,12504,-6760
180,-3548,12448,-6776
182,-3484,12320,-6788
183,-3536,12320,-6700
184,-3508,12532,-6736
185,-3508,12488,-6772
187,-3440,12532,-6960
188,-3396,12404,-6796
189,-3552,12400,-6800
190,-3640,12364,-6728
192,-3568,12464,-6708
193,-3540,12404,-6848
194,-3508,12356,-6792
195,-3480,12528,-6752
197,-3512,12628,-6780
198,-3440,12476,-6848
199,-3388,12568,-6824
200,-3432,12408,-6776
202,-3552,12428,-6880
203,-3536,12412,-6692
204,-3412,12332,-6660
205,-3452,12480,-6668
206,-3440,12364,-6812
208,-3440,12388,-6736
209,-3448,12408,-6668
210,-3420,12512,-6640
211,-3432,12524,-6600
213,-3468,12364,-6652
214,-3484,12284,-6608
215,-3492,12372,-6732
216,-3424,12428,-6736
218,-3380,12464,-6752
219,-3380,12256,-6552
220,-3408,12400,-6612
221,-3428,12384,-6640
223,-3504,12308,-6676
224,-3456,12364,-6592
225,-3480,12456,-6708
226,-3452,12444,-6764
228,-3404,12384,-6760
229,-3512,12388,-6804
230,-3516,12404,-6744
231,-3652,12252,-6756
233,-3584,12152,-6756
234,-3528,12472,-6784
235,-3448,12344,-6768
236,-3512,12288,-6716
237,-3512,12436,-6768
239,-3464,12292,-6688
240,-3568,12484,-6696
241,-3584,12564,-6668
242,-3448,12416,-6652
244,-3492,12376,-6764
245,-3480,12436,-6740
246,-3484,12392,-6712
