timestamp,accX,accY,accZ
0,-3452,12492,-6784
2,-3560,12504,-6844
3,-3564,12404,-6732
4,-3492,12476,-6728
5,-3496,12544,-6808
6,-3484,12444,-6708
8,-3484,12484,-6680
9,-3428,12412,-6612
10,-3436,12468,-6692
11,-3512,12404,-6732
13,-3400,12444,-6800
14,-3416,12472,-6848
15,-3500,12504,-6816
16,-3576,12360,-6812
18,-3600,12360,-6828
19,-3584,12420,-6796
20,-3608,12544,-6756
21,-3612,12492,-6792
23,-3548,12520,-6892
24,-3512,12324,-6876
25,-3488,12376,-6884
26,-3572,12412,-6844
27,-3668,12484,-6816
29,-3540,12428,-6856
30,-3456,12336,-6712
31,-3448,12300,-6796
32,-3456,12296,-6812
34,-3456,12468,-6796
35,-3444,12560,-6784
36,-3476,12492,-6836
37,-3472,12460,-6768
39,-3508,12516,-6828
40,-3480,12404,-6844
41,-3404,12488,-6812
42,-3460,12432,-6748
44,-3540,12376,-6720
45,-3584,12448,-6700
46,-3532,12544,-6716
47,-3412,12428,-6700
49,-3416,12424,-6728
50,-3388,12504,-6728
51,-3396,12444,-6832
52,-3556,12404,-6764
54,-3592,12480,-6796
55,-3492,12452,-6768
56,-3444,12356,-6800
57,-3492,12416,-6856
58,-3544,12400,-6816
60,-3500,12484,-6804
61,-3444,12572,-6844
62,-3528,12536,-6932
63,-3540,12560,-6896
65,-3480,12536,-6768
66,-3624,12456,-6932
67,-3632,12528,-6888
68,-3528,12436,-6788
69,-3560,12280,-6780
71,-3488,12236,-6768
72,-3552,12324,-6800
73,-3560,12432,-6760
74,-3532,12356,-6768
76,-3552,12628,-6812
77,-3472,12500,-6752
78,-3408,12548,-6796
79,-3388,12576,-6704
81,-3344,12356,-6696
82,-3392,12384,-6624
83,-3420,12480,-6668
84,-3464,12492,-6584
86,-3460,12356,-6616
87,-3516,12396,-6604
88,-3444,12480,-6620
89,-3408,12404,-6728
91,-3528,12452,-6716
92,-3452,12424,-6676
93,-3380,12540,-6700
94,-3336,12380,-6560
96,-3400,12516,-6524
97,-3392,12388,-6688
98,-3312,12440,-6640
99,-3360,12424,-6592
101,-3304,12604,-6524
102,-3324,12552,-6536
103,-3380,12452,-6628
104,-3464,12300,-6628
105,-3500,12312,-6612
107,-3368,12468,-6656
108,-3364,12504,-6612
109,-3416,12496,-6784
110,-3416,12624,-6844
112,-3480,12632,-6868
113,-3540,12508,-6884
114,-3492,12472,-6720
115,-3504,12508,-6608
117,-3404,12484,-6616
118,-3496,12480,-6660
119,-3464,12372,-6596
120,-3432,12464,-6664
122,-3448,12500,-6720
123,-3488,12524,-6740
124,-3368,12448,-6692
125,-3460,12480,-6620
126,-3636,12496,-6716
128,-3520,12460,-6748
129,-3564,12452,-6916
130,-3492,12400,-6896
131,-3484,12348,-6868
133,-3528,12392,-6852
134,-3476,12396,-6796
135,-3520,12448,-6736
136,-3564,12324,-6796
138,-3616,12492,-6792
139,-3520,12504,-6816
140,-3524,12480,-6776
141,-3460,12548,-6796
143,-3444,12472,-6776
144,-3580,12488,-6792
145,-3572,12448,-6824
146,-3504,12492,-6812
148,-3472,12440,-6756
149,-3528,12472,-6708
150,-3488,12512,-6776
151,-3472,12484,-6812
153,-3464,12384,-6740
154,-3412,12456,-6748
155,-3460,12604,-6780
156,-3488,12372,-6764
157,-3496,12548,-6724
159,-3484,12628,-6648
160,-3412,12464,-6724
161,-3476,12572,-6768
162,-3456,12464,-6804
164,-3460,12524,-6784
165,-3484,12492,-6704
166,-3512,12536,-6668
167,-3484,12472,-6784
169,-3480,12448,-6732
170,-3436,12512,-6708
171,-3484,12492,-6568
172,-3436,12260,-6596
174,-3476,12312,-6680
175,-3400,12392,-6724
176,-3432,12536,-6804
177,-3512,12552,-6684
178,-3408,12532,-6672
180,-3432,12664,-6696
181,-3572,12616,-6696
182,-3500,12444,-6656
183,-3476,12484,-6796
185,-3592,12452,-6692
186,-3532,12484,-6704
187,-3568,12400,-6732
188,-3548,12372,-6784
190,-3532,12424,-6752
191,-3544,12488,-6792
192,-3604,12428,-6748
193,-3508,12532,-6716
194,-3548,12452,-6820
196,-3524,12452,-6772
197,-3580,12464,-6816
198,-3568,12536,-6804
199,-3452,12424,-6900
201,-3436,12456,-6924
202,-3488,12536,-6800
203,-3504,12396,-6728
204,-3512,12424,-6788
206,-3504,12560,-6728
207,-3528,12536,-6792
208,-3604,12432,-6828
209,-3556,12376,-6772
210,-3484,12400,-6768
212,-3480,12360,-6776
213,-3552,12356,-6796
214,-3624,12596,-6728
215,-3540,12480,-6800
217,-3580,12548,-6692
218,-3428,12496,-6832
219,-3440,12540,-6776
220,-3464,12532,-6796
222,-3400,12584,-6640
223,-3472,12544,-6588
224,-3424,12424,-6584
225,-3420,12336,-6720
226,-3540,12196,-6732
228,-3476,12220,-6664
229,-3572,12192,-6632
230,-3448,12424,-6656
231,-3464,12432,-6720
233,-3404,12364,-6760
234,-3420,12420,-6808
235,-3500,12448,-6772
236,-3516,12436,-6692
238,-3512,12472,-6692
239,-3428,12512,-6664
240,-3428,12616,-6700
241,-3504,12568,-6740
243,-3516,12504,-6680
244,-3416,12404,-6532
245,-3468,12520,-6692
246,-3580,12508,-6736
