timestamp,accX,accY,accZ
0,-3408,12564,-6756
2,-3428,12564,-6700
3,-3448,12528,-6720
4,-3388,12504,-6672
5,-3388,12332,-6688
7,-3520,12432,-6696
8,-3420,12316,-6744
9,-3488,12400,-6608
10,-3492,12540,-6728
11,-3472,12376,-6660
13,-3440,12368,-6648
14,-3368,12288,-6660
15,-3396,12280,-6700
16,-3440,12548,-6708
18,-3452,12416,-6708
19,-3424,12376,-6608
20,-3428,12480,-6736
21,-3424,12484,-6712
23,-3484,12448,-6748
24,-3452,12588,-6724
25,-3380,12536,-6844
26,-3580,12480,-6828
28,-3608,12316,-6756
29,-3552,12388,-6816
30,-3568,12472,-6912
31,-3520,12456,-6848
32,-3468,12336,-6736
34,-3540,12552,-6868
35,-3612,12352,-6828
36,-3616,12300,-6836
37,-3628,12312,-6836
39,-3632,12440,-6900
40,-3616,12444,-6840
41,-3516,12532,-6888
42,-3516,12460,-6812
43,-3612,12532,-6760
45,-3580,12376,-6864
46,-3472,12444,-6816
47,-3512,12312,-6756
48,-3524,12240,-6824
50,-3548,12488,-6784
51,-3564,12360,-6796
52,-3476,12492,-6708
53,-3484,12360,-6724
54,-3528,12444,-6728
56,-3512,12500,-6684
57,-3576,12480,-6700
58,-3464,12580,-6680
59,-3356,12492,-6692
61,-3404,12452,-6752
62,-3480,12376,-6788
63,-3508,12484,-6736
64,-3500,12472,-6832
66,-3528,12512,-6688
67,-3612,12440,-6672
68,-3580,12320,-6692
69,-3516,12408,-6764
71,-3544,12444,-6704
72,-3420,12468,-6616
73,-3444,12408,-6664
74,-3444,12520,-6668
76,-3460,12444,-6708
77,-3484,12252,-6744
78,-3512,12460,-6700
79,-3516,12528,-6684
81,-3444,12496,-6760
82,-3360,12368,-6820
83,-3444,12392,-6780
84,-3432,12644,-6792
85,-3452,12548,-6712
87,-3544,12356,-6692
88,-3652,12228,-6720
89,-3628,12160,-6804
90,-3528,12392,-6728
92,-3328,12696,-6700
93,-3296,12712,-6852
94,-3416,12568,-6828
95,-3448,12568,-6792
97,-3556,12320,-6712
98,-3728,12200,-6740
99,-3612,12396,-6692
100,-3572,12588,-6712
101,-3516,12528,-6772
103,-3504,12704,-6856
104,-3344,12600,-6756
105,-3384,12520,-6760
106,-3416,12380,-6836
108,-3476,12356,-6836
109,-3548,12200,-6768
110,-3608,12316,-6748
111,-3576,12264,-6668
113,-3528,12320,-6612
114,-3440,12492,-6680
115,-3448,12508,-6628
116,-3356,12640,-6792
118,-3304,12568,-6716
119,-3384,12460,-6812
120,-3432,12368,-6640
121,-3428,12316,-6660
122,-3524,12444,-6820
124,-3484,12360,-6852
125,-3436,12344,-6812
126,-3448,12312,-6860
127,-3412,12348,-6696
129,-3500,12416,-6720
130,-3488,12336,-6592
131,-3500,12312,-6604
132,-3528,12432,-6536
133,-3456,12396,-6616
135,-3300,12604,-6616
136,-3268,12704,-6532
137,-3340,12516,-6552
138,-3384,12644,-6608
140,-3344,12536,-6464
141,-3396,12484,-6604
142,-3340,12392,-6752
143,-3572,12296,-6756
145,-3548,12292,-6768
146,-3556,12396,-6768
147,-3536,12348,-6792
148,-3512,12552,-6716
150,-3472,12500,-6788
151,-3532,12392,-6824
152,-3456,12464,-6776
153,-3496,12528,-6700
155,-3472,12416,-6684
156,-3448,12452,-6704
157,-3516,12380,-6644
158,-3508,12316,-6768
160,-3524,12520,-6840
161,-3516,12364,-6748
162,-3468,12320,-6668
163,-3472,12500,-6732
165,-3472,12408,-6776
166,-3500,12380,-6828
167,-3588,12252,-6732
168,-3560,12300,-6648
169,-3528,12212,-6740
171,-3444,12392,-6616
172,-3484,12504,-6816
173,-3456,12644,-6684
174,-3516,12484,-6716
176,-3520,12556,-6756
177,-3472,12492,-6948
178,-3456,12512,-6844
179,-3472,12392,-6852
180,-3572,12472,-6864
182,-3572,12496,-6844
183,-3524,12436,-6888
184,-3648,12484,-6792
185,-3692,12280,-6800
187,-3656,12420,-6820
188,-3604,12404,-6864
189,-3416,12404,-6704
190,-3452,12560,-6704
192,-3424,12556,-6612
193,-3344,12544,-6680
194,-3396,12672,-6804
195,-3432,12476,-6688
197,-3404,12444,-6716
198,-3492,12444,-6660
199,-3436,12476,-6628
200,-3568,12520,-6716
201,-3500,12304,-6688
203,-3432,12188,-6616
204,-3444,12384,-6584
205,-3452,12368,-6652
206,-3436,12376,-6584
208,-3392,12428,-6676
209,-3324,12240,-6692
210,-3336,12424,-6732
211,-3436,12528,-6600
213,-3496,12588,-6584
214,-3392,12392,-6568
215,-3428,12512,-6572
216,-3492,12560,-6640
217,-3432,12504,-6720
219,-3408,12512,-6656
220,-3444,12576,-6588
221,-3464,12420,-6660
222,-3408,12252,-6588
224,-3448,12256,-6592
225,-3492,12188,-6576
226,-3440,12280,-6632
227,-3476,12496,-6640
228,-3468,12684,-6648
230,-3408,12544,-6752
231,-3372,12520,-6644
232,-3392,12524,-6712
233,-3416,12636,-6636
235,-3512,12608,-6604
236,-3504,12508,-6764
237,-3544,12400,-6676
238,-3536,12476,-6652
240,-3508,12388,-6772
241,-3492,12332,-6652
242,-3500,12368,-6652
243,-3504,12452,-6788
245,-3484,12552,-6860
246,-3480,12328,-6772
