timestamp,accX,accY,accZ
0,-3456,12284,-6684
2,-3560,12460,-6696
3,-3392,12532,-6664
4,-3408,12468,-6564
5,-3312,12460,-6668
6,-3472,12472,-6600
8,-3540,12520,-6764
9,-3532,12496,-6656
10,-3484,12516,-6600
12,-3384,12476,-6684
13,-3472,12464,-6628
14,-3412,12476,-6668
15,-3384,12464,-6580
17,-3432,12532,-6700
18,-3400,12412,-6728
19,-3532,12468,-6648
20,-3576,12560,-6616
22,-3444,12332,-6648
23,-3436,12404,-6608
24,-3400,12412,-6716
25,-3492,12560,-6712
27,-3468,12464,-6704
28,-3400,12348,-6748
29,-3416,12412,-6656
30,-3436,12572,-6604
32,-3448,12376,-6536
33,-3356,12392,-6592
34,-3368,12424,-6624
35,-3400,12496,-6812
36,-3440,12452,-6756
38,-3512,12392,-6664
39,-3464,12376,-6664
40,-3420,12388,-6800
42,-3428,12516,-6792
43,-3468,12480,-6692
44,-3576,12460,-6696
45,-3604,12304,-6720
47,-3636,12364,-6816
48,-3512,12432,-6904
49,-3476,12464,-6816
50,-3528,12392,-6744
51,-3512,12328,-6652
53,-3476,12568,-6584
54,-3448,12620,-6648
55,-3536,12472,-6712
56,-3524,12520,-6684
58,-3476,12412,-6712
59,-3424,12560,-6784
60,-3468,12544,-6764
61,-3516,12416,-6724
63,-3556,12488,-6796
64,-3488,12520,-6808
65,-3548,12376,-6832
66,-3624,12472,-6824
67,-3556,12520,-6792
69,-3564,12400,-6792
70,-3496,12396,-6780
71,-3548,12488,-6752
72,-3548,12480,-6772
74,-3520,12280,-6816
75,-3508,12420,-6768
76,-3572,12500,-6780
77,-3524,12404,-6800
79,-3500,12444,-6716
80,-3540,12280,-6732
81,-3492,12548,-6728
82,-3536,12432,-6772
83,-3476,12328,-6748
85,-3552,12444,-6760
86,-3580,12416,-6772
87,-3556,12424,-6832
88,-3552,12396,-6776
90,-3572,12424,-6776
91,-3512,12408,-6764
92,-3420,12472,-6780
93,-3448,12448,-6628
95,-3492,12424,-6728
96,-3572,12596,-6688
97,-3400,12520,-6708
98,-3336,12372,-6784
100,-3432,12464,-6744
101,-3392,12560,-6632
102,-3368,12396,-6636
103,-3340,12256,-6544
105,-3484,12408,-6532
106,-3492,12464,-6632
107,-3412,12464,-6616
108,-3312,12384,-6600
110,-3376,12472,-6588
111,-3452,12484,-6584
112,-3424,12308,-6628
113,-3404,12260,-6604
115,-3312,12336,-6588
116,-3352,12392,-6656
117,-3368,12468,-6644
118,-3324,12468,-6676
120,-3436,12500,-6752
121,-3400,12564,-6772
122,-3476,12504,-6712
123,-3516,12452,-6676
125,-3516,12448,-6744
126,-3416,12400,-6756
127,-3372,12204,-6836
128,-3528,12456,-6760
129,-3560,12396,-6772
131,-3496,12532,-6836
132,-3452,12628,-6812
133,-3520,12588,-6764
134,-3512,12492,-6736
136,-3600,12492,-6668
137,-3560,12392,-6672
138,-3500,12468,-6732
139,-3488,12552,-6684
141,-3600,12500,-6728
142,-3464,12548,-6764
143,-3440,12544,-6808
144,-3528,12468,-6856
146,-3532,12504,-6864
147,-3544,12640,-6804
148,-3556,12548,-6860
149,-3576,12420,-6760
151,-3536,12460,-6700
152,-3540,12356,-6772
153,-3520,12280,-6772
154,-3516,12424,-6844
156,-3468,12364,-6776
157,-3504,12408,-6792
158,-3492,12492,-6912
159,-3452,12452,-6828
160,-3460,12472,-6764
162,-3452,12364,-6812
163,-3472,12396,-6800
164,-3608,12472,-6788
165,-3480,12388,-6720
167,-3496,12424,-6704
168,-3432,12296,-6680
169,-3472,12232,-6684
170,-3348,12416,-6780
172,-3336,12552,-6720
173,-3516,12376,-6640
174,-3464,12500,-6612
175,-3376,12408,-6572
177,-3472,12556,-6676
178,-3408,12632,-6716
179,-3320,12612,-6720
180,-3280,12608,-6660
181,-3320,12556,-6688
183,-3440,12360,-6732
184,-3516,12332,-6708
185,-3548,12300,-6644
186,-3468,12212,-6768
188,-3632,12204,-6704
189,-3556,12416,-6756
190,-3472,12500,-6736
191,-3420,12392,-6676
193,-3400,12244,-6616
194,-3436,12480,-6668
195,-3524,12568,-6664
196,-3512,12612,-6588
198,-3444,12512,-6736
199,-3536,12560,-6660
200,-3460,12560,-6632
201,-3368,12476,-6688
203,-3380,12496,-6680
204,-3452,12444,-6660
205,-3524,12364,-6772
206,-3500,12268,-6760
207,-3492,12416,-6804
209,-3448,12440,-6684
210,-3504,12380,-6700
211,-3456,12524,-6760
212,-3504,12488,-6708
214,-3472,12372,-6744
215,-3464,12404,-6756
216,-3452,12428,-6880
217,-3508,12280,-6716
219,-3488,12340,-6668
220,-3532,12324,-6740
221,-3564,12292,-6780
222,-3432,12484,-6736
224,-3500,12520,-6720
225,-3544,12372,-6800
226,-3580,12368,-6736
227,-3556,12428,-6728
229,-3504,12400,-6700
230,-3460,12404,-6744
231,-3348,12428,-6700
232,-3312,12480,-6720
233,-3444,12440,-6716
235,-3404,12364,-6764
236,-3452,12460,-6688
237,-3456,12616,-6644
238,-3384,12544,-6680
240,-3400,12484,-6696
241,-3504,12508,-6728
242,-3472,12428,-6672
243,-3452,12420,-6740
245,-3408,12452,-6736
246,-3464,12512,-6852
247,-3536,12464,-6824
