timestamp,accX,accY,accZ
0,-3380,12464,-6568
2,-3360,12436,-6680
3,-3392,12460,-6692
4,-3436,12260,-6720
5,-3400,12340,-6812
7,-3392,12488,-6740
8,-3468,12508,-6676
9,-3528,12524,-6736
10,-3620,12356,-6800
11,-3544,12320,-6852
13,-3536,12364,-6924
14,-3572,12412,-6864
15,-3492,12444,-6848
16,-3476,12348,-6768
18,-3608,12496,-6784
19,-3632,12480,-6872
20,-3624,12268,-6832
21,-3552,12292,-6812
23,-3568,12540,-6788
24,-3604,12548,-6868
25,-3604,12440,-6832
26,-3588,12492,-6744
28,-3584,12344,-6864
29,-3704,12364,-6876
30,-3612,12464,-6824
31,-3608,12332,-6880
32,-3504,12408,-6932
34,-3540,12520,-6884
35,-3512,12456,-6768
36,-3524,12544,-6832
37,-3480,12432,-6756
39,-3600,12444,-6768
40,-3524,12448,-7020
41,-3520,12488,-6980
42,-3488,12512,-6828
44,-3516,12504,-6804
45,-3592,12284,-6812
46,-3492,12352,-6784
47,-3556,12384,-6752
49,-3548,12400,-6824
50,-3592,12508,-6768
51,-3524,12464,-6736
52,-3524,12364,-6716
54,-3548,12280,-6768
55,-3496,12516,-6736
56,-3444,12552,-6716
57,-3524,12424,-6708
58,-3644,12492,-6740
60,-3520,12676,-6776
61,-3484,12548,-6712
62,-3512,12624,-6776
63,-3552,12540,-6844
65,-3616,12316,-6836
66,-3592,12448,-6832
67,-3656,12628,-6884
68,-3624,12584,-6852
69,-3468,12396,-6776
71,-3444,12324,-6756
72,-3488,12384,-6764
73,-3480,12452,-6804
74,-3436,12428,-6800
76,-3504,12444,-6656
77,-3584,12520,-6728
78,-3544,12560,-6808
79,-3536,12416,-6804
80,-3516,12424,-6800
82,-3448,12276,-6752
83,-3512,12344,-6636
84,-3576,12328,-6748
85,-3456,12408,-6668
87,-3408,12448,-6660
88,-3436,12404,-6648
89,-3396,12404,-6696
90,-3332,12348,-6604
92,-3368,12444,-6640
93,-3404,12452,-6652
94,-3464,12388,-6564
95,-3432,12324,-6616
96,-3360,12344,-6676
98,-3456,12424,-6676
99,-3324,12400,-6680
100,-3356,12288,-6560
101,-3536,12380,-6716
103,-3508,12648,-6780
104,-3516,12640,-6788
105,-3532,12444,-6744
106,-3520,12404,-6820
108,-3468,12460,-6864
109,-3496,12496,-6856
110,-3568,12460,-6800
111,-3572,12484,-6816
113,-3496,12268,-6792
114,-3664,12424,-6820
115,-3584,12552,-6816
116,-3576,12440,-6860
118,-3584,12496,-6824
119,-3632,12572,-6712
120,-3640,12584,-6784
121,-3664,12464,-6832
123,-3568,12540,-6700
124,-3472,12452,-6740
125,-3424,12396,-6712
126,-3492,12368,-6600
127,-3520,12300,-6620
129,-3452,12360,-6692
130,-3412,12480,-6708
131,-3360,12568,-6724
132,-3380,12488,-6652
134,-3456,12672,-6628
135,-3444,12588,-6664
136,-3332,12560,-6688
137,-3464,12508,-6608
139,-3568,12396,-6792
140,-3440,12460,-6756
141,-3480,12400,-6660
142,-3528,12388,-6764
144,-3528,12316,-6748
145,-3384,12464,-6700
146,-3424,12432,-6596
147,-3504,12500,-6672
149,-3528,12504,-6628
150,-3416,12504,-6672
151,-3516,12484,-6680
152,-3528,12600,-6748
154,-3464,12420,-6696
155,-3428,12628,-6648
156,-3396,12560,-6696
157,-3472,12440,-6684
159,-3468,12388,-6672
160,-3468,12756,-6748
161,-3452,12588,-6752
162,-3460,12548,-6752
164,-3420,12256,-6736
165,-3588,12276,-6660
166,-3460,12200,-6620
167,-3544,12240,-6852
168,-3528,12360,-6888
170,-3628,12316,-6848
171,-3568,12416,-6832
172,-3592,12528,-6876
173,-3504,12600,-6900
175,-3524,12524,-6860
176,-3528,12420,-6808
177,-3576,12304,-6788
178,-3564,12352,-6800
180,-3424,12328,-6768
181,-3560,12404,-6796
182,-3548,12348,-6808
183,-3536,12468,-6800
185,-3524,12364,-6672
186,-3492,12504,-6668
187,-3472,12520,-6772
188,-3528,12348,-6708
190,-3492,12404,-6756
191,-3444,12440,-6776
192,-3448,12452,-6688
193,-3488,12480,-6688
195,-3460,12504,-6724
196,-3444,12436,-6736
197,-3436,12304,-6652
198,-3484,12496,-6652
200,-3388,12484,-6736
201,-3396,12508,-6696
202,-3396,12472,-6688
203,-3436,12496,-6736
205,-3400,12468,-6740
206,-3452,12448,-6708
207,-3528,12540,-6784
208,-3436,12532,-6676
210,-3528,12616,-6684
211,-3556,12592,-6708
212,-3524,12392,-6748
213,-3540,12368,-6708
215,-3480,12488,-6668
216,-3484,12444,-6696
217,-3512,12476,-6716
218,-3452,12416,-6696
220,-3332,12312,-6656
221,-3304,12436,-6780
222,-3408,12480,-6640
223,-3468,12492,-6668
225,-3424,12356,-6600
226,-3492,12424,-6700
227,-3516,12468,-6740
228,-3480,12456,-6748
230,-3420,12568,-6644
231,-3472,12352,-6696
232,-3616,12304,-6660
233,-3548,12348,-6628
235,-3424,12564,-6672
236,-3448,12488,-6700
237,-3364,12544,-6708
238,-3392,12404,-6660
240,-3392,12508,-6668
241,-3408,12488,-6736
242,-3484,12536,-6772
243,-3460,12660,-6768
245,-3380,12412,-6800
246,-3420,12320,-6716
247,-3436,12364,-6636
