timestamp,accX,accY,accZ
0,-3484,12536,-6720
2,-3484,12532,-6688
3,-3496,12448,-6540
4,-3408,12384,-6576
5,-3456,12480,-6620
6,-3468,12448,-6636
8,-3424,12308,-6584
9,-3396,12396,-6672
10,-3376,12520,-6640
11,-3352,12348,-6624
13,-3424,12472,-6608
14,-3364,12436,-6744
15,-3404,12520,-6676
16,-3404,12532,-6636
18,-3508,12548,-6688
19,-3500,12468,-6668
20,-3408,12616,-6596
21,-3388,12536,-6724
23,-3460,12432,-6732
24,-3504,12388,-6756
25,-3480,12388,-6716
26,-3452,12392,-6612
27,-3480,12524,-6652
29,-3452,12568,-6676
30,-3412,12496,-6640
31,-3460,12444,-6808
32,-3424,12376,-6756
34,-3452,12340,-6708
35,-3416,12516,-6708
36,-3448,12588,-6592
37,-3524,12416,-6652
39,-3488,12416,-6604
40,-3436,12360,-6712
41,-3480,12392,-6700
42,-3528,12452,-6708
43,-3476,12396,-6704
45,-3492,12440,-6700
46,-3452,12348,-6744
47,-3488,12388,-6744
48,-3428,12336,-6764
50,-3464,12356,-6708
51,-3572,12452,-6556
52,-3348,12420,-6560
53,-3364,12440,-6616
55,-3372,12484,-6640
56,-3500,12500,-6696
57,-3476,12460,-6632
58,-3392,12508,-6632
59,-3444,12496,-6620
61,-3424,12280,-6676
62,-3496,12368,-6696
63,-3480,12328,-6720
64,-3472,12512,-6884
66,-3560,12500,-6816
67,-3616,12496,-6856
68,-3616,12556,-6988
69,-3516,12436,-6952
71,-3672,12228,-6884
72,-3580,12444,-6860
73,-3648,12344,-6884
74,-3728,12180,-6976
76,-3616,12376,-6984
77,-3588,12404,-6952
78,-3568,12348,-6888
79,-3568,12312,-6920
81,-3588,12432,-6784
82,-3684,12392,-6764
83,-3640,12444,-6736
84,-3628,12472,-6932
86,-3596,12596,-6872
87,-3568,12460,-6788
88,-3520,12364,-6892
89,-3436,12448,-6892
90,-3536,12460,-6936
92,-3468,12512,-6936
93,-3528,12320,-6868
94,-3572,12352,-6816
95,-3488,12384,-6912
97,-3500,12352,-6912
98,-3472,12356,-6800
99,-3576,12472,-6824
100,-3548,12588,-6748
101,-3496,12632,-6760
103,-3492,12492,-6816
104,-3456,12368,-6724
105,-3516,12448,-6808
106,-3504,12412,-6792
108,-3508,12328,-6744
109,-3560,12560,-6708
110,-3468,12492,-6688
111,-3472,12376,-6608
113,-3432,12376,-6796
114,-3388,12436,-6728
115,-3368,12448,-6612
116,-3412,12504,-6588
118,-3512,12440,-6576
119,-3520,12380,-6580
120,-3488,12380,-6544
121,-3376,12504,-6780
122,-3384,12572,-6700
124,-3392,12412,-6624
125,-3456,12636,-6668
126,-3348,12508,-6544
127,-3364,12396,-6608
129,-3452,12464,-6584
130,-3496,12512,-6604
131,-3476,12400,-6496
132,-3448,12448,-6668
134,-3384,12248,-6684
135,-3396,12408,-6700
136,-3404,12360,-6620
137,-3364,12336,-6716
138,-3412,12248,-6676
140,-3460,12468,-6636
141,-3444,12500,-6740
142,-3356,12428,-6672
143,-3392,12416,-6668
145,-3448,12608,-6644
146,-3416,12536,-6648
147,-3380,12508,-6760
148,-3444,12460,-6744
150,-3496,12352,-6676
151,-3588,12336,-6756
152,-3652,12340,-6816
153,-3592,12248,-6860
155,-3492,12500,-6868
156,-3492,12612,-6996
157,-3552,12436,-6960
158,-3568,12384,-6744
160,-3568,12292,-6832
161,-3612,12180,-6848
162,-3544,12400,-6812
163,-3512,12460,-6872
164,-3528,12424,-6816
166,-3536,12432,-6816
167,-3616,12496,-6824
168,-3536,12472,-6840
169,-3488,12492,-6832
171,-3432,12528,-6756
172,-3468,12400,-6752
173,-3452,12316,-6816
174,-3552,12388,-6692
176,-3536,12276,-6784
177,-3472,12472,-6872
178,-3500,12448,-6736
179,-3492,12476,-6844
181,-3452,12396,-6780
182,-3384,12428,-6780
183,-3416,12408,-6832
184,-3548,12424,-6696
186,-3484,12552,-6652
187,-3568,12540,-6676
188,-3560,12428,-6716
189,-3520,12544,-6728
190,-3452,12512,-6756
192,-3424,12440,-6744
193,-3420,12452,-6804
194,-3444,12600,-6792
195,-3404,12524,-6664
197,-3456,12364,-6700
198,-3496,12380,-6784
199,-3452,12564,-6776
200,-3524,12480,-6796
202,-3476,12416,-6628
203,-3528,12420,-6760
204,-3572,12208,-6756
205,-3560,12340,-6712
207,-3532,12360,-6708
208,-3472,12400,-6728
209,-3460,12440,-6680
210,-3504,12504,-6676
212,-3456,12476,-6740
213,-3564,12472,-6720
214,-3344,12532,-6700
215,-3408,12428,-6684
217,-3412,12308,-6768
218,-3480,12328,-6708
219,-3536,12372,-6768
220,-3428,12352,-6656
221,-3520,12372,-6708
223,-3528,12252,-6728
224,-3424,12520,-6864
225,-3424,12496,-6824
226,-3408,12460,-6728
228,-3484,12500,-6620
229,-3480,12440,-6680
230,-3464,12536,-6660
231,-3404,12432,-6592
233,-3448,12324,-6588
234,-3444,12444,-6772
235,-3440,12528,-6688
236,-3348,12548,-6652
238,-3460,12412,-6620
239,-3548,12524,-6708
240,-3424,12532,-6676
241,-3500,12448,-6744
242,-3616,12364,-6700
244,-3416,12384,-6732
245,-3368,12500,-6764
246,-3508,12460,-6712
