timestamp,accX,accY,accZ
0,-3400,12472,-6688
2,-3456,12360,-6764
3,-3420,12384,-6652
4,-3392,12428,-6548
5,-3416,12484,-6668
6,-3360,12608,-6600
8,-3428,12660,-6648
9,-3520,12316,-6696
10,-3448,12296,-6692
11,-3376,12404,-6700
13,-3448,12364,-6528
14,-3500,12376,-6612
15,-3424,12280,-6572
16,-3504,12356,-6584
17,-3488,12380,-6716
19,-3316,12608,-6696
20,-3324,12440,-6652
21,-3348,12480,-6692
23,-3408,12472,-6612
24,-3520,12464,-6524
25,-3584,12340,-6508
26,-3484,12300,-6552
27,-3448,12444,-6524
29,-3516,12336,-6556
30,-3528,12412,-6588
31,-3512,12372,-6660
32,-3476,12356,-6736
34,-3480,12428,-6792
35,-3476,12432,-6752
36,-3540,12500,-6660
37,-3472,12516,-6688
39,-3468,12520,-6708
40,-3556,12596,-6828
41,-3584,12564,-6748
42,-3556,12364,-6828
44,-3544,12248,-6820
45,-3536,12296,-6748
46,-3476,12360,-6752
47,-3520,12304,-6768
48,-3472,12520,-6784
50,-3424,12468,-6788
51,-3480,12468,-6704
52,-3536,12576,-6596
54,-3472,12448,-6616
55,-3404,12564,-6612
56,-3456,12568,-6632
57,-3484,12300,-6628
58,-3408,12400,-6628
60,-3372,12384,-6620
61,-3424,12404,-6648
62,-3412,12604,-6552
63,-3444,12548,-6580
65,-3460,12372,-6616
66,-3476,12368,-6652
67,-3436,12460,-6636
68,-3532,12480,-6592
70,-3520,12564,-6688
71,-3416,12444,-6676
72,-3384,12568,-6620
73,-3356,12528,-6676
75,-3388,12492,-6644
76,-3404,12420,-6768
77,-3392,12452,-6660
78,-3476,12500,-6668
80,-3472,12540,-6672
81,-3440,12428,-6660
82,-3556,12488,-6744
83,-3520,12352,-6788
84,-3472,12408,-6696
86,-3504,12420,-6692
87,-3468,12316,-6640
88,-3524,12396,-6592
90,-3440,12440,-6772
91,-3492,12432,-6816
92,-3500,12376,-6784
93,-3568,12468,-6724
94,-3472,12668,-6840
96,-3448,12540,-6824
97,-3512,12308,-6748
98,-3552,12404,-6848
99,-3564,12428,-6852
101,-3600,12480,-6812
102,-3624,12376,-6912
103,-3556,12352,-6884
104,-3608,12272,-6892
106,-3616,12248,-6752
107,-3608,12532,-6792
108,-3608,12648,-6884
109,-3568,12540,-6872
110,-3608,12476,-6752
112,-3504,12376,-6856
113,-3544,12376,-6924
114,-3596,12468,-6856
115,-3520,12376,-6728
117,-3544,12328,-6696
118,-3444,12320,-6652
119,-3440,12476,-6628
120,-3536,12520,-6684
121,-3464,12304,-6684
123,-3412,12460,-6636
124,-3400,12512,-6704
125,-3412,12460,-6672
126,-3384,12452,-6552
128,-3440,12492,-6632
129,-3420,12324,-6648
130,-3464,12344,-6616
131,-3496,12588,-6668
133,-3528,12500,-6764
134,-3496,12488,-6696
135,-3420,12472,-6580
136,-3476,12528,-6644
138,-3372,12480,-6700
139,-3384,12512,-6676
140,-3448,12516,-6724
141,-3472,12364,-6760
142,-3468,12376,-6688
144,-3516,12332,-6600
145,-3460,12444,-6612
146,-3440,12376,-6640
147,-3424,12392,-6532
149,-3432,12424,-6668
150,-3416,12408,-6560
151,-3424,12460,-6636
152,-3404,12548,-6704
154,-3336,12536,-6756
155,-3332,12504,-6752
156,-3460,12552,-6652
157,-3452,12524,-6696
159,-3456,12388,-6668
160,-3400,12336,-6740
161,-3400,12256,-6668
162,-3512,12356,-6660
163,-3532,12312,-6748
165,-3484,12368,-6752
166,-3484,12544,-6760
167,-3480,12424,-6744
168,-3508,12444,-6844
170,-3536,12408,-6752
171,-3424,12380,-6884
172,-3440,12548,-6828
173,-3504,12572,-6836
175,-3444,12544,-6748
176,-3484,12520,-6792
177,-3472,12544,-6724
178,-3476,12360,-6696
179,-3560,12368,-6764
181,-3532,12384,-6796
182,-3560,12288,-6720
183,-3536,12304,-6724
185,-3416,12376,-6768
186,-3420,12408,-6608
187,-3436,12480,-6660
188,-3520,12404,-6716
189,-3456,12444,-6720
191,-3524,12416,-6736
192,-3528,12492,-6704
193,-3576,12664,-6624
194,-3484,12512,-6736
196,-3484,12420,-6744
197,-3464,12348,-6696
198,-3396,12428,-6748
199,-3456,12440,-6708
201,-3432,12436,-6736
202,-3472,12396,-6716
203,-3476,12380,-6724
204,-3552,12444,-6800
205,-3496,12308,-6808
207,-3492,12388,-6712
208,-3496,12280,-6748
209,-3480,12280,-6816
210,-3480,12296,-6828
212,-3472,12348,-6736
213,-3468,12388,-6744
214,-3552,12328,-6708
215,-3548,12480,-6756
217,-3504,12516,-6764
218,-3488,12604,-6720
219,-3452,12512,-6728
220,-3440,12516,-6700
222,-3412,12556,-6708
223,-3432,12684,-6708
224,-3544,12516,-6732
225,-3572,12464,-6720
227,-3516,12380,-6764
228,-3512,12452,-6692
229,-3440,12440,-6612
230,-3508,12552,-6636
232,-3460,12644,-6712
233,-3424,12552,-6644
234,-3376,12544,-6696
235,-3380,12520,-6748
236,-3464,12600,-6752
238,-3444,12668,-6740
239,-3400,12612,-6772
240,-3520,12320,-6720
241,-3456,12360,-6660
243,-3460,12356,-6664
244,-3456,12288,-6768
245,-3376,12224,-6660
246,-3396,12396,-6716
