timestamp,accX,accY,accZ
0,-3484,12644,-6896
2,-3516,12596,-6808
3,-3544,12508,-6824
4,-3516,12532,-6748
5,-3444,12428,-6788
7,-3432,12344,-6696
8,-3464,12368,-6772
9,-3492,12244,-6676
10,-3460,12364,-6728
11,-3444,12416,-6704
13,-3400,12424,-6744
14,-3448,12536,-6756
15,-3480,12500,-6756
16,-3436,12532,-6648
18,-3412,12468,-6656
19,-3460,12368,-6632
20,-3472,12348,-6552
21,-3436,12384,-6612
23,-3444,12300,-6704
24,-3456,12368,-6628
25,-3416,12192,-6656
26,-3524,12432,-6716
27,-3576,12484,-6844
29,-3440,12492,-6856
30,-3572,12620,-6704
31,-3548,12516,-6740
32,-3552,12580,-6808
34,-3592,12280,-6772
35,-3568,12280,-6660
36,-3536,12348,-6708
37,-3560,12404,-6664
39,-3616,12408,-6768
40,-3528,12368,-6836
41,-3448,12372,-6756
42,-3396,12348,-6732
44,-3416,12608,-6836
45,-3464,12332,-6748
46,-3392,12364,-6772
47,-3432,12372,-6756
49,-3580,12424,-6752
50,-3544,12416,-6816
51,-3452,12472,-6620
52,-3384,12508,-6648
54,-3388,12328,-6700
55,-3412,12476,-6712
56,-3436,12336,-6692
57,-3492,12368,-6648
59,-3548,12292,-6680
60,-3512,12252,-6764
61,-3620,12392,-6676
62,-3568,12396,-6724
64,-3504,12360,-6808
65,-3520,12520,-6852
66,-3592,12508,-6908
67,-3556,12520,-6888
68,-3524,12500,-6816
70,-3468,12476,-6832
71,-3568,12540,-6864
72,-3576,12420,-6848
73,-3592,12416,-6752
75,-3640,12348,-6764
76,-3584,12304,-6816
77,-3480,12260,-6784
78,-3552,12300,-6692
80,-3560,12300,-6772
81,-3556,12216,-6756
82,-3500,12292,-6708
83,-3508,12352,-6836
85,-3496,12432,-6772
86,-3520,12444,-6724
87,-3480,12456,-6776
88,-3488,12444,-6680
89,-3536,12408,-6728
91,-3480,12404,-6604
92,-3440,12472,-6608
93,-3464,12532,-6680
94,-3480,12464,-6748
96,-3380,12512,-6684
97,-3332,12412,-6720
98,-3492,12452,-6680
99,-3460,12400,-6692
101,-3496,12372,-6584
102,-3448,12324,-6612
103,-3476,12264,-6676
104,-3516,12376,-6656
106,-3396,12476,-6668
107,-3436,12404,-6600
108,-3424,12400,-6700
109,-3480,12324,-6680
111,-3520,12464,-6632
112,-3500,12492,-6648
113,-3448,12436,-6672
114,-3372,12392,-6720
116,-3288,12288,-6612
117,-3348,12464,-6604
118,-3440,12452,-6688
119,-3380,12464,-6680
120,-3408,12596,-6688
122,-3492,12540,-6652
123,-3508,12464,-6716
124,-3580,12512,-6632
125,-3624,12500,-6728
127,-3620,12576,-6728
128,-3476,12640,-6768
129,-3552,12528,-6736
130,-3452,12576,-6728
131,-3480,12480,-6708
133,-3480,12468,-6728
134,-3412,12560,-6732
135,-3444,12568,-6724
136,-3492,12456,-6756
138,-3524,12416,-6780
139,-3512,12368,-6744
140,-3508,12368,-6756
141,-3460,12468,-6840
143,-3480,12528,-6804
144,-3432,12340,-6744
145,-3532,12412,-6704
146,-3500,12388,-6716
148,-3476,12404,-6772
149,-3472,12576,-6696
150,-3448,12548,-6616
151,-3472,12576,-6708
153,-3452,12596,-6684
154,-3520,12600,-6748
155,-3512,12600,-6700
156,-3560,12448,-6648
158,-3476,12396,-6780
159,-3444,12436,-6852
160,-3520,12540,-6700
161,-3488,12444,-6724
162,-3496,12520,-6640
164,-3448,12456,-6632
165,-3428,12528,-6640
166,-3456,12372,-6616
167,-3404,12356,-6628
169,-3448,12464,-6668
170,-3424,12548,-6672
171,-3408,12464,-6728
172,-3432,12428,-6688
174,-3408,12436,-6600
175,-3448,12464,-6604
176,-3484,12424,-6604
177,-3496,12312,-6748
179,-3456,12288,-6832
180,-3432,12400,-6728
181,-3484,12464,-6772
182,-3504,12376,-6844
184,-3468,12464,-6820
185,-3436,12440,-6768
186,-3492,12496,-6716
187,-3472,12532,-6772
188,-3408,12536,-6740
190,-3540,12492,-6680
191,-3504,12432,-6688
192,-3492,12400,-6728
193,-3380,12408,-6792
195,-3496,12356,-6852
196,-3456,12356,-6728
197,-3540,12252,-6744
198,-3456,12300,-6604
200,-3524,12444,-6684
201,-3444,12464,-6784
202,-3544,12472,-6792
203,-3480,12492,-6812
204,-3532,12608,-6828
206,-3440,12452,-6680
207,-3472,12520,-6688
208,-3516,12372,-6720
209,-3508,12352,-6680
211,-3540,12420,-6788
212,-3492,12408,-6728
213,-3392,12360,-6764
214,-3452,12428,-6784
216,-3492,12636,-6756
217,-3524,12712,-6776
218,-3432,12432,-6828
219,-3496,12380,-6748
220,-3476,12388,-6884
222,-3588,12464,-6784
223,-3528,12456,-6748
224,-3444,12384,-6720
225,-3468,12356,-6732
227,-3520,12352,-6732
228,-3412,12360,-6684
229,-3388,12444,-6732
230,-3416,12572,-6772
232,-3384,12472,-6700
233,-3416,12480,-6724
234,-3488,12480,-6640
235,-3512,12412,-6700
236,-3536,12560,-6652
238,-3408,12504,-6700
239,-3424,12368,-6724
240,-3444,12400,-6692
241,-3356,12284,-6624
243,-3408,12340,-6568
244,-3548,12496,-6652
245,-3388,12480,-6516
246,-3320,12376,-6620
