timestamp,accX,accY,accZ
0,-3428,12564,-6688
2,-3280,12568,-6692
3,-3396,12560,-6564
4,-3404,12468,-6632
5,-3412,12412,-6628
7,-3544,12548,-6748
8,-3604,12264,-6776
9,-3512,12404,-6784
10,-3484,12448,-6820
11,-3456,12416,-6760
13,-3452,12552,-6788
14,-3492,12480,-6732
15,-3552,12460,-6816
16,-3536,12520,-6788
18,-3516,12504,-6752
19,-3492,12580,-6840
20,-3496,12492,-6860
21,-3444,12544,-6800
23,-3580,12428,-6728
24,-3564,12356,-6608
25,-3580,12312,-6724
26,-3508,12400,-6816
28,-3544,12412,-6788
29,-3544,12472,-6804
30,-3516,12488,-6772
31,-3484,12448,-6796
33,-3400,12528,-6696
34,-3392,12364,-6808
35,-3428,12372,-6792
36,-3588,12412,-6728
38,-3548,12312,-6656
39,-3520,12380,-6628
40,-3420,12472,-6700
41,-3484,12540,-6796
43,-3408,12612,-6736
44,-3508,12580,-6776
45,-3540,12464,-6660
46,-3528,12560,-6648
48,-3512,12456,-6672
49,-3496,12508,-6712
50,-3476,12508,-6772
51,-3472,12324,-6580
53,-3420,12472,-6620
54,-3332,12492,-6756
55,-3432,12492,-6700
56,-3536,12500,-6736
58,-3460,12364,-6660
59,-3492,12352,-6672
60,-3504,12500,-6724
61,-3384,12492,-6708
63,-3388,12492,-6616
64,-3416,12544,-6668
65,-3468,12512,-6780
66,-3384,12492,-6760
68,-3580,12328,-6772
69,-3652,12376,-6820
70,-3588,12504,-6736
71,-3560,12328,-6668
73,-3572,12308,-6720
74,-3448,12424,-6820
75,-3380,12460,-6924
76,-3456,12404,-7028
78,-3564,12468,-7096
79,-3616,12512,-6968
80,-3656,12344,-6884
81,-3660,12512,-6932
82,-3736,12540,-6916
84,-3784,12568,-6916
85,-3652,12552,-6760
86,-3580,12468,-6708
87,-3568,12612,-6628
89,-3496,12628,-6588
90,-3472,12624,-6656
91,-3356,12572,-6660
92,-3320,12640,-6664
94,-3320,12344,-6632
95,-3356,12316,-6576
96,-3416,12356,-6540
97,-3376,12268,-6488
99,-3420,12460,-6612
100,-3452,12448,-6576
101,-3380,12404,-6560
102,-3356,12472,-6612
104,-3328,12460,-6684
105,-3436,12520,-6652
106,-3488,12532,-6636
107,-3516,12396,-6708
109,-3480,12364,-6748
110,-3460,12444,-6588
111,-3508,12400,-6604
112,-3460,12384,-6720
114,-3396,12384,-6852
115,-3492,12380,-6792
116,-3556,12300,-6720
117,-3628,12324,-6784
119,-3540,12392,-6796
120,-3540,12568,-6752
121,-3460,12776,-6776
122,-3420,12624,-6888
124,-3448,12520,-6772
125,-3472,12536,-6732
126,-3532,12540,-6648
127,-3556,12556,-6672
128,-3496,12496,-6652
130,-3492,12488,-6652
131,-3376,12252,-6568
132,-3344,12396,-6616
133,-3292,12404,-6652
135,-3500,12404,-6656
136,-3476,12380,-6724
137,-3404,12464,-6764
138,-3488,12492,-6752
140,-3428,12520,-6680
141,-3384,12424,-6676
142,-3448,12464,-6780
143,-3516,12388,-6768
145,-3392,12436,-6760
146,-3460,12456,-6804
147,-3468,12356,-6676
148,-3392,12440,-6812
150,-3400,12440,-6732
151,-3468,12444,-6744
152,-3436,12432,-6808
153,-3548,12288,-6776
155,-3512,12384,-6776
156,-3620,12336,-6804
157,-3624,12204,-6840
158,-3536,12300,-6760
160,-3428,12456,-6684
161,-3448,12508,-6612
162,-3468,12624,-6712
163,-3372,12628,-6860
165,-3424,12628,-6736
166,-3496,12664,-6744
167,-3432,12664,-6712
168,-3388,12600,-6540
170,-3456,12408,-6624
171,-3480,12408,-6680
172,-3380,12360,-6676
173,-3492,12392,-6636
175,-3500,12452,-6660
176,-3492,12464,-6768
177,-3364,12412,-6668
178,-3320,12496,-6656
180,-3384,12424,-6668
181,-3368,12460,-6596
182,-3388,12424,-6624
183,-3424,12396,-6640
185,-3408,12224,-6584
186,-3456,12280,-6724
187,-3524,12184,-6712
188,-3560,12328,-6720
190,-3596,12280,-6668
191,-3560,12152,-6700
192,-3528,12264,-6732
193,-3532,12264,-6748
195,-3468,12444,-6728
196,-3440,12548,-6780
197,-3512,12464,-6760
198,-3628,12404,-6956
200,-3520,12472,-6976
201,-3528,12380,-6888
202,-3620,12496,-6916
203,-3580,12448,-6956
205,-3624,12384,-6884
206,-3612,12428,-6828
207,-3712,12440,-6868
208,-3632,12444,-6872
209,-3680,12432,-6844
211,-3596,12252,-6896
212,-3516,12512,-6944
213,-3540,12532,-6900
214,-3528,12508,-6776
216,-3496,12484,-6696
217,-3636,12512,-6724
218,-3512,12192,-6768
219,-3528,12260,-6624
221,-3508,12460,-6704
222,-3588,12428,-6700
223,-3652,12536,-6768
224,-3468,12424,-6688
226,-3400,12572,-6648
227,-3524,12432,-6692
228,-3484,12288,-6680
229,-3424,12472,-6604
231,-3436,12436,-6612
232,-3440,12348,-6652
233,-3404,12376,-6660
234,-3308,12584,-6668
236,-3432,12544,-6616
237,-3452,12472,-6580
238,-3320,12364,-6560
239,-3396,12504,-6640
241,-3336,12548,-6736
242,-3324,12272,-6716
243,-3456,12256,-6640
244,-3532,12416,-6648
246,-3548,12384,-6592
247,-3488,12488,-6724
248,-3456,12416,-6728
