timestamp,accX,accY,accZ
0,-3484,12404,-6692
2,-3480,12440,-6656
3,-3528,12404,-6680
4,-3380,12476,-6728
5,-3420,12532,-6640
7,-3384,12480,-6588
8,-3452,12484,-6584
9,-3448,12352,-6620
10,-3440,12304,-6624
11,-3360,12448,-6592
13,-3416,12580,-6644
14,-3356,12384,-6620
15,-3324,12396,-6532
16,-3376,12292,-6540
18,-3392,12396,-6576
19,-3532,12632,-6644
20,-3468,12572,-6604
21,-3472,12472,-6624
23,-3400,12424,-6728
24,-3420,12596,-6548
25,-3400,12560,-6620
26,-3452,12604,-6724
27,-3348,12604,-6624
29,-3364,12460,-6624
30,-3444,12320,-6660
31,-3356,12408,-6720
32,-3360,12488,-6720
34,-3380,12456,-6620
35,-3456,12404,-6724
36,-3496,12416,-6692
37,-3548,12328,-6748
38,-3420,12416,-6776
40,-3516,12416,-6748
41,-3524,12424,-6700
42,-3608,12436,-6760
43,-3504,12492,-6800
45,-3472,12476,-6780
46,-3640,12324,-6744
47,-3576,12352,-6836
48,-3432,12432,-6892
50,-3504,12380,-6888
51,-3480,12424,-6616
52,-3448,12556,-6640
53,-3472,12492,-6672
55,-3440,12528,-6632
56,-3412,12512,-6612
57,-3436,12540,-6668
58,-3504,12400,-6796
59,-3464,12256,-6736
61,-3492,12212,-6688
62,-3560,12356,-6736
63,-3476,12316,-6632
64,-3432,12440,-6676
66,-3392,12484,-6680
67,-3456,12496,-6704
68,-3492,12564,-6728
69,-3496,12536,-6732
71,-3444,12528,-6728
72,-3464,12440,-6736
73,-3500,12380,-6872
74,-3580,12188,-6848
76,-3644,12280,-6788
77,-3636,12324,-6848
78,-3592,12348,-6788
79,-3496,12412,-6776
81,-3512,12360,-6800
82,-3592,12412,-6760
83,-3568,12380,-6792
84,-3588,12412,-6820
86,-3480,12592,-6724
87,-3544,12636,-6744
88,-3444,12556,-6824
89,-3504,12484,-6688
90,-3556,12604,-6692
92,-3616,12600,-6716
93,-3504,12588,-6908
94,-3516,12404,-6832
95,-3612,12516,-6732
97,-3564,12512,-6688
98,-3552,12588,-6776
99,-3380,12580,-6768
100,-3448,12480,-6776
102,-3488,12360,-6716
103,-3416,12448,-6728
104,-3484,12588,-6640
105,-3428,12376,-6620
107,-3420,12424,-6748
108,-3428,12376,-6744
109,-3540,12316,-6660
110,-3484,12348,-6700
112,-3580,12344,-6752
113,-3536,12332,-6672
114,-3424,12424,-6696
115,-3404,12468,-6688
117,-3412,12608,-6668
118,-3316,12580,-6648
119,-3396,12488,-6664
120,-3424,12524,-6688
122,-3492,12508,-6716
123,-3440,12316,-6720
124,-3576,12500,-6724
125,-3560,12520,-6752
127,-3508,12404,-6696
128,-3476,12376,-6644
129,-3380,12332,-6600
130,-3332,12564,-6748
132,-3368,12380,-6736
133,-3332,12412,-6736
134,-3380,12444,-6544
135,-3388,12460,-6604
137,-3368,12376,-6752
138,-3492,12360,-6748
139,-3512,12364,-6796
140,-3476,12388,-6800
142,-3564,12396,-6724
143,-3536,12332,-6804
144,-3420,12432,-6664
145,-3388,12492,-6784
147,-3436,12432,-6728
148,-3556,12428,-6788
149,-3560,12484,-6828
150,-3548,12504,-6832
152,-3492,12556,-6868
153,-3476,12420,-6816
154,-3548,12524,-6796
155,-3512,12492,-6748
157,-3452,12364,-6848
158,-3472,12384,-6776
159,-3412,12512,-6728
160,-3496,12452,-6692
162,-3496,12488,-6828
163,-3548,12412,-6752
164,-3520,12416,-6708
165,-3452,12512,-6824
167,-3460,12452,-6668
168,-3528,12540,-6788
169,-3520,12440,-6688
170,-3452,12400,-6608
172,-3484,12368,-6792
173,-3460,12436,-6784
174,-3476,12392,-6800
175,-3372,12404,-6684
177,-3468,12280,-6688
178,-3488,12288,-6592
179,-3508,12376,-6748
180,-3428,12468,-6700
182,-3460,12536,-6780
183,-3468,12516,-6740
184,-3540,12480,-6684
185,-3520,12628,-6676
187,-3524,12536,-6564
188,-3436,12492,-6688
189,-3444,12360,-6668
191,-3436,12348,-6584
192,-3468,12344,-6584
193,-3540,12424,-6652
194,-3500,12360,-6724
195,-3356,12408,-6628
197,-3364,12420,-6628
198,-3412,12452,-6724
199,-3360,12428,-6688
200,-3416,12488,-6672
202,-3444,12540,-6748
203,-3416,12536,-6756
204,-3424,12520,-6748
205,-3480,12520,-6696
207,-3404,12528,-6796
208,-3548,12416,-6776
209,-3528,12376,-6744
210,-3500,12444,-6768
212,-3456,12432,-6716
213,-3596,12472,-6768
214,-3432,12372,-6720
215,-3408,12464,-6760
217,-3432,12492,-6796
218,-3456,12492,-6664
219,-3496,12568,-6788
220,-3492,12428,-6720
222,-3452,12400,-6708
223,-3372,12540,-6832
224,-3372,12624,-6896
225,-3520,12536,-6804
226,-3540,12448,-6772
228,-3504,12432,-6764
229,-3560,12368,-6784
230,-3520,12328,-6792
231,-3544,12328,-6808
233,-3564,12348,-6800
234,-3592,12512,-6844
235,-3568,12424,-6776
236,-3504,12364,-6816
237,-3532,12328,-6808
239,-3484,12584,-6776
240,-3540,12500,-6704
241,-3560,12392,-6680
242,-3528,12424,-6748
244,-3476,12508,-6768
245,-3600,12376,-6776
246,-3528,12524,-6748
248,-3480,12404,-6724
