timestamp,accX,accY,accZ
0,-3428,12384,-6624
2,-3392,12264,-6660
3,-3476,12308,-6748
4,-3472,12480,-6700
5,-3520,12336,-6644
7,-3464,12328,-6732
8,-3444,12592,-6720
9,-3456,12644,-6752
10,-3468,12528,-6660
12,-3432,12624,-6748
13,-3472,12540,-6704
14,-3536,12544,-6672
15,-3544,12512,-6760
16,-3456,12540,-6692
18,-3412,12552,-6720
19,-3500,12524,-6772
20,-3372,12432,-6776
21,-3424,12492,-6780
23,-3436,12452,-6680
24,-3404,12464,-6652
25,-3412,12616,-6692
26,-3456,12504,-6808
27,-3452,12468,-6584
29,-3464,12468,-6624
30,-3428,12344,-6756
31,-3456,12480,-6820
32,-3476,12336,-6716
34,-3492,12608,-6632
35,-3548,12588,-6748
36,-3560,12460,-6796
38,-3572,12472,-6820
39,-3584,12376,-6984
40,-3600,12472,-7028
41,-3568,12500,-6804
42,-3576,12484,-6872
44,-3528,12408,-6820
45,-3532,12472,-6916
46,-3540,12548,-6968
47,-3592,12472,-6788
49,-3640,12432,-6840
50,-3624,12444,-6872
51,-3564,12452,-6764
52,-3468,12524,-6784
54,-3496,12424,-6808
55,-3404,12456,-6804
56,-3504,12488,-6652
57,-3552,12372,-6788
59,-3576,12280,-6676
60,-3552,12468,-6768
61,-3556,12432,-6744
62,-3552,12476,-6764
64,-3524,12344,-6796
65,-3552,12460,-6780
66,-3444,12492,-6828
67,-3324,12432,-6912
69,-3388,12488,-6668
70,-3460,12544,-6632
71,-3444,12300,-6680
72,-3512,12268,-6644
74,-3536,12372,-6784
75,-3492,12432,-6736
76,-3508,12408,-6760
77,-3540,12448,-6704
79,-3544,12452,-6748
80,-3512,12396,-6752
81,-3456,12560,-6864
82,-3568,12548,-6772
84,-3568,12448,-6748
85,-3460,12500,-6772
86,-3512,12544,-6720
87,-3496,12544,-6700
89,-3456,12476,-6628
90,-3572,12528,-6720
91,-3500,12436,-6748
92,-3528,12300,-6680
94,-3488,12356,-6784
95,-3424,12476,-6688
96,-3468,12372,-6756
97,-3408,12356,-6784
98,-3348,12380,-6688
100,-3464,12448,-6740
101,-3452,12508,-6740
102,-3444,12452,-6720
103,-3488,12456,-6636
105,-3516,12548,-6648
106,-3480,12556,-6756
107,-3512,12480,-6812
108,-3424,12532,-6736
110,-3484,12416,-6672
111,-3484,12264,-6556
112,-3500,12460,-6592
113,-3364,12464,-6612
114,-3320,12512,-6604
116,-3352,12492,-6524
117,-3392,12396,-6620
118,-3396,12428,-6588
120,-3424,12380,-6616
121,-3392,12424,-6596
122,-3440,12388,-6640
123,-3396,12620,-6688
124,-3416,12608,-6648
126,-3468,12492,-6692
127,-3432,12432,-6732
128,-3432,12548,-6824
129,-3412,12416,-6736
131,-3500,12472,-6796
132,-3580,12356,-6788
133,-3480,12320,-6764
134,-3588,12356,-6740
136,-3468,12412,-6632
137,-3644,12292,-6664
138,-3564,12560,-6768
139,-3584,12532,-6708
141,-3564,12460,-6920
142,-3464,12536,-6840
143,-3428,12472,-6840
144,-3648,12372,-6740
145,-3604,12352,-6696
147,-3592,12432,-6708
148,-3596,12520,-6792
149,-3552,12524,-6764
150,-3464,12484,-6828
152,-3544,12492,-6736
153,-3496,12464,-6788
154,-3436,12392,-6796
155,-3500,12356,-6700
157,-3396,12524,-6736
158,-3496,12468,-6708
159,-3520,12428,-6668
160,-3464,12408,-6780
162,-3436,12528,-6748
163,-3476,12600,-6672
164,-3452,12544,-6700
165,-3464,12528,-6672
167,-3392,12372,-6604
168,-3516,12356,-6708
169,-3488,12464,-6724
170,-3428,12464,-6768
172,-3428,12408,-6724
173,-3424,12576,-6692
174,-3432,12644,-6652
175,-3496,12464,-6632
176,-3332,12432,-6712
178,-3312,12376,-6720
179,-3368,12396,-6648
180,-3352,12372,-6616
181,-3364,12292,-6648
183,-3440,12300,-6676
184,-3484,12392,-6680
185,-3476,12472,-6672
186,-3364,12424,-6628
188,-3348,12416,-6680
189,-3412,12372,-6612
190,-3520,12452,-6640
191,-3508,12512,-6720
192,-3504,12460,-6732
194,-3488,12288,-6660
195,-3440,12336,-6704
196,-3384,12372,-6760
197,-3440,12344,-6736
199,-3436,12264,-6648
200,-3508,12436,-6680
201,-3632,12472,-6648
202,-3544,12344,-6736
204,-3464,12600,-6692
205,-3504,12556,-6708
206,-3516,12500,-6644
207,-3500,12600,-6636
209,-3532,12520,-6756
210,-3516,12404,-6816
211,-3476,12484,-6716
212,-3560,12456,-6788
213,-3476,12336,-6804
215,-3428,12372,-6792
216,-3484,12332,-6820
217,-3504,12388,-6792
219,-3472,12472,-6760
220,-3408,12364,-6884
221,-3492,12544,-6856
222,-3592,12568,-6892
224,-3588,12484,-6692
225,-3536,12464,-6788
226,-3612,12444,-6848
227,-3600,12560,-6872
228,-3584,12504,-6812
230,-3592,12516,-6816
231,-3544,12444,-6804
232,-3592,12460,-6888
233,-3564,12348,-6844
235,-3568,12364,-6772
236,-3548,12360,-6768
237,-3552,12348,-6836
238,-3548,12356,-6608
240,-3524,12416,-6640
241,-3540,12332,-6716
242,-3464,12452,-6640
243,-3416,12592,-6684
244,-3364,12384,-6508
246,-3480,12400,-6536
247,-3524,12308,-6620
