timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.20,4.53,0.57,-0.05,0.10,-1.08
9,-1.16,5.42,-2.20,-0.05,0.14,-1.09
18,-0.68,5.11,-3.87,-0.10,-0.01,-1.12
27,0.09,2.35,-2.41,-0.10,-0.06,-1.10
36,-1.34,3.25,2.38,-0.07,0.05,-1.11
45,-0.88,3.82,-0.33,-0.04,0.16,-1.08
54,-0.23,4.15,-3.69,-0.07,0.06,-1.09
63,-1.34,4.65,-2.33,-0.12,-0.07,-1.12
72,-0.55,3.57,0.23,-0.09,-0.02,-1.08
81,-0.83,4.81,0.44,-0.03,0.13,-1.08
90,-1.10,5.01,-1.95,-0.05,0.12,-1.09
99,-0.14,4.39,-3.73,-0.10,-0.02,-1.11
108,-0.87,2.96,-1.13,-0.11,-0.06,-1.09
117,-1.70,3.50,2.03,-0.07,0.07,-1.10
126,-0.53,4.10,-1.40,-0.03,0.16,-1.07
135,-0.04,4.46,-3.82,-0.08,0.04,-1.09
144,-1.45,5.08,-2.22,-0.12,-0.06,-1.12
153,-0.09,3.12,-0.07,-0.08,-0.02,-1.10
162,-1.88,4.61,0.73,-0.04,0.16,-1.08
171,0.24,3.09,-4.08,-0.05,0.11,-1.09
180,0.49,3.00,-3.66,-0.09,-0.02,-1.11
189,-2.81,5.34,1.08,-0.12,-0.07,-1.10
198,-1.15,4.46,0.72,-0.06,0.12,-1.10
207,-1.08,5.36,-1.71,-0.03,0.13,-1.07
216,-0.81,5.37,-3.73,-0.08,0.05,-1.10
225,0.35,3.31,-2.22,-0.12,-0.10,-1.09
234,-2.31,4.58,1.82,-0.07,0.04,-1.10
243,-1.30,3.86,0.75,-0.05,0.13,-1.09
252,0.58,3.26,-4.41,-0.05,0.12,-1.09
261,-0.52,3.47,-2.72,-0.10,-0.07,-1.10
270,-2.57,5.97,1.02,-0.12,-0.03,-1.13
279,0.30,3.56,0.47,-0.05,0.10,-1.09
288,-1.97,5.47,-1.42,-0.04,0.14,-1.08
297,-0.58,4.92,-3.71,-0.09,0.02,-1.12
306,-0.05,3.28,-2.72,-0.11,-0.08,-1.09
